PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
47904 $  1003   $ 14712608378  $  8813476931     $      667037  $  1855602447  $     6382759  $     4977336  $      49      $       0      $      97      $           0  $              $1.669331      $667037.000000      $118.403343 $0.407275 $0.317597 $   290.72  $     1.28  
47902 $  1003   $  3345469598  $  8915516617     $     1893798  $   367661690  $   363710404  $     2314218  $       0      $       0      $      97      $           0  $              $0.375241      $1893798.000000      $23.459969 $23.207842 $0.147667 $     1.01  $   157.16  
47904 $  2005   $ 15301573114  $  9133660047     $      649508  $  1931012799  $     6276210  $     5061447  $      50      $       0      $      97      $           0  $              $1.675295      $649508.000000      $123.338142 $0.400876 $0.323286 $   307.67  $     1.24  
47902 $  2005   $  3418980392  $  9174318463     $     1800372  $   386219456  $   382033495  $     1800442  $       0      $       0      $      97      $           0  $              $0.372669      $1800372.000000      $24.668707 $24.401342 $0.114998 $     1.01  $   212.19  
47904 $  3008   $ 15299601634  $  9133496253     $      649891  $  1930689898  $     6286739  $     5060861  $      50      $       0      $      97      $           0  $              $1.675109      $649891.000000      $123.194572 $0.401148 $0.322926 $   307.11  $     1.24  
47902 $  3007   $  3389173268  $  9175076260     $     2089156  $   388266464  $   384076757  $     2089110  $       0      $       0      $      97      $           0  $              $0.369389      $2089156.000000      $24.799456 $24.531849 $0.133436 $     1.01  $   183.85  
47904 $  4011   $ 15297342771  $  9131832611     $      654160  $  1930382811  $     6283077  $     5071150  $      49      $       0      $      97      $           0  $              $1.675167      $654160.000000      $123.174980 $0.400914 $0.323583 $   307.24  $     1.24  
47902 $  4010   $  3196881767  $  9180241238     $     2997853  $   406016259  $   402061770  $     2997880  $       0      $       0      $      97      $           0  $              $0.348235      $2997853.000000      $25.907318 $25.654987 $0.191290 $     1.01  $   134.12  
47904 $  5013   $ 15294794610  $  9132039497     $      652422  $  1929936925  $     6284330  $     5070502  $      50      $       0      $      97      $           0  $              $1.674850      $652422.000000      $123.269424 $0.401394 $0.323864 $   307.10  $     1.24  
47902 $  5012   $  3197203316  $  9179530293     $     2881672  $   405777278  $   401966817  $     2881710  $       0      $       0      $      97      $           0  $              $0.348297      $2881672.000000      $25.917910 $25.674528 $0.184061 $     1.01  $   139.49  
47904 $  6015   $ 15297229442  $  9131513296     $      649320  $  1930305762  $     6291461  $     5071232  $      50      $       0      $      97      $           0  $              $1.675213      $649320.000000      $123.292984 $0.401850 $0.323911 $   306.81  $     1.24  
47902 $  6014   $  3305485552  $  9179026302     $     2819392  $   395939081  $   391808921  $     3104056  $       0      $       0      $      97      $           0  $              $0.360113      $2819392.000000      $25.289522 $25.025721 $0.198263 $     1.01  $   126.22  
47904 $  7017   $ 15302865225  $  9132685728     $      652387  $  1931204958  $     6275762  $     5063699  $      50      $       0      $      97      $           0  $              $1.675615      $652387.000000      $123.350418 $0.400847 $0.323430 $   307.72  $     1.24  
47902 $  7016   $  3421865289  $  9179600139     $     1824997  $   386422327  $   382379536  $     1825001  $       0      $       0      $      97      $           0  $              $0.372768      $1824997.000000      $24.681665 $24.423443 $0.116567 $     1.01  $   209.52  
47904 $  8020   $ 15307638262  $  9134790854     $      648823  $  1932110808  $     6267064  $     5071213  $      50      $       0      $      97      $           0  $              $1.675751      $648823.000000      $123.285240 $0.399892 $0.323587 $   308.30  $     1.24  
