PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48454 $  1004   $ 22018972906  $  8817759634     $      954187  $   344489034  $   344535929  $     5324413  $      49      $       0      $      97      $           0  $              $2.497117      $954187.000000      $21.959459 $21.962450 $0.339405 $     1.00  $    64.71  
48452 $  1004   $  3326701021  $  8863460609     $     4687257  $   366163455  $   361319873  $     5109229  $       0      $       0      $      97      $           0  $              $0.375328      $4687257.000000      $23.341097 $23.032343 $0.325688 $     1.01  $    70.72  
48454 $  2007   $ 22920415587  $  9140248306     $      879138  $   358390953  $   358416391  $     4855370  $      51      $       0      $      97      $           0  $              $2.507636      $879138.000000      $22.868416 $22.870039 $0.309814 $     1.00  $    73.82  
48452 $  2007   $  3406944880  $  9144760099     $     4806197  $   385851486  $   380701111  $     4806203  $       0      $       0      $      97      $           0  $              $0.372557      $4806197.000000      $24.620634 $24.291996 $0.306677 $     1.01  $    79.21  
48454 $  3009   $ 22990582311  $  9141990947     $      826065  $   359691837  $   359710591  $     4699662  $      51      $       0      $      97      $           0  $              $2.514833      $826065.000000      $22.974329 $22.975527 $0.300178 $     1.00  $    76.54  
48452 $  3010   $  3382305191  $  9141287897     $     4813890  $   387736037  $   382800974  $     4813834  $       0      $       0      $      97      $           0  $              $0.370003      $4813890.000000      $24.740883 $24.425983 $0.307164 $     1.01  $    79.52  
48454 $  4011   $ 22897241867  $  9137753799     $      978121  $   358031954  $   358063182  $     5378721  $      50      $       0      $      97      $           0  $              $2.505785      $978121.000000      $22.868309 $22.870302 $0.343551 $     1.00  $    66.57  
48452 $  4012   $  3184736577  $  9155588703     $     4775090  $   404640354  $   400702146  $     4775102  $       0      $       0      $      97      $           0  $              $0.347846      $4775090.000000      $25.845291 $25.593750 $0.304997 $     1.01  $    83.91  
48454 $  5013   $ 22901980818  $  9139199626     $      970609  $   358109860  $   358142040  $     5369783  $      50      $       0      $      97      $           0  $              $2.505907      $970609.000000      $22.873283 $22.875340 $0.342980 $     1.00  $    66.70  
48452 $  5014   $  3185595716  $  9156873716     $     4749507  $   404717725  $   400808179  $     4749481  $       0      $       0      $      97      $           0  $              $0.347891      $4749507.000000      $25.850235 $25.600523 $0.303360 $     1.01  $    84.39  
48454 $  6015   $ 22956899002  $  9142178479     $      920823  $   359166630  $   359189329  $     5226734  $      51      $       0      $      97      $           0  $              $2.511097      $920823.000000      $22.940783 $22.942234 $0.333843 $     1.00  $    68.72  
48452 $  6016   $  3291188466  $  9152955986     $     4969907  $   395522702  $   391113786  $     5257664  $       0      $       0      $      97      $           0  $              $0.359577      $4969907.000000      $25.262926 $24.981319 $0.335819 $     1.01  $    74.39  
48454 $  7017   $ 22905212558  $  9131375544     $      878356  $   358152521  $   358178290  $     4803140  $      51      $       0      $      97      $           0  $              $2.508408      $878356.000000      $22.876009 $22.877657 $0.306787 $     1.00  $    74.57  
48452 $  7018   $  3409439423  $  9148667527     $     4819530  $   385892597  $   380986590  $     4819526  $       0      $       0      $      97      $           0  $              $0.372671      $4819530.000000      $24.647831 $24.334473 $0.307834 $     1.01  $    79.05  
48454 $  8019   $ 22917067972  $  9134412634     $      877297  $   358338506  $   358359870  $     4801854  $      51      $       0      $      97      $           0  $              $2.508872      $877297.000000      $22.887888 $22.889254 $0.306705 $     1.00  $    74.63  
48452 $  8020   $  3410519881  $  9151315735     $     4819479  $   385979490  $   381096767  $     4819466  $       0      $       0      $      97      $           0  $              $0.372681      $4819479.000000      $24.653381 $24.341511 $0.307830 $     1.01  $    79.07  
48454 $  9021   $ 22988813488  $  9142678522     $      868056  $   359664257  $   359684113  $     4928688  $      51      $       0      $      97      $           0  $              $2.514451      $868056.000000      $22.972567 $22.973837 $0.314806 $     1.00  $    72.98  
48452 $  9022   $  3283159436  $  9152959294     $     4790596  $   396683272  $   392346565  $     4790518  $       0      $       0      $      97      $           0  $              $0.358699      $4790596.000000      $25.337055 $25.060061 $0.305981 $     1.01  $    81.90  
48454 $ 10024   $ 22893356750  $  9137270777     $      974933  $   357970469  $   358001984  $     5346510  $      50      $       0      $      97      $           0  $              $2.505492      $974933.000000      $22.841585 $22.843596 $0.341153 $     1.00  $    66.96  
48452 $ 10025   $  3185289305  $  9155463044     $     4745726  $   404671634  $   400765707  $     4745732  $       0      $       0      $      97      $           0  $              $0.347911      $4745726.000000      $25.821522 $25.572289 $0.302818 $     1.01  $    84.45  
48454 $ 11027   $ 22893176491  $  9136734200     $      973821  $   357970837  $   358002056  $     5374908  $      50      $       0      $      97      $           0  $              $2.505619      $973821.000000      $22.841610 $22.843599 $0.342965 $     1.00  $    66.61  
48452 $ 11028   $  3185273811  $  9154611861     $     4728678  $   404687554  $   400776585  $     4728653  $       0      $       0      $      97      $           0  $              $0.347942      $4728678.000000      $25.822536 $25.572983 $0.301729 $     1.01  $    84.75  
48454 $ 11250   $  5318057032  $  2094197108     $      124129  $    83292394  $    83293937  $      737377  $      10      $       0      $      97      $           0  $              $2.539425      $124129.000000      $23.904543 $23.904985 $0.211624 $     1.00  $   112.96  
48452 $ 11252   $   424404093  $  1214353375     $      588451  $    52944855  $    52441979  $      587435  $       0      $       0      $      97      $           0  $              $0.349490      $588451.000000      $15.127102 $14.983423 $0.167839 $     1.01  $    89.27  
