PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48638 $  1001   $  3066080257  $  8753309533     $     4258158  $   383495970  $   380213777  $     4675875  $      46      $       0      $      97      $           0  $              $0.350277      $4258158.000000      $24.519222 $24.309374 $0.298957 $     1.01  $    81.31  
48636 $  1001   $  3066247963  $  8744353286     $     3599262  $   383404716  $   380242138  $     4017264  $       0      $       0      $      97      $           0  $              $0.350655      $3599262.000000      $24.513388 $24.311186 $0.256848 $     1.01  $    94.65  
48638 $  2003   $  3195218920  $  9159684035     $     4194176  $   405092117  $   401813671  $     4194240  $      48      $       0      $      97      $           0  $              $0.348835      $4194176.000000      $25.874147 $25.664745 $0.267896 $     1.01  $    95.80  
48636 $  2003   $  3194585987  $  9149922694     $     3671289  $   404981040  $   401725096  $     3671310  $       0      $       0      $      97      $           0  $              $0.349138      $3671289.000000      $25.867054 $25.659088 $0.234495 $     1.01  $   109.42  
48638 $  3005   $  3194533611  $  9159980195     $     4347440  $   404976243  $   401728034  $     4347524  $      48      $       0      $      97      $           0  $              $0.348749      $4347440.000000      $25.866747 $25.659275 $0.277686 $     1.01  $    92.40  
48636 $  3005   $  3194160369  $  9153116268     $     3849317  $   404909712  $   401669832  $     3849266  $       0      $       0      $      97      $           0  $              $0.348970      $3849317.000000      $25.862495 $25.655558 $0.245861 $     1.01  $   104.35  
48638 $  4007   $  3196984391  $  9164121651     $     4100003  $   405236852  $   402053102  $     4100171  $      48      $       0      $      97      $           0  $              $0.348859      $4100003.000000      $25.883392 $25.680038 $0.261887 $     1.01  $    98.06  
48636 $  4007   $  3196561215  $  9159135967     $     4012516  $   405142359  $   401984986  $     4012677  $       0      $       0      $      97      $           0  $              $0.349002      $4012516.000000      $25.877357 $25.675688 $0.256299 $     1.01  $   100.18  
48638 $  5008   $  3197888287  $  9167766047     $     3974964  $   405411867  $   402168257  $     3975119  $      48      $       0      $      97      $           0  $              $0.348819      $3974964.000000      $25.920439 $25.713055 $0.254153 $     1.01  $   101.17  
48636 $  5009   $  3197521353  $  9162460977     $     4102053  $   405314176  $   402105047  $     4102274  $       0      $       0      $      97      $           0  $              $0.348981      $4102053.000000      $25.888330 $25.683357 $0.262021 $     1.01  $    98.02  
48638 $  6010   $  3195473587  $  9165351231     $     4514458  $   404994342  $   401869428  $     4514626  $      48      $       0      $      97      $           0  $              $0.348647      $4514458.000000      $25.867901 $25.668308 $0.288359 $     1.01  $    89.01  
48636 $  6011   $  3195110827  $  9159945219     $     4201476  $   404919458  $   401797499  $     4201596  $       0      $       0      $      97      $           0  $              $0.348813      $4201476.000000      $25.863119 $25.663713 $0.268365 $     1.01  $    95.63  
48638 $  7012   $  3195884573  $  9165539312     $     4700106  $   404989329  $   401924834  $     4700316  $      48      $       0      $      97      $           0  $              $0.348685      $4700106.000000      $25.867582 $25.671846 $0.300220 $     1.01  $    85.51  
48636 $  7013   $  3195453781  $  9159962651     $     4071208  $   405043169  $   401850644  $     4071425  $       0      $       0      $      97      $           0  $              $0.348850      $4071208.000000      $25.871021 $25.667109 $0.260051 $     1.01  $    98.70  
48638 $  8013   $  3195773439  $  9165904236     $     4731324  $   404966392  $   401910498  $     4731544  $      48      $       0      $      97      $           0  $              $0.348659      $4731324.000000      $25.891958 $25.696575 $0.302516 $     1.01  $    84.94  
48636 $  8014   $  3195465844  $  9158015054     $     4032905  $   404958739  $   401850188  $     4033102  $       0      $       0      $      97      $           0  $              $0.348926      $4032905.000000      $25.891468 $25.692719 $0.257861 $     1.01  $    99.64  
48638 $  9015   $  3223750803  $  9158211227     $     4024388  $   401641345  $   398605112  $     4340410  $      48      $       0      $      97      $           0  $              $0.352007      $4024388.000000      $25.653738 $25.459808 $0.277232 $     1.01  $    91.84  
48636 $  9016   $  3221555144  $  9156044124     $     4382015  $   401427213  $   398291745  $     4696980  $       0      $       0      $      97      $           0  $              $0.351850      $4382015.000000      $25.640060 $25.439793 $0.300007 $     1.01  $    84.80  
48638 $ 10016   $  3202622225  $  9166143868     $     3725775  $   405707326  $   402733944  $     3725770  $      48      $       0      $      97      $           0  $              $0.349397      $3725775.000000      $25.939329 $25.749224 $0.238211 $     1.01  $   108.09  
48636 $ 10018   $  3200650663  $  9165925612     $     3962453  $   405599499  $   402484216  $     3962464  $       0      $       0      $      97      $           0  $              $0.349190      $3962453.000000      $25.906553 $25.707575 $0.253092 $     1.01  $   101.57  
48638 $ 11018   $  3201203503  $  9166696044     $     3909410  $   405548212  $   402554729  $     3909311  $      48      $       0      $      97      $           0  $              $0.349221      $3909410.000000      $25.903280 $25.712078 $0.249697 $     1.01  $   102.97  
48636 $ 11020   $  3199292834  $  9165516690     $     4165453  $   405397044  $   402314560  $     4165435  $       0      $       0      $      97      $           0  $              $0.349058      $4165453.000000      $25.893625 $25.696739 $0.266056 $     1.01  $    96.58  
48638 $ 12020   $  3199421881  $  9167801745     $     3892830  $   405579759  $   402362452  $     3892851  $      48      $       0      $      97      $           0  $              $0.348985      $3892830.000000      $25.905293 $25.699799 $0.248645 $     1.01  $   103.36  
48636 $ 12022   $  3199120192  $  9166675761     $     4166651  $   405414268  $   402306697  $     4166716  $       0      $       0      $      97      $           0  $              $0.348995      $4166651.000000      $25.894724 $25.696236 $0.266138 $     1.01  $    96.55  
48638 $ 13021   $  3199817821  $  9168016699     $     3812201  $   405585873  $   402407947  $     3812273  $      48      $       0      $      97      $           0  $              $0.349020      $3812201.000000      $25.931564 $25.728380 $0.243742 $     1.01  $   105.56  
48636 $ 13023   $  3199236131  $  9165637261     $     4167578  $   405424907  $   402323073  $     4167623  $       0      $       0      $      97      $           0  $              $0.349047      $4167578.000000      $25.921272 $25.722954 $0.266461 $     1.01  $    96.54  
48638 $ 14023   $  3199948031  $  9168437632     $     4163649  $   405401417  $   402411600  $     4163644  $      48      $       0      $      97      $           0  $              $0.349018      $4163649.000000      $25.893902 $25.702936 $0.265941 $     1.01  $    96.65  
48636 $ 14025   $  3197887371  $  9166480599     $     4403253  $   405257447  $   402157754  $     4403294  $       0      $       0      $      97      $           0  $              $0.348868      $4403253.000000      $25.884706 $25.686724 $0.281248 $     1.01  $    91.33  
48638 $ 15024   $  3202158731  $  9169314368     $     4188321  $   405452225  $   402686944  $     4188455  $      48      $       0      $      97      $           0  $              $0.349226      $4188321.000000      $25.923019 $25.746218 $0.267793 $     1.01  $    96.14  
48636 $ 15027   $  3197901218  $  9167259183     $     4360739  $   405305766  $   402164825  $     4360892  $       0      $       0      $      97      $           0  $              $0.348839      $4360739.000000      $25.887793 $25.687176 $0.278540 $     1.01  $    92.22  
48638 $ 16026   $  3201472374  $  9167120787     $     4189254  $   405317463  $   402596880  $     4189349  $      48      $       0      $      97      $           0  $              $0.349234      $4189254.000000      $25.888540 $25.714769 $0.267583 $     1.01  $    96.10  
48636 $ 16029   $  3196954041  $  9165783256     $     4380790  $   405187802  $   402048468  $     4380904  $       0      $       0      $      97      $           0  $              $0.348792      $4380790.000000      $25.880259 $25.679743 $0.279818 $     1.01  $    91.77  
