PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
49287 $  1003   $  5298961677  $  7776394833     $    11141790  $   146969450  $   148921235  $   138550906  $      47      $       0      $      97      $           0  $              $0.681416      $11141790.000000      $9.377912 $9.502452 $8.840736 $     0.99  $     1.07  
49285 $  1003   $  2167371159  $  8627846063     $     8858068  $   272021014  $   268416823  $     9272737  $       0      $       0      $      97      $           0  $              $0.251207      $8858068.000000      $17.357273 $17.127295 $0.591680 $     1.01  $    28.95  
49287 $  2006   $  6118387490  $  9104205438     $    14887002  $   191341133  $   191399547  $   186864500  $      49      $       0      $      97      $           0  $              $0.672040      $14887002.000000      $12.209205 $12.212933 $11.923557 $     1.00  $     1.02  
49285 $  2006   $  2172656769  $  9057739902     $     9060796  $   278806253  $   274690668  $     9060271  $       0      $       0      $      97      $           0  $              $0.239867      $9060796.000000      $17.790228 $17.527618 $0.578123 $     1.01  $    30.32  
49287 $  3009   $  6139541976  $  9104850024     $    14862575  $   191295071  $   191352759  $   186820869  $      49      $       0      $      97      $           0  $              $0.674316      $14862575.000000      $12.206265 $12.209947 $11.920773 $     1.00  $     1.02  
49285 $  3009   $  2169854942  $  9058653646     $     9049537  $   278475825  $   274351834  $     9049039  $       0      $       0      $      97      $           0  $              $0.239534      $9049537.000000      $17.769146 $17.506001 $0.577406 $     1.02  $    30.32  
49287 $  4012   $  6150760242  $  9114713449     $    14875945  $   191525203  $   191582701  $   187048852  $      49      $       0      $      97      $           0  $              $0.674817      $14875945.000000      $12.220950 $12.224619 $11.935320 $     1.00  $     1.02  
49285 $  4012   $  2174493650  $  9068120168     $     9066870  $   279052624  $   274927079  $     9066363  $       0      $       0      $      97      $           0  $              $0.239795      $9066870.000000      $17.805948 $17.542704 $0.578512 $     1.02  $    30.32  
49287 $  5015   $  6154713851  $  9119866214     $    14919318  $   191724154  $   191781011  $   187214539  $      49      $       0      $      97      $           0  $              $0.674869      $14919318.000000      $12.233645 $12.237272 $11.945893 $     1.00  $     1.02  
49285 $  5015   $  2167013109  $  9071297672     $     9042008  $   278282002  $   273948080  $     9042088  $       0      $       0      $      97      $           0  $              $0.238887      $9042008.000000      $17.756779 $17.480238 $0.576963 $     1.02  $    30.30  
49287 $  6018   $  6120997727  $  9120274658     $    14994650  $   192297909  $   192354804  $   187777659  $      49      $       0      $      97      $           0  $              $0.671142      $14994650.000000      $12.270255 $12.273886 $11.981825 $     1.00  $     1.02  
49285 $  6018   $  2166016465  $  9070904386     $     9038825  $   278137524  $   273813592  $     9038884  $       0      $       0      $      97      $           0  $              $0.238787      $9038825.000000      $17.747561 $17.471655 $0.576758 $     1.02  $    30.29  
49287 $  7021   $  6478543602  $  8829386137     $    12700096  $   165951350  $   165999064  $   162256768  $      48      $       0      $      97      $           0  $              $0.733748      $12700096.000000      $10.589119 $10.592164 $10.353373 $     1.00  $     1.02  
49285 $  7021   $  2345246033  $  9095655266     $     9642552  $   300072974  $   296123479  $     9642626  $       0      $       0      $      97      $           0  $              $0.257842      $9642552.000000      $19.147228 $18.895218 $0.615282 $     1.01  $    30.71  
49285 $  7468   $  1443812814  $  4206838922     $     3823537  $   182564156  $   181564371  $     3823558  $       0      $       0      $      97      $           0  $              $0.343206      $3823537.000000      $26.138941 $25.995792 $0.547445 $     1.01  $    47.49  
49287 $  7469   $  1357348456  $   567882376     $      509431  $    10626872  $    10631392  $    10625347  $      16      $       0      $      97      $           0  $              $2.390193      $509431.000000      $1.518125 $1.518770 $1.517907 $     1.00  $     1.00  
49285 $  8143   $  2254919119  $  6459941383     $      176272  $   284137792  $   283241244  $      176161  $       0      $       0      $      97      $           0  $              $0.349062      $176272.000000      $26.940472 $26.855467 $0.016703 $     1.00  $  1607.85  
