PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
49434 $  1003   $  3621748967  $  7808989240     $     3095625  $    40075879  $    36561775  $    30400569  $      43      $       0      $      97      $           0  $              $0.463792      $3095625.000000      $2.557185 $2.332955 $1.939817 $     1.10  $     1.20  
49432 $  1002   $  2918330112  $  8727134172     $     9798568  $   364558259  $   361905779  $    10220349  $       0      $       0      $      97      $           0  $              $0.334397      $9798568.000000      $23.285158 $23.115740 $0.652797 $     1.01  $    35.41  
49434 $  2005   $  4244519946  $  9062134198     $     3596416  $    47335604  $    43151496  $    35739507  $      45      $       0      $      97      $           0  $              $0.468380      $3596416.000000      $3.023432 $2.756183 $2.282763 $     1.10  $     1.21  
49432 $  2004   $  3007301034  $  9117662874     $    10703247  $   381195067  $   378404924  $    10703305  $       0      $       0      $      97      $           0  $              $0.329832      $10703247.000000      $24.347790 $24.169577 $0.683644 $     1.01  $    35.35  
49434 $  3007   $  4243908062  $  9060556644     $     3596699  $    47328925  $    43140094  $    35737400  $      45      $       0      $      97      $           0  $              $0.468394      $3596699.000000      $3.023005 $2.755455 $2.282628 $     1.10  $     1.21  
49432 $  3006   $  3006268309  $  9115022707     $    10693554  $   381061435  $   378266658  $    10693467  $       0      $       0      $      97      $           0  $              $0.329815      $10693554.000000      $24.339254 $24.160744 $0.683016 $     1.01  $    35.37  
49434 $  4009   $  4194870470  $  9070293753     $     3415603  $    45557211  $    41705278  $    34859545  $      45      $       0      $      97      $           0  $              $0.462485      $3415603.000000      $2.909842 $2.663810 $2.226558 $     1.09  $     1.20  
49432 $  4008   $  3006862648  $  9120736256     $    10701596  $   381093876  $   378336794  $    10701650  $       0      $       0      $      97      $           0  $              $0.329673      $10701596.000000      $24.341326 $24.165224 $0.683538 $     1.01  $    35.35  
49434 $  5011   $  4245132630  $  9063224064     $     3599232  $    47329437  $    43131386  $    35738782  $      45      $       0      $      97      $           0  $              $0.468391      $3599232.000000      $3.023038 $2.754899 $2.282717 $     1.10  $     1.21  
49432 $  5010   $  3004950242  $  9120539866     $    10713350  $   380873840  $   378102265  $    10713458  $       0      $       0      $      97      $           0  $              $0.329471      $10713350.000000      $24.327272 $24.150246 $0.684293 $     1.01  $    35.29  
49434 $  6014   $  4244322167  $  9062554355     $     3602265  $    47318219  $    43112743  $    35738265  $      45      $       0      $      97      $           0  $              $0.468336      $3602265.000000      $3.019308 $2.750963 $2.280408 $     1.10  $     1.21  
49432 $  6013   $  3002341059  $  9119601136     $    10738984  $   380516222  $   377759394  $    10738996  $       0      $       0      $      97      $           0  $              $0.329218      $10738984.000000      $24.280197 $24.104288 $0.685240 $     1.01  $    35.18  
49434 $  7017   $  4193812535  $  9069116033     $     3423022  $    45535858  $    41683702  $    34848418  $      45      $       0      $      97      $           0  $              $0.462428      $3423022.000000      $2.905578 $2.659778 $2.223628 $     1.09  $     1.20  
49432 $  7016   $  2999595226  $  9119839536     $    10792649  $   380160141  $   377415040  $    10792740  $       0      $       0      $      97      $           0  $              $0.328909      $10792649.000000      $24.257475 $24.082315 $0.688669 $     1.01  $    34.97  
49432 $  7881   $  2616905615  $  7915404689     $     8569018  $   331527773  $   329246974  $     8569070  $       0      $       0      $      97      $           0  $              $0.330609      $8569018.000000      $24.529222 $24.360470 $0.634012 $     1.01  $    38.42  
49434 $  7882   $  3362522774  $  7111980992     $     2934446  $    38069121  $    34574768  $    28451621  $      38      $       0      $      97      $           0  $              $0.472797      $2934446.000000      $2.816675 $2.558133 $2.105091 $     1.10  $     1.22  
49432 $  8093   $   701515770  $  2011577746     $       12560  $    88459063  $    88183576  $       12547  $       0      $       0      $      97      $           0  $              $0.348739      $12560.000000      $26.704622 $26.621456 $0.003788 $     1.00  $  7028.26  
49432 $  8096   $      548905  $     1596209     $           2  $       69446  $       69146  $           0  $       0      $       0      $      97      $           0  $              $0.343880      $2.000000      $1.481515 $1.475115 $0.000000 $     1.00  $      inf  
49432 $  9099   $  3091241381  $  9063533758     $     9729008  $   383263264  $   380312862  $    10022816  $      43      $       0      $      97      $           0  $              $0.341064      $9729008.000000      $24.455482 $24.267221 $0.639542 $     1.01  $    37.94  
49453 $  1003   $  3650623228  $  7895283971     $     3104199  $    40203186  $    36604810  $    30613659  $       0      $       0      $      97      $           0  $              $0.462380      $3104199.000000      $2.565308 $2.335701 $1.953414 $     1.10  $     1.20  
49453 $  2006   $  4204283880  $  8961085751     $     3571573  $    46810459  $    42516041  $    35387200  $      44      $       0      $      97      $           0  $              $0.469171      $3571573.000000      $2.986909 $2.712888 $2.258007 $     1.10  $     1.20  
49432 $ 10102   $  2894844663  $  8738322521     $    10524155  $   366789907  $   364241037  $    10524146  $       0      $       0      $      97      $           0  $              $0.331282      $10524155.000000      $23.404343 $23.241701 $0.671531 $     1.01  $    34.61  
49453 $  3009   $  4232006996  $  9060140573     $     3546501  $    46714658  $    42618031  $    35532569  $      45      $       0      $      97      $           0  $              $0.467102      $3546501.000000      $2.980796 $2.719396 $2.267282 $     1.10  $     1.20  
49432 $ 11105   $  3012804068  $  9137772685     $    10731778  $   381817919  $   379093780  $    10731752  $       0      $       0      $      97      $           0  $              $0.329709      $10731778.000000      $24.363256 $24.189434 $0.684778 $     1.01  $    35.32  
49453 $  4011   $  4195835798  $  9068012138     $     3419664  $    45556351  $    41556888  $    34941730  $      45      $       0      $      97      $           0  $              $0.462707      $3419664.000000      $2.909787 $2.654332 $2.231807 $     1.10  $     1.19  
49432 $ 12108   $  3025091948  $  9139241589     $    10744803  $   376555782  $   373907304  $    10744661  $       0      $       0      $      97      $           0  $              $0.331000      $10744803.000000      $24.027487 $23.858492 $0.685601 $     1.01  $    34.80  
49453 $  5013   $  4243577347  $  9062128853     $     3593874  $    47230460  $    42964126  $    35776319  $      45      $       0      $      97      $           0  $              $0.468276      $3593874.000000      $3.016716 $2.744216 $2.285114 $     1.10  $     1.20  
49432 $ 13110   $  3009647244  $  9138890795     $    10739173  $   381392972  $   378688746  $    10739166  $       0      $       0      $      97      $           0  $              $0.329323      $10739173.000000      $24.360428 $24.187704 $0.685935 $     1.01  $    35.26  
49453 $  6015   $  4243571063  $  9062412859     $     3598580  $    47218681  $    42937658  $    35771158  $      45      $       0      $      97      $           0  $              $0.468261      $3598580.000000      $3.015964 $2.742525 $2.284785 $     1.10  $     1.20  
49432 $ 14112   $  3009408618  $  9140039569     $    10727396  $   381376727  $   378659263  $    10727408  $       0      $       0      $      97      $           0  $              $0.329256      $10727396.000000      $24.359392 $24.185822 $0.685184 $     1.01  $    35.30  
49453 $  7017   $  4193059123  $  9069211057     $     3421809  $    45444025  $    41494506  $    34886813  $      45      $       0      $      97      $           0  $              $0.462340      $3421809.000000      $2.902612 $2.650347 $2.228299 $     1.10  $     1.19  
49432 $ 15114   $  3004813569  $  9139626495     $    10809991  $   380748875  $   378071342  $    10809883  $       0      $       0      $      97      $           0  $              $0.328768      $10809991.000000      $24.319288 $24.148268 $0.690452 $     1.01  $    34.97  
49432 $ 15972   $  2597009173  $  7872052695     $     8692468  $   328987403  $   326749583  $     8692490  $       0      $       0      $      97      $           0  $              $0.329902      $8692468.000000      $24.539852 $24.372929 $0.648391 $     1.01  $    37.59  
49453 $  7876   $  3396881754  $  7200268902     $     2947803  $    38247245  $    34692209  $    28726269  $      38      $       0      $      97      $           0  $              $0.471772      $2947803.000000      $2.849620 $2.584751 $2.140257 $     1.10  $     1.21  
49432 $ 16172   $   642442092  $  1836904526     $       24902  $    80982713  $    80759573  $       24898  $       0      $       0      $      97      $           0  $              $0.349742      $24902.000000      $25.914469 $25.843065 $0.007967 $     1.00  $  3243.62  
49432 $ 16174   $      579710  $     1724467     $          11  $       73728  $       73429  $           9  $       0      $       0      $      97      $           0  $              $0.336168      $11.000000      $2.359296 $2.349728 $0.000288 $     1.00  $  8158.78  
49432 $ 17176   $  3028012849  $  9094084812     $     9782252  $   383533534  $   380955455  $     9782210  $      43      $       0      $      97      $           0  $              $0.332965      $9782252.000000      $24.497152 $24.332483 $0.624812 $     1.01  $    38.94  
49458 $  1002   $  3653098963  $  7892211155     $     3122958  $    40209287  $    36588655  $    30653462  $       0      $       0      $      97      $           0  $              $0.462874      $3122958.000000      $2.568258 $2.337000 $1.957906 $     1.10  $     1.19  
49458 $  1114   $   408913028  $   891803796     $      312490  $     4161680  $     3797690  $     3201795  $       4      $       0      $      97      $           0  $              $0.458524      $312490.000000      $2.378103 $2.170109 $1.829597 $     1.10  $     1.19  
49432 $ 17288   $   214331986  $   603975004     $      782264  $    21636460  $    21463290  $      781281  $       0      $       0      $      97      $           0  $              $0.354869      $782264.000000      $12.363691 $12.264737 $0.446446 $     1.01  $    27.47  
