PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
50794 $  1003   $  3094056327  $  8774377051     $     1685718  $   385586885  $   383652349  $     2110862  $      46      $       0      $      97      $           0  $              $0.352624      $1685718.000000      $24.603748 $24.480310 $0.134691 $     1.01  $   181.75  
50792 $  1003   $ 17025818136  $  8912117015     $      581257  $   377650781  $   500733965  $     2040471  $       0      $       0      $      97      $           0  $              $1.910412      $581257.000000      $24.097359 $31.951120 $0.130200 $     0.75  $   245.40  
50794 $  2006   $  3212907076  $  9177432542     $     1476786  $   405939602  $   403959920  $     1476940  $      48      $       0      $      97      $           0  $              $0.350088      $1476786.000000      $25.902428 $25.776108 $0.094241 $     1.00  $   273.51  
50792 $  2006   $ 17671024693  $  9179621942     $      495281  $   391974333  $   518350877  $     1559090  $       0      $       0      $      97      $           0  $              $1.925027      $495281.000000      $25.011324 $33.075230 $0.099483 $     0.76  $   332.47  
50794 $  3008   $  3211397173  $  9175150832     $     1689135  $   404797021  $   402794268  $     1689345  $      48      $       0      $      97      $           0  $              $0.350010      $1689135.000000      $25.855299 $25.727379 $0.107902 $     1.00  $   238.43  
50792 $  3009   $ 17643816039  $  9178279857     $      526896  $   391816125  $   520444361  $     1634707  $       0      $       0      $      97      $           0  $              $1.922345      $526896.000000      $25.001228 $33.208813 $0.104308 $     0.75  $   318.37  
50794 $  4010   $  3209480828  $  9172861532     $     1456966  $   405456378  $   403542092  $     1457086  $      48      $       0      $      97      $           0  $              $0.349889      $1456966.000000      $25.897413 $25.775143 $0.093067 $     1.00  $   276.95  
50792 $  4011   $ 17654723175  $  9176069397     $      437361  $   391750457  $   518025803  $     1355334  $       0      $       0      $      97      $           0  $              $1.923996      $437361.000000      $25.021986 $33.087475 $0.086568 $     0.76  $   382.21  
50794 $  5012   $  3210014136  $  9174129583     $     1426799  $   405483643  $   403606273  $     1426947  $      48      $       0      $      97      $           0  $              $0.349898      $1426799.000000      $25.899155 $25.779243 $0.091142 $     1.00  $   282.85  
50792 $  5013   $ 17657325486  $  9176252418     $      444896  $   391671660  $   517899991  $     1384212  $       0      $       0      $      97      $           0  $              $1.924242      $444896.000000      $25.016953 $33.079441 $0.088413 $     0.76  $   374.15  
50794 $  6014   $  3209546706  $  9176302278     $     1724091  $   404829332  $   402832811  $     1724113  $      48      $       0      $      97      $           0  $              $0.349765      $1724091.000000      $25.857363 $25.729839 $0.110123 $     1.00  $   233.65  
50792 $  6015   $ 17648121038  $  9178300511     $      504368  $   391807067  $   518756311  $     1558122  $       0      $       0      $      97      $           0  $              $1.922809      $504368.000000      $25.025602 $33.134136 $0.099521 $     0.76  $   332.94  
50794 $  6280   $   871921242  $  2492656050     $      300623  $   110092691  $   109621882  $      300629  $      11      $       0      $      97      $           0  $              $0.349796      $300623.000000      $26.488466 $26.375189 $0.072332 $     1.00  $   364.64  
50792 $  6282   $  3182226138  $  1657495455     $       67446  $    70167825  $    92046601  $      229266  $       0      $       0      $      97      $           0  $              $1.919900      $67446.000000      $16.819254 $22.063604 $0.054955 $     0.76  $   401.48  
50794 $  7099   $  2727413221  $  7782134009     $       72489  $   343823853  $   342856849  $       72487  $      28      $       0      $      97      $           0  $              $0.350471      $72489.000000      $26.867798 $26.792234 $0.005664 $     1.00  $  4729.91  
50794 $  7101   $     1747583  $     5023419     $          14  $      220177  $      219623  $           6  $       0      $       0      $      97      $           0  $              $0.347887      $14.000000      $7.045664 $7.027936 $0.000192 $     1.00  $ 36603.83  
50794 $  8103   $  3232729913  $  9164583083     $     2168411  $   400758266  $   398886118  $     2454230  $      48      $       0      $      97      $           0  $              $0.352742      $2168411.000000      $25.597334 $25.477757 $0.156757 $     1.00  $   162.53  
50818 $  1002   $ 17196886198  $  9000339461     $      602280  $   381579779  $   505109575  $     2217557  $       0      $       0      $      97      $           0  $              $1.910693      $602280.000000      $24.372360 $32.262486 $0.141640 $     0.76  $   227.78  
50794 $  9105   $  3213814796  $  9179106603     $     1894310  $   406009039  $   404088547  $     1894373  $      48      $       0      $      97      $           0  $              $0.350123      $1894310.000000      $25.932713 $25.810047 $0.120998 $     1.00  $   213.31  
