PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51079 $  1004   $  4389724711  $  5211335129     $    13269152  $   166307934  $    30803882  $    15156957  $      40      $       0      $      97      $           0  $              $0.842342      $13269152.000000      $10.601303 $1.963594 $0.966181 $     5.40  $     2.03  
51077 $  1004   $ 16951549066  $  9101587834     $      660282  $   376120514  $   499087819  $     2414192  $       0      $       0      $      97      $           0  $              $1.862483      $660282.000000      $23.975809 $31.814362 $0.153893 $     0.75  $   206.73  
51079 $  2007   $  5904158343  $  5923685873     $    18634751  $   239290625  $    45865389  $    25680173  $      42      $       0      $      97      $           0  $              $0.996703      $18634752.000000      $15.268793 $2.926605 $1.638615 $     5.22  $     1.79  
51077 $  2007   $ 17595532079  $  9359092622     $      669827  $   390858101  $   517267157  $     2347645  $       0      $       0      $      97      $           0  $              $1.880047      $669827.000000      $24.940100 $33.006081 $0.149800 $     0.76  $   220.33  
51079 $  3010   $ 17570024427  $  9003200010     $    38572106  $   816415916  $   132517437  $    68631392  $      51      $       0      $      97      $           0  $              $1.951531      $38572104.000000      $52.094337 $8.455749 $4.379272 $     6.16  $     1.93  
51077 $  3010   $ 16999653909  $  9115421023     $     1329093  $   379360255  $   505064929  $     4869520  $       0      $       0      $      97      $           0  $              $1.864934      $1329093.000000      $24.206436 $32.227474 $0.310717 $     0.75  $   103.72  
51077 $  3181   $  3094866103  $  1611196115     $       58638  $    68776056  $    91565825  $      189303  $       0      $       0      $      97      $           0  $              $1.920850      $58638.000000      $25.740746 $34.270248 $0.070850 $     0.75  $   483.70  
51079 $  3181   $   597390189  $   265771711     $      470755  $    27789812  $     3030998  $     2360626  $       6      $       0      $      97      $           0  $              $2.247757      $470755.000000      $10.400866 $1.134409 $0.883509 $     9.17  $     1.28  
51077 $  4130   $ 18037539397  $  9343088135     $        4372  $   399687695  $   526516858  $       11518  $       0      $       0      $      97      $           0  $              $1.930576      $4372.000000      $26.954700 $35.507988 $0.000777 $     0.76  $ 45712.52  
51077 $  4132   $     2842968  $     1443345     $           2  $       60493  $       68471  $           0  $       0      $       0      $      97      $           0  $              $1.969708      $2.000000      $1.935776 $2.191072 $0.000000 $     0.88  $      inf  
51077 $  5134   $ 16876436506  $  8994639882     $      607864  $   374522691  $   497046250  $     2025507  $      41      $       0      $      97      $           0  $              $1.876277      $607864.000000      $23.921608 $31.747465 $0.129374 $     0.75  $   245.39  
51097 $  1002   $  4246356411  $  5060061085     $    12529487  $   159116606  $    29163821  $    14411292  $       0      $       0      $      97      $           0  $              $0.839191      $12529487.000000      $10.163136 $1.862759 $0.920482 $     5.46  $     2.02  
51097 $  2004   $  5413969748  $  5814791318     $    18694584  $   218013185  $    43590174  $    25628112  $      42      $       0      $      97      $           0  $              $0.931069      $18694584.000000      $13.924994 $2.784203 $1.636925 $     5.00  $     1.70  
51077 $  6136   $ 16996858636  $  9044906403     $      690921  $   377435794  $   499351169  $     2336868  $       0      $       0      $      97      $           0  $              $1.879164      $690921.000000      $24.107676 $31.894686 $0.149261 $     0.76  $   213.68  
51097 $  2125   $  2205344408  $   998110282     $     2887616  $    98161049  $    10795994  $     4394080  $       6      $       0      $      97      $           0  $              $2.209520      $2887616.000000      $51.919891 $5.710278 $2.324142 $     9.09  $     2.46  
51077 $  6257   $  2030145046  $  1070466671     $       88688  $    44794730  $    58227365  $      371420  $       0      $       0      $      97      $           0  $              $1.896505      $88688.000000      $23.693079 $30.797945 $0.196454 $     0.77  $   156.77  
