PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51403 $  1003   $  5553169448  $  7831939899     $    11499552  $   154116134  $   155855447  $   144661013  $      49      $       0      $      97      $           0  $              $0.709041      $11499552.000000      $9.833930 $9.944914 $9.230613 $     0.99  $     1.08  
51401 $  1003   $ 15398495770  $  8843384637     $     1308930  $   343774842  $   455948482  $     4919723  $       0      $       0      $      97      $           0  $              $1.741245      $1308930.000000      $21.935783 $29.093422 $0.313920 $     0.75  $    92.68  
51403 $  2006   $  6413128016  $  9113893197     $    15310645  $   199387120  $   199444969  $   193875609  $      50      $       0      $      97      $           0  $              $0.703665      $15310645.000000      $12.722608 $12.726299 $12.370927 $     1.00  $     1.03  
51401 $  2006   $ 15684325683  $  9110504499     $     1289489  $   350987805  $   464902805  $     4718766  $       0      $       0      $      97      $           0  $              $1.721565      $1289489.000000      $22.396032 $29.664785 $0.301098 $     0.75  $    98.52  
51403 $  3009   $  6340535874  $  9112176807     $    15438346  $   200412321  $   200470245  $   194875333  $      50      $       0      $      97      $           0  $              $0.695831      $15438346.000000      $12.788024 $12.791720 $12.434717 $     1.00  $     1.03  
51401 $  3008   $ 15673884476  $  9109041029     $     1286752  $   350408156  $   462143727  $     4714114  $       0      $       0      $      97      $           0  $              $1.720695      $1286752.000000      $22.381359 $29.518162 $0.301101 $     0.76  $    98.03  
51403 $  4012   $  6416912492  $  9111875239     $    15434419  $   200223447  $   200282890  $   194690278  $      50      $       0      $      97      $           0  $              $0.704236      $15434419.000000      $12.775972 $12.779766 $12.422909 $     1.00  $     1.03  
51401 $  4011   $ 15614135612  $  9108411590     $     1341384  $   349384137  $   462042823  $     4874723  $       0      $       0      $      97      $           0  $              $1.714254      $1341384.000000      $22.293703 $29.482294 $0.311049 $     0.76  $    94.78  
51403 $  5015   $  6398169702  $  9113205304     $    15408899  $   199949192  $   200007988  $   194415713  $      50      $       0      $      97      $           0  $              $0.702077      $15408899.000000      $12.758472 $12.762224 $12.405390 $     1.00  $     1.03  
51401 $  5014   $ 15674376680  $  9110108365     $     1284361  $   350716774  $   463882197  $     4711222  $       0      $       0      $      97      $           0  $              $1.720548      $1284361.000000      $22.378736 $29.599663 $0.300616 $     0.76  $    98.46  
51403 $  6018   $  6341595480  $  9113479760     $    15325403  $   198883137  $   198941206  $   193387235  $      50      $       0      $      97      $           0  $              $0.695848      $15325403.000000      $12.690450 $12.694155 $12.339764 $     1.00  $     1.03  
51401 $  6017   $ 15701594258  $  9110168731     $     1283239  $   350988394  $   462761832  $     4705838  $       0      $       0      $      97      $           0  $              $1.723524      $1283239.000000      $22.396069 $29.528172 $0.300273 $     0.76  $    98.34  
51403 $  7019   $  6371884847  $  6997158330     $     9353162  $   128982004  $   129020036  $   125938234  $      44      $       0      $      97      $           0  $              $0.910639      $9353162.000000      $8.246601 $8.249033 $8.051995 $     1.00  $     1.02  
51401 $  7018   $ 15386846725  $  8571961124     $     1105937  $   342874396  $   453055620  $     3852020  $       0      $       0      $      97      $           0  $              $1.795021      $1105937.000000      $21.922039 $28.966593 $0.246283 $     0.76  $   117.62  
51403 $  7064   $        1992  $       83733     $         327  $         174  $         438  $         101  $       1      $       0      $      97      $           0  $              $0.023790      $327.000000      $0.000247 $0.000623 $0.000144 $     0.40  $     4.34  
51426 $  1003   $ 17306157820  $  9013211599     $      113098  $   383414448  $   506992464  $      560231  $      34      $       0      $      65      $           0  $              $1.920088      $113098.000000      $24.465130 $32.350464 $0.035748 $     0.76  $   904.97  
