PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51816 $  1003   $ 16989284441  $  8899516937     $      542521  $   376700273  $   499688541  $     2020040  $      49      $       0      $      97      $           0  $              $1.909012      $542521.000000      $24.036709 $31.884413 $0.128896 $     0.75  $   247.37  
51814 $  1003   $ 14661656098  $  8773868092     $      639647  $  1850159269  $     6406700  $     4879606  $       0      $       0      $      97      $           0  $              $1.671059      $639647.000000      $118.056023 $0.408802 $0.311361 $   288.79  $     1.31  
51816 $  2005   $ 17666413995  $  9183298260     $      472817  $   391326196  $   517603964  $     1503250  $      50      $       0      $      97      $           0  $              $1.923755      $472817.000000      $24.994888 $33.060532 $0.096016 $     0.76  $   344.32  
51814 $  2005   $ 15318627718  $  9136989287     $      625145  $  1934322908  $     6334160  $     4965985  $       0      $       0      $      97      $           0  $              $1.676551      $625145.000000      $123.549568 $0.404577 $0.317189 $   305.38  $     1.28  
51816 $  3007   $ 17646903650  $  9185032656     $      488895  $   391319719  $   519245451  $     1605867  $      51      $       0      $      97      $           0  $              $1.921267      $488895.000000      $24.994473 $33.165379 $0.102570 $     0.75  $   323.34  
51814 $  3007   $ 15314884611  $  9136671444     $      625744  $  1933662201  $     6348253  $     4979891  $       0      $       0      $      97      $           0  $              $1.676200      $625744.000000      $123.507370 $0.405477 $0.318077 $   304.60  $     1.27  
51816 $  4009   $ 17676821284  $  9188986397     $      461018  $   391720131  $   518400369  $     1499326  $      51      $       0      $      97      $           0  $              $1.923696      $461018.000000      $25.020048 $33.111401 $0.095765 $     0.76  $   345.76  
51814 $  4009   $ 15327959377  $  9143328062     $      621385  $  1935494296  $     6334163  $     4966680  $       0      $       0      $      97      $           0  $              $1.676409      $621385.000000      $123.624382 $0.404577 $0.317233 $   305.56  $     1.28  
51816 $  5011   $ 17662298918  $  9183843144     $      483256  $   391016489  $   516654252  $     1568226  $      51      $       0      $      97      $           0  $              $1.923193      $483256.000000      $24.975105 $32.999870 $0.100166 $     0.76  $   329.45  
51814 $  5011   $ 15312509432  $  9137369934     $      624919  $  1933276532  $     6327170  $     4978938  $       0      $       0      $      97      $           0  $              $1.675811      $624919.000000      $123.482735 $0.404131 $0.318016 $   305.55  $     1.27  
51816 $  6014   $ 17657368404  $  9184511422     $      480140  $   391105699  $   516682262  $     1575203  $      51      $       0      $      97      $           0  $              $1.922516      $480140.000000      $24.955896 $32.968758 $0.100511 $     0.76  $   328.01  
51814 $  6014   $ 15315191104  $  9136296997     $      622088  $  1933711614  $     6340778  $     4971074  $       0      $       0      $      97      $           0  $              $1.676302      $622088.000000      $123.387383 $0.404596 $0.317197 $   304.96  $     1.28  
51814 $  6317   $  4754318866  $  2832371984     $      170829  $   601098428  $     1912258  $     1445312  $       0      $       0      $      97      $           0  $              $1.678564      $170829.000000      $126.964684 $0.403909 $0.305280 $   314.34  $     1.32  
51816 $  6317   $  3235296233  $  1685772245     $       68817  $    71390583  $    94586852  $      215432  $      13      $       0      $      97      $           0  $              $1.919178      $68817.000000      $15.079199 $19.978741 $0.045504 $     0.75  $   439.06  
51814 $  7134   $ 12949515010  $  7721557110     $      446910  $  1635115066  $     5401539  $     3685932  $       0      $       0      $      97      $           0  $              $1.677060      $446910.000000      $128.087341 $0.423132 $0.288739 $   302.71  $     1.47  
51814 $  7136   $     2622515  $     1573237     $          27  $      335876  $        1537  $         477  $       0      $       0      $      97      $           0  $              $1.666955      $27.000000      $10.748032 $0.049184 $0.015264 $   218.53  $     3.22  
51814 $  8138   $ 15063135046  $  9042831565     $      624151  $  1897711049  $     6233799  $     4921874  $      50      $       0      $      97      $           0  $              $1.665754      $624151.000000      $121.211090 $0.398167 $0.314371 $   304.42  $     1.27  
51834 $  1002   $ 17203799683  $  9006437476     $      550553  $   381220887  $   504403909  $     2010958  $       0      $       0      $      97      $           0  $              $1.910167      $550553.000000      $24.349438 $32.217415 $0.128444 $     0.76  $   250.83  
51834 $  2004   $ 17467073004  $  9084694124     $      462051  $   386921463  $   511044106  $     1496086  $      50      $       0      $      97      $           0  $              $1.922692      $462051.000000      $24.713547 $32.641541 $0.095558 $     0.76  $   341.59  
51814 $  9140   $ 14849800802  $  8881225326     $      572594  $  1875919026  $     5863418  $     4650798  $       0      $       0      $      97      $           0  $              $1.672044      $572594.000000      $119.819176 $0.374510 $0.297057 $   319.94  $     1.26  
51834 $  3007   $ 17650078667  $  9182526773     $      500100  $   391359768  $   518412726  $     1573856  $      50      $       0      $      97      $           0  $              $1.922137      $500100.000000      $24.972109 $33.079178 $0.100426 $     0.75  $   329.39  
51814 $ 10142   $ 15318045402  $  9137014826     $      627337  $  1934150826  $     6333196  $     4965671  $       0      $       0      $      97      $           0  $              $1.676483      $627337.000000      $123.538574 $0.404516 $0.317169 $   305.40  $     1.28  
51834 $  4010   $ 17666746630  $  9182890234     $      456099  $   391707718  $   517651807  $     1560815  $      50      $       0      $      97      $           0  $              $1.923877      $456099.000000      $24.994310 $33.030624 $0.099593 $     0.76  $   331.65  
51814 $ 11145   $ 15314206710  $  9136171256     $      631601  $  1933562541  $     6336206  $     4974813  $       0      $       0      $      97      $           0  $              $1.676217      $631601.000000      $123.377869 $0.404304 $0.317436 $   305.16  $     1.27  
51834 $  5013   $ 17669643196  $  9182801891     $      469931  $   391334870  $   516227234  $     1520478  $      50      $       0      $      97      $           0  $              $1.924210      $469931.000000      $24.970520 $32.939724 $0.097020 $     0.76  $   339.52  
51814 $ 12148   $ 15316656982  $  9135860091     $      625272  $  1934005318  $     6331570  $     4961740  $       0      $       0      $      97      $           0  $              $1.676543      $625272.000000      $123.406128 $0.404008 $0.316602 $   305.45  $     1.28  
51834 $  6016   $ 17651076259  $  9182855285     $      497276  $   391149765  $   515941721  $     1639906  $      50      $       0      $      97      $           0  $              $1.922177      $497276.000000      $24.958708 $32.921505 $0.104640 $     0.76  $   314.62  
51814 $ 13151   $ 15311084871  $  9136415433     $      633317  $  1933087095  $     6333423  $     4977661  $       0      $       0      $      97      $           0  $              $1.675830      $633317.000000      $123.347534 $0.404127 $0.317617 $   305.22  $     1.27  
51814 $ 13428   $  4329750480  $  2583886692     $      167487  $   546581190  $     1809759  $     1351885  $       0      $       0      $      97      $           0  $              $1.675674      $167487.000000      $126.285904 $0.418139 $0.312349 $   302.02  $     1.34  
51834 $  6294   $  3230469888  $  1681649045     $       60731  $    71253033  $    94123996  $      217346  $      12      $       0      $      97      $           0  $              $1.921013      $60731.000000      $16.403576 $21.668835 $0.050036 $     0.76  $   433.06  
51814 $ 14244   $ 13053832116  $  7776728337     $      449849  $  1648578283  $     5423227  $     3691399  $       0      $       0      $      97      $           0  $              $1.678576      $449849.000000      $129.300262 $0.425351 $0.289521 $   303.98  $     1.47  
51814 $ 14246   $     2343049  $     1406554     $          37  $      300868  $        1723  $         517  $       0      $       0      $      97      $           0  $              $1.665808      $37.000000      $9.627776 $0.055136 $0.016544 $   174.62  $     3.33  
51839 $   265   $  4210509192  $  2247158413     $      189065  $    93155869  $   123613679  $      822186  $       0      $       0      $      97      $           0  $              $1.873704      $189065.000000      $22.498022 $29.853870 $0.198566 $     0.75  $   150.35  
51814 $ 14511   $  3843035474  $  2312937498     $      116990  $   486249282  $     1330722  $     1091216  $      13      $       0      $      97      $           0  $              $1.661539      $116990.000000      $117.433792 $0.321382 $0.263539 $   365.40  $     1.22  
