PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52565 $  1003   $  3365997890  $  9064598226     $     3368514  $   369944150  $   365875622  $     3790952  $      40      $       0      $      97      $           0  $              $0.371334      $3368514.000000      $23.605610 $23.346001 $0.241895 $     1.01  $    96.51  
52563 $  1003   $  1470699280  $  4684278874     $     2999429  $    85978307  $    62117525  $     7117972  $       0      $       0      $      97      $           0  $              $0.313965      $2999429.000000      $5.486153 $3.963631 $0.454188 $     1.38  $     8.73  
52565 $  2006   $  3458537743  $  9326788989     $     1865203  $   390586248  $   386490770  $     1865334  $      40      $       0      $      97      $           0  $              $0.370818      $1865203.000000      $24.922750 $24.661427 $0.119024 $     1.01  $   207.20  
52563 $  2006   $   987680512  $  3915075029     $     3615874  $   106578290  $    82515382  $     7308186  $       0      $       0      $      97      $           0  $              $0.252276      $3615874.000000      $6.800609 $5.265189 $0.466325 $     1.29  $    11.29  
52565 $  3009   $  3414121002  $  9378612301     $     2959358  $   392001868  $   388043483  $     2959335  $      42      $       0      $      97      $           0  $              $0.364033      $2959358.000000      $25.013079 $24.760502 $0.188831 $     1.01  $   131.13  
52563 $  3009   $  1728607703  $  5509289348     $     3527406  $   105076533  $    77739794  $    10902547  $       0      $       0      $      97      $           0  $              $0.313762      $3527406.000000      $6.704784 $4.960465 $0.695676 $     1.35  $     7.13  
52565 $  4012   $  3208459848  $  9332873594     $     2864064  $   405477964  $   403415306  $     2864003  $      40      $       0      $      97      $           0  $              $0.343780      $2864064.000000      $25.872971 $25.741354 $0.182748 $     1.01  $   140.86  
52563 $  4012   $  1404062946  $  4725876863     $     3466942  $   102610851  $    78947678  $    10843945  $       0      $       0      $      97      $           0  $              $0.297101      $3466942.000000      $6.547452 $5.037539 $0.691937 $     1.30  $     7.28  
52565 $  5014   $  3277684040  $  9442047745     $     1940604  $   414133913  $   412092442  $     1940564  $      40      $       0      $      97      $           0  $              $0.347137      $1940604.000000      $26.451668 $26.321274 $0.123948 $     1.00  $   212.36  
52563 $  5015   $  1309542768  $  4706712573     $     3704521  $   109343308  $    82040468  $     7399533  $       0      $       0      $      97      $           0  $              $0.278229      $3704521.000000      $6.977041 $5.234885 $0.472154 $     1.33  $    11.09  
52565 $  6017   $  3330075592  $  9339483449     $     3192241  $   395160303  $   391970726  $     3486300  $      42      $       0      $      97      $           0  $              $0.356559      $3192241.000000      $25.214615 $25.011093 $0.222456 $     1.01  $   112.43  
52563 $  6018   $  1725405935  $  5497077946     $     3512293  $   104051211  $    77663373  $    10890157  $       0      $       0      $      97      $           0  $              $0.313877      $3512293.000000      $6.639359 $4.955589 $0.694885 $     1.34  $     7.13  
52565 $  6499   $  1673826123  $  4474632800     $      460861  $   188876744  $   187035299  $      460870  $      18      $       0      $      97      $           0  $              $0.374070      $460861.000000      $25.079069 $24.834562 $0.061194 $     1.01  $   405.83  
52563 $  6500   $   131838034  $   966751995     $     1392562  $    40591622  $    32753389  $     1395185  $       0      $       0      $      97      $           0  $              $0.136372      $1392562.000000      $5.389759 $4.348998 $0.185253 $     1.24  $    23.48  
52565 $  7106   $  2084326771  $  5570067156     $       58329  $   234966603  $   232871026  $       58317  $      21      $       0      $      97      $           0  $              $0.374201      $58329.000000      $24.774075 $24.553123 $0.006149 $     1.01  $  3993.19  
52565 $  7108   $     1921880  $     5163588     $          36  $      216077  $      214745  $          36  $       0      $       0      $      97      $           0  $              $0.372199      $36.000000      $6.914464 $6.871840 $0.001152 $     1.01  $  5965.14  
52565 $  8111   $  3447888948  $  9342631616     $     3615354  $   389542829  $   385338644  $     3615367  $      41      $       0      $      97      $           0  $              $0.369049      $3615354.000000      $24.856173 $24.587910 $0.230691 $     1.01  $   106.58  
52583 $  1003   $  1480171649  $  4650778759     $     3035724  $    87116314  $    62538934  $     7154586  $       0      $       0      $      97      $           0  $              $0.318263      $3035724.000000      $5.558768 $3.990520 $0.456524 $     1.39  $     8.74  
52565 $  9114   $  3305277157  $  9381724256     $     2172250  $   406792769  $   404211887  $     2172157  $      39      $       0      $      97      $           0  $              $0.352310      $2172250.000000      $25.956867 $25.792183 $0.138602 $     1.01  $   186.09  
52583 $  2006   $  1003642318  $  3914073525     $     3632224  $   106871211  $    82676471  $     7430487  $       0      $       0      $      97      $           0  $              $0.256419      $3632224.000000      $6.819299 $5.275468 $0.474129 $     1.29  $    11.13  
52565 $ 10117   $  3231098263  $  9395247182     $     2896975  $   408410279  $   406264736  $     2896940  $      41      $       0      $      97      $           0  $              $0.343908      $2896975.000000      $26.060078 $25.923174 $0.184850 $     1.01  $   140.24  
52583 $  3009   $  1730894590  $  5433258817     $     3547948  $   105453466  $    77477561  $    10789593  $       0      $       0      $      97      $           0  $              $0.318574      $3547948.000000      $6.728835 $4.943733 $0.688469 $     1.36  $     7.18  
52583 $  3903   $  1059886444  $  3808390916     $     3150470  $    93106061  $    72242452  $     8008574  $       0      $       0      $      97      $           0  $              $0.278303      $3150470.000000      $6.665311 $5.171719 $0.573321 $     1.29  $     9.02  
52565 $ 11011   $  2876447834  $  8308341424     $     2039791  $   362536913  $   360720877  $     2038767  $      35      $       0      $      97      $           0  $              $0.346212      $2039791.000000      $25.953426 $25.823418 $0.145952 $     1.01  $   176.93  
