PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53320 $  1004   $ 22255633030  $  8954141184     $     1068937  $   348163683  $   348185639  $     5974104  $      41      $       0      $      97      $           0  $              $2.485513      $1068937.000000      $22.193701 $22.195101 $0.380819 $     1.00  $    58.28  
53318 $  1004   $  1468007522  $  4667905008     $     3026413  $    85626537  $    61021655  $     7133548  $       0      $       0      $      97      $           0  $              $0.314490      $3026413.000000      $5.458265 $3.889827 $0.454728 $     1.40  $     8.55  
53320 $  2007   $ 23277090511  $  9310158480     $      936886  $   363960618  $   363956722  $     5135824  $      42      $       0      $      97      $           0  $              $2.500182      $936886.000000      $23.223808 $23.223560 $0.327710 $     1.00  $    70.87  
53318 $  2007   $   985852755  $  3908152152     $     3695911  $   107033509  $    81577234  $     7384957  $       0      $       0      $      97      $           0  $              $0.252255      $3695911.000000      $6.829656 $5.205327 $0.471224 $     1.31  $    11.05  
53320 $  3010   $ 23412192031  $  9368054231     $     1032565  $   366260187  $   366247628  $     5904364  $      44      $       0      $      97      $           0  $              $2.499152      $1032565.000000      $23.370541 $23.369738 $0.376749 $     1.00  $    62.03  
53318 $  3010   $  1725134250  $  5498328522     $     3584153  $   105660800  $    76884879  $    10950342  $       0      $       0      $      97      $           0  $              $0.313756      $3584153.000000      $6.742065 $4.905915 $0.698726 $     1.37  $     7.02  
53320 $  4013   $ 23176744299  $  9305999762     $     1100383  $   362387754  $   362387347  $     6254267  $      43      $       0      $      97      $           0  $              $2.490516      $1100383.000000      $23.123446 $23.123421 $0.399076 $     1.00  $    57.94  
53318 $  4013   $  1429648191  $  4784302523     $     3529418  $   103151839  $    78202168  $    10895931  $       0      $       0      $      97      $           0  $              $0.298821      $3529418.000000      $6.581972 $4.989969 $0.695254 $     1.32  $     7.18  
53320 $  5015   $ 23567656705  $  9423470762     $      944163  $   368504497  $   368498265  $     5119491  $      43      $       0      $      97      $           0  $              $2.500953      $944163.000000      $23.537214 $23.536816 $0.326993 $     1.00  $    71.98  
53318 $  5015   $  1277811641  $  4628881575     $     3762782  $   109696800  $    81345562  $     7452326  $       0      $       0      $      97      $           0  $              $0.276052      $3762782.000000      $7.006582 $5.195724 $0.475997 $     1.35  $    10.92  
53320 $  6018   $ 23235338627  $  9322862423     $     1078301  $   363310171  $   363308914  $     6080164  $      44      $       0      $      97      $           0  $              $2.492296      $1078301.000000      $23.182304 $23.182224 $0.387967 $     1.00  $    59.75  
53318 $  6018   $  1721737287  $  5487053039     $     3566673  $   104757287  $    77028412  $    10932440  $       0      $       0      $      97      $           0  $              $0.313782      $3566673.000000      $6.684413 $4.915073 $0.697583 $     1.36  $     7.05  
53320 $  6481   $ 10823500299  $  4296246115     $      312771  $   169317849  $   169314455  $     1691988  $      18      $       0      $      97      $           0  $              $2.519292      $312771.000000      $23.404629 $23.404158 $0.233882 $     1.00  $   100.07  
53318 $  6481   $   127719950  $   917009657     $     1331471  $    38121167  $    30478171  $     1334142  $       0      $       0      $      97      $           0  $              $0.139279      $1331471.000000      $5.269449 $4.212965 $0.184417 $     1.25  $    22.84  
53320 $  7111   $ 15139484589  $  5969944740     $      187700  $   236747355  $   236723554  $     1133294  $      23      $       0      $      97      $           0  $              $2.535951      $187700.000000      $24.050526 $24.048107 $0.115128 $     1.00  $   208.88  
53320 $  7113   $    14329702  $     5633129     $          92  $      224130  $      224138  $         692  $       0      $       0      $      97      $           0  $              $2.543826      $92.000000      $7.172160 $7.172416 $0.022144 $     1.00  $   323.90  
53320 $  8116   $ 23357230698  $  9323172809     $      920077  $   365429155  $   365418146  $     5271721  $      43      $       0      $      97      $           0  $              $2.505288      $920077.000000      $23.317513 $23.316811 $0.336381 $     1.00  $    69.32  
53338 $  1003   $  1469296297  $  4699197620     $     3060943  $    86483887  $    62737258  $     7164813  $       0      $       0      $      97      $           0  $              $0.312670      $3060943.000000      $5.518414 $4.003175 $0.457177 $     1.38  $     8.76  
53320 $  9118   $ 23274654209  $  9313443888     $      948870  $   363896400  $   363892703  $     5164816  $      42      $       0      $      97      $           0  $              $2.499038      $948870.000000      $23.242884 $23.242647 $0.329888 $     1.00  $    70.46  
