PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53413 $  1004   $ 21651324919  $  8969633707     $      708111  $   350885850  $   428341784  $     4470414  $      41      $       0      $      97      $           0  $              $2.413847      $708111.000000      $22.367226 $27.304657 $0.284967 $     0.82  $    95.82  
53411 $  1004   $  1467458851  $  4677308472     $     3023812  $    85607803  $    62299386  $     7130290  $       0      $       0      $      97      $           0  $              $0.313740      $3023812.000000      $5.457071 $3.971276 $0.454520 $     1.37  $     8.74  
53413 $  2007   $ 22402770173  $  9292172641     $      533455  $   362926742  $   446594248  $     3568477  $      41      $       0      $      97      $           0  $              $2.410929      $533455.000000      $23.157839 $28.496542 $0.227699 $     0.81  $   125.15  
53411 $  2007   $   984605526  $  3907679205     $     3668045  $   106507741  $    82653525  $     7358370  $       0      $       0      $      97      $           0  $              $0.251967      $3668045.000000      $6.796107 $5.274004 $0.469527 $     1.29  $    11.23  
53413 $  3010   $ 22572340023  $  9352243841     $      683495  $   365429270  $   444343858  $     4422906  $      43      $       0      $      97      $           0  $              $2.413575      $683495.000000      $23.317522 $28.352949 $0.282219 $     0.82  $   100.46  
53411 $  3010   $  1723815989  $  5498841077     $     3553487  $   105036305  $    78018867  $    10921707  $       0      $       0      $      97      $           0  $              $0.313487      $3553487.000000      $6.702217 $4.978272 $0.696899 $     1.35  $     7.14  
53413 $  4013   $ 22455488843  $  9302191133     $      687584  $   363483245  $   443827672  $     4580729  $      43      $       0      $      97      $           0  $              $2.414000      $687584.000000      $23.193346 $28.320011 $0.292290 $     0.82  $    96.89  
53411 $  4013   $  1386253527  $  4684188731     $     3496688  $   102490381  $    79389524  $    10865933  $       0      $       0      $      97      $           0  $              $0.295943      $3496688.000000      $6.539765 $5.065732 $0.693340 $     1.29  $     7.31  
53413 $  5015   $ 22819643093  $  9411462851     $      537736  $   369186341  $   449961418  $     3430466  $      42      $       0      $      97      $           0  $              $2.424665      $537736.000000      $23.580765 $28.740049 $0.219112 $     0.82  $   131.17  
53411 $  5015   $  1319612320  $  4730711171     $     3747099  $   109324880  $    82306161  $     7436879  $       0      $       0      $      97      $           0  $              $0.278946      $3747099.000000      $6.982827 $5.257080 $0.475010 $     1.33  $    11.07  
53413 $  6018   $ 22490411583  $  9325624365     $      767680  $   363917897  $   441780074  $     4979735  $      43      $       0      $      97      $           0  $              $2.411679      $767680.000000      $23.221081 $28.189356 $0.317750 $     0.82  $    88.72  
53411 $  6018   $  1722017315  $  5492849426     $     3546116  $   104151864  $    78291573  $    10916785  $       0      $       0      $      97      $           0  $              $0.313502      $3546116.000000      $6.645782 $4.995674 $0.696584 $     1.33  $     7.17  
53413 $  6490   $ 10430506151  $  4343605624     $      249465  $   169111860  $   208537535  $     1654280  $      18      $       0      $      97      $           0  $              $2.401347      $249465.000000      $22.930422 $28.276276 $0.224309 $     0.81  $   126.06  
53411 $  6490   $   134335051  $   980223997     $     1435572  $    40967016  $    33074734  $     1438666  $       0      $       0      $      97      $           0  $              $0.137045      $1435572.000000      $5.554850 $4.484710 $0.195073 $     1.24  $    22.99  
53413 $  7091   $ 14559478451  $  5951218702     $       68322  $   235576142  $   287873059  $      514766  $      22      $       0      $      97      $           0  $              $2.446470      $68322.000000      $25.086311 $30.655367 $0.054817 $     0.82  $   559.23  
53413 $  7093   $    13820808  $     5518234     $          79  $      222107  $      256358  $         599  $       0      $       0      $      97      $           0  $              $2.504571      $79.000000      $7.107424 $8.203456 $0.019168 $     0.87  $   427.98  
53413 $  8095   $ 22502751556  $  9307639979     $      720947  $   364176407  $   442634478  $     4801758  $      43      $       0      $      97      $           0  $              $2.417665      $720947.000000      $23.260769 $28.272062 $0.306699 $     0.82  $    92.18  
53433 $  1003   $  1470833463  $  4699998110     $     3074954  $    86947294  $    62540050  $     7177814  $       0      $       0      $      97      $           0  $              $0.312943      $3074954.000000      $5.547983 $3.990591 $0.458006 $     1.39  $     8.71  
53413 $  9098   $ 22360679780  $  9297894375     $      639205  $   361873053  $   442250533  $     4245508  $      41      $       0      $      97      $           0  $              $2.404919      $639205.000000      $23.090603 $28.219376 $0.270900 $     0.82  $   104.17  
53433 $  2006   $   986504992  $  3910055865     $     3679469  $   106903754  $    82059552  $     7374319  $       0      $       0      $      97      $           0  $              $0.252299      $3679469.000000      $6.821376 $5.236103 $0.470545 $     1.30  $    11.13  
53413 $ 10101   $ 22635185699  $  9355664842     $      596300  $   366607429  $   447893310  $     3847126  $      43      $       0      $      97      $           0  $              $2.419410      $596300.000000      $23.392696 $28.579433 $0.245480 $     0.82  $   116.42  
53433 $  3009   $  1720253301  $  5488662101     $     3564365  $   105535311  $    77456051  $    10883644  $       0      $       0      $      97      $           0  $              $0.313419      $3564365.000000      $6.734058 $4.942360 $0.694470 $     1.36  $     7.12  
53413 $ 11104   $ 22389367755  $  9297375889     $      782950  $   362439922  $   441937181  $     5173466  $      43      $       0      $      97      $           0  $              $2.408138      $782950.000000      $23.126776 $28.199381 $0.330112 $     0.82  $    85.42  
53433 $  4012   $  1454273587  $  4840735294     $     3508830  $   103120783  $    78303342  $    10876621  $       0      $       0      $      97      $           0  $              $0.300424      $3508830.000000      $6.579990 $4.996425 $0.694022 $     1.32  $     7.20  
53413 $ 12107   $ 22880871877  $  9417476158     $      550501  $   370326837  $   451979988  $     3550477  $      43      $       0      $      97      $           0  $              $2.429618      $550501.000000      $23.630028 $28.840199 $0.226551 $     0.82  $   127.30  
53433 $  5015   $  1253927492  $  4571906530     $     3743109  $   109468372  $    82033358  $     7430839  $       0      $       0      $      97      $           0  $              $0.274268      $3743109.000000      $6.985021 $5.234432 $0.474151 $     1.33  $    11.04  
53413 $ 13110   $ 22485427581  $  9316443397     $      717905  $   363825033  $   442105608  $     4570827  $      43      $       0      $      97      $           0  $              $2.413521      $717905.000000      $23.215157 $28.210129 $0.291658 $     0.82  $    96.72  
53433 $  6018   $  1722236410  $  5487300381     $     3549181  $   104594749  $    77423699  $    10917373  $       0      $       0      $      97      $           0  $              $0.313859      $3549181.000000      $6.674042 $4.940296 $0.696622 $     1.35  $     7.09  
53413 $ 13543   $  9245656584  $  3822824290     $      207564  $   149392274  $   180519087  $     1373831  $      16      $       0      $      97      $           0  $              $2.418541      $207564.000000      $22.081076 $26.681805 $0.203060 $     0.83  $   131.40  
53433 $  6451   $   126392126  $   904337357     $     1311539  $    37543755  $    30085205  $     1314000  $       0      $       0      $      97      $           0  $              $0.139762      $1311539.000000      $5.549192 $4.446774 $0.194217 $     1.25  $    22.90  
53413 $ 13545   $           0  $           0     $           0  $           0  $           0  $           0  $       0      $       0      $      97      $           0  $              $-nan      $0.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
53443 $  1004   $  1486849418  $  4824840947     $     3118056  $    94218517  $    67787601  $     7193373  $      24      $       0      $      65      $           0  $              $0.308165      $3118056.000000      $6.005961 $4.321122 $0.458542 $     1.39  $     9.42  
