PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53785 $  1003   $  6759877414  $  9076376590     $        4301  $    16255145  $    17818494  $       64228  $      40      $       0      $      97      $           0  $              $0.744777      $4301.000000      $1.037218 $1.136973 $0.004098 $     0.91  $   277.43  
53783 $  1003   $  6754026076  $  9075643912     $        5244  $    16483661  $    18214829  $       90947  $       0      $       0      $      97      $           0  $              $0.744192      $5244.000000      $1.051799 $1.162262 $0.005803 $     0.90  $   200.28  
53785 $  2005   $  6859693162  $  9199929938     $        1272  $    16145688  $    17446470  $       30977  $      41      $       0      $      97      $           0  $              $0.745624      $1272.000000      $1.031262 $1.114345 $0.001979 $     0.93  $   563.21  
53783 $  2006   $  6853831431  $  9198616711     $        2531  $    16192481  $    17539604  $       56579  $       0      $       0      $      97      $           0  $              $0.745094      $2531.000000      $1.033219 $1.119177 $0.003610 $     0.92  $   310.00  
53785 $  3007   $  6865950395  $  9190982767     $        1622  $    15175403  $    15772505  $       35280  $      41      $       0      $      97      $           0  $              $0.747031      $1622.000000      $0.969287 $1.007425 $0.002253 $     0.96  $   447.07  
53783 $  3008   $  6859081530  $  9190399774     $        2313  $    15269822  $    15929284  $       52569  $       0      $       0      $      97      $           0  $              $0.746331      $2313.000000      $0.975318 $1.017439 $0.003358 $     0.96  $   303.02  
53785 $  4009   $  6880196262  $  9197564400     $        1703  $    14609583  $    14805055  $       37043  $      41      $       0      $      97      $           0  $              $0.748046      $1703.000000      $0.933147 $0.945632 $0.002366 $     0.99  $   399.67  
53783 $  4010   $  6867624727  $  9195408723     $        1955  $    15317720  $    15932518  $       47692  $       0      $       0      $      97      $           0  $              $0.746854      $1955.000000      $0.978377 $1.017646 $0.003046 $     0.96  $   334.07  
53785 $  5011   $  6860885626  $  9191779177     $        1183  $    15454455  $    16246825  $       31114  $      41      $       0      $      97      $           0  $              $0.746415      $1183.000000      $0.987111 $1.037721 $0.001987 $     0.95  $   522.17  
53783 $  5012   $  6856119250  $  9189188924     $        2420  $    15144506  $    15728000  $       55770  $       0      $       0      $      97      $           0  $              $0.746107      $2420.000000      $0.967314 $1.004583 $0.003562 $     0.96  $   282.02  
53785 $  6013   $  6857895760  $  9191502434     $        1328  $    16211451  $    17602045  $       31060  $      41      $       0      $      97      $           0  $              $0.746113      $1328.000000      $1.035462 $1.124282 $0.001984 $     0.92  $   566.71  
53783 $  6014   $  6850883371  $  9190794686     $        2775  $    16166248  $    17487099  $       58275  $       0      $       0      $      97      $           0  $              $0.745407      $2775.000000      $1.032575 $1.116940 $0.003722 $     0.92  $   300.08  
53785 $  7015   $  6846889133  $  9191554494     $        1305  $    16946137  $    18908946  $       29592  $      41      $       0      $      97      $           0  $              $0.744911      $1305.000000      $1.082388 $1.207757 $0.001890 $     0.90  $   638.99  
53783 $  7016   $  6853823085  $  9189384803     $        2829  $    16275583  $    17728762  $       59213  $       0      $       0      $      97      $           0  $              $0.745841      $2829.000000      $1.039558 $1.132376 $0.003782 $     0.92  $   299.41  
53785 $  8017   $  6854419643  $  9192618536     $        1302  $    16019586  $    17273361  $       30046  $      41      $       0      $      97      $           0  $              $0.745644      $1302.000000      $1.023207 $1.103288 $0.001919 $     0.93  $   574.90  
53783 $  8018   $  6841200896  $  9189827151     $        2628  $    16576259  $    18254814  $       55521  $       0      $       0      $      97      $           0  $              $0.744432      $2628.000000      $1.058763 $1.165976 $0.003546 $     0.91  $   328.79  
53785 $  9020   $  6857653404  $  9191832948     $        1403  $    16061310  $    17304772  $       30410  $      41      $       0      $      97      $           0  $              $0.746059      $1403.000000      $1.024849 $1.104193 $0.001940 $     0.93  $   569.05  
53783 $  9021   $  6851180186  $  9191354792     $        2623  $    16398967  $    17902508  $       57009  $       0      $       0      $      97      $           0  $              $0.745394      $2623.000000      $1.046395 $1.142334 $0.003638 $     0.92  $   314.03  
53785 $ 10023   $  6879660688  $  9199535030     $        1448  $    14857206  $    15214468  $       32569  $      41      $       0      $      97      $           0  $              $0.747827      $1448.000000      $0.948017 $0.970814 $0.002078 $     0.98  $   467.15  
53783 $ 10024   $  6868090932  $  9197381696     $        2444  $    15200939  $    15813448  $       55258  $       0      $       0      $      97      $           0  $              $0.746744      $2444.000000      $0.969950 $1.009034 $0.003526 $     0.96  $   286.17  
53783 $ 10417   $  2538432505  $  3530069309     $         970  $     5375956  $     5608966  $       19972  $       0      $       0      $      97      $           0  $              $0.719089      $970.000000      $0.875474 $0.913419 $0.003252 $     0.96  $   280.84  
53785 $ 10417   $  2463898540  $  3403808453     $        1069  $     5055422  $     5144658  $        9318  $      15      $       0      $      97      $           0  $              $0.723865      $1069.000000      $0.821185 $0.835680 $0.001514 $     0.98  $   552.12  
53783 $ 10419   $           0  $           0     $           0  $           0  $           0  $           0  $       0      $       0      $      97      $           0  $              $-nan      $0.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
53803 $  1003   $  6827478815  $  9165801339     $        2569  $    16775589  $    18380826  $       33161  $      30      $       0      $      65      $           0  $              $0.744886      $2569.000000      $1.070426 $1.172854 $0.002116 $     0.91  $   554.29  
