PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53956 $  1003   $  4033935224  $  8820953288     $    13612884  $   229432346  $   176415007  $    39779354  $      42      $       0      $      97      $           0  $              $0.457313      $13612884.000000      $14.639751 $11.256790 $2.538264 $     1.30  $     4.43  
53954 $  1003   $  6721081574  $  9084685285     $      189914  $    15633193  $    16779370  $     3758851  $       0      $       0      $      97      $           0  $              $0.739825      $189914.000000      $0.997532 $1.070668 $0.239847 $     0.93  $     4.46  
53956 $  2005   $  4262400915  $  9151218552     $    16211646  $   274483290  $   210868822  $    47003006  $      43      $       0      $      97      $           0  $              $0.465774      $16211646.000000      $17.531868 $13.468667 $3.002188 $     1.30  $     4.49  
53954 $  2005   $  6782241794  $  9148484081     $      216803  $    14762623  $    15201841  $     4316760  $       0      $       0      $      97      $           0  $              $0.741351      $216803.000000      $0.942922 $0.970976 $0.275721 $     0.97  $     3.52  
53956 $  3007   $  4261084178  $  9148605027     $    16215074  $   274476035  $   210869647  $    46997075  $      43      $       0      $      97      $           0  $              $0.465763      $16215074.000000      $17.531403 $13.468720 $3.001809 $     1.30  $     4.49  
53954 $  3007   $  6775228899  $  9145400104     $      215743  $    15191948  $    15935610  $     4315918  $       0      $       0      $      97      $           0  $              $0.740835      $215743.000000      $0.970344 $1.017843 $0.275667 $     0.95  $     3.69  
53956 $  4009   $  4257399390  $  9147867462     $    16212261  $   274445238  $   210834272  $    46966850  $      43      $       0      $      97      $           0  $              $0.465398      $16212261.000000      $17.529436 $13.466460 $2.999878 $     1.30  $     4.49  
53954 $  4009   $  6780346427  $  9144675245     $      215997  $    14963514  $    15516760  $     4306843  $       0      $       0      $      97      $           0  $              $0.741453      $215997.000000      $0.955753 $0.991090 $0.275088 $     0.96  $     3.60  
53956 $  5011   $  4255882399  $  9147463496     $    16215737  $   274432430  $   210828502  $    46954671  $      43      $       0      $      97      $           0  $              $0.465253      $16215737.000000      $17.528618 $13.466091 $2.999101 $     1.30  $     4.49  
53954 $  5012   $  6777614591  $  9143831691     $      217010  $    15252012  $    16005809  $     4309740  $       0      $       0      $      97      $           0  $              $0.741223      $217010.000000      $0.973209 $1.021308 $0.274998 $     0.95  $     3.71  
53956 $  6013   $  4258332678  $  9148855994     $    16212013  $   274446292  $   210842286  $    46968706  $      43      $       0      $      97      $           0  $              $0.465450      $16212013.000000      $17.529505 $13.466972 $2.999997 $     1.30  $     4.49  
53954 $  6014   $  6771831838  $  9146795977     $      217956  $    15361031  $    16197080  $     4308108  $       0      $       0      $      97      $           0  $              $0.740350      $217956.000000      $0.981144 $1.034544 $0.275169 $     0.95  $     3.76  
53956 $  7015   $  4259009249  $  9148096134     $    16204826  $   274442775  $   210840866  $    46965679  $      43      $       0      $      97      $           0  $              $0.465562      $16204826.000000      $17.529280 $13.466882 $2.999804 $     1.30  $     4.49  
53954 $  7016   $  6767519753  $  9145498893     $      216905  $    15433126  $    16356585  $     4312099  $       0      $       0      $      97      $           0  $              $0.739984      $216905.000000      $0.985749 $1.044732 $0.275423 $     0.94  $     3.79  
53956 $  8017   $  4256761222  $  9149717848     $    16214775  $   274436383  $   210833211  $    46957178  $      43      $       0      $      97      $           0  $              $0.465234      $16214775.000000      $17.528872 $13.466393 $2.999261 $     1.30  $     4.49  
53954 $  8019   $  6775916877  $  9146260222     $      214806  $    15391012  $    16302109  $     4262190  $       0      $       0      $      97      $           0  $              $0.740840      $214806.000000      $0.982079 $1.040214 $0.271964 $     0.94  $     3.82  
53954 $  8646   $  4305351040  $  5804781423     $      110568  $     9899838  $    10551333  $     2205544  $       0      $       0      $      97      $           0  $              $0.741690      $110568.000000      $1.010510 $1.077010 $0.225127 $     0.94  $     4.78  
53956 $  8644   $  2165996205  $  4664949289     $     8110677  $   137317143  $   105517581  $    23571553  $      25      $       0      $      97      $           0  $              $0.464313      $8110677.000000      $14.016422 $10.770535 $2.406028 $     1.30  $     4.48  
53954 $  9134   $  3478328174  $  4664205391     $          45  $     8104341  $     8674960  $         182  $       0      $       0      $      97      $           0  $              $0.745749      $45.000000      $1.062864 $1.137700 $0.000024 $     0.93  $ 47664.62  
53954 $  9137   $     1156800  $     1387624     $           2  $        2062  $        1980  $           3  $       0      $       0      $      97      $           0  $              $0.833655      $2.000000      $0.043989 $0.042240 $0.000064 $     1.04  $   660.00  
53954 $ 10140   $  6487564652  $  8737617553     $      190366  $    13894721  $    14126131  $     3782452  $      42      $       0      $      97      $           0  $              $0.742487      $190366.000000      $0.886602 $0.901368 $0.241353 $     0.98  $     3.73  
53976 $  1003   $  4069563011  $  8884184381     $    13642546  $   230347398  $   173989057  $    40158328  $       0      $       0      $      97      $           0  $              $0.458068      $13642546.000000      $14.698138 $11.101994 $2.562446 $     1.32  $     4.33  
53976 $  1435   $  1805018791  $  3850645557     $     7746088  $   132761824  $   100647053  $    20535397  $      18      $       0      $      97      $           0  $              $0.468757      $7746088.000000      $19.668419 $14.910675 $3.042281 $     1.32  $     4.90  
53954 $ 10572   $  2564310646  $  3593501309     $       86607  $     5891681  $     6472290  $     1637875  $       0      $       0      $      97      $           0  $              $0.713597      $86607.000000      $0.872842 $0.958858 $0.242648 $     0.91  $     3.95  
