PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54426 $  1003   $  3301604064  $  9026296302     $     3302378  $   357255889  $   353045981  $     3720480  $      40      $       0      $      97      $           0  $              $0.365776      $3302378.000000      $22.795990 $22.527361 $0.237399 $     1.01  $    94.89  
54424 $  1004   $  4383908306  $  5176482502     $    12774457  $   165882946  $    31051618  $    14668810  $       0      $       0      $      97      $           0  $              $0.846889      $12774457.000000      $10.574211 $1.979386 $0.935064 $     5.34  $     2.12  
54426 $  2005   $  3340141259  $  9343083752     $     4031874  $   377584664  $   372279968  $     4031990  $      42      $       0      $      97      $           0  $              $0.357499      $4031874.000000      $24.117184 $23.778360 $0.257532 $     1.01  $    92.33  
54424 $  2006   $  5817560527  $  5912792849     $    18071038  $   235978247  $    46361618  $    25187825  $       0      $       0      $      97      $           0  $              $0.983894      $18071038.000000      $15.072462 $2.961221 $1.608803 $     5.09  $     1.84  
54426 $  3007   $  3004050849  $  9095949156     $    11072761  $   342204712  $   335333865  $    11072503  $      51      $       0      $      97      $           0  $              $0.330263      $11072761.000000      $21.857386 $21.418530 $0.707226 $     1.02  $    30.29  
54424 $  3008   $ 17459464931  $  9002242896     $    35942946  $   811452501  $   134107273  $    65425716  $       0      $       0      $      97      $           0  $              $1.939457      $35942944.000000      $51.829300 $8.565734 $4.178888 $     6.05  $     2.05  
54426 $  3150   $   478127691  $  1368548675     $      722452  $    58194370  $    57615253  $      722435  $       5      $       0      $      97      $           0  $              $0.349368      $722452.000000      $26.045033 $25.785847 $0.323328 $     1.01  $    79.75  
54424 $  3152   $   778110824  $   351230385     $      623789  $    36243661  $     4048049  $     3086573  $       0      $       0      $      97      $           0  $              $2.215386      $623789.000000      $16.108294 $1.799133 $1.371810 $     8.95  $     1.31  
54426 $  4090   $  3031287292  $  8630953487     $      106022  $   382152813  $   379765155  $      106032  $      31      $       0      $      97      $           0  $              $0.351211      $106022.000000      $26.018913 $25.856350 $0.007219 $     1.01  $  3581.61  
54426 $  4092   $     1970964  $     5649966     $          36  $      248381  $      247085  $          30  $       0      $       0      $      97      $           0  $              $0.348845      $36.000000      $7.948192 $7.906720 $0.000960 $     1.01  $  8236.17  
