PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55417 $  1003   $  3328910541  $  8851119174     $     4249342  $   365822600  $   361616415  $     4670008  $      47      $       0      $      97      $           0  $              $0.376101      $4249342.000000      $23.342619 $23.074228 $0.297987 $     1.01  $    77.43  
55415 $  1003   $  3291627538  $  8778439101     $     4237333  $   366556721  $   363712757  $     4658236  $       0      $       0      $      97      $           0  $              $0.374967      $4237333.000000      $23.389463 $23.207993 $0.297235 $     1.01  $    78.08  
55417 $  2006   $  3423756372  $  9161830025     $     4337659  $   387001542  $   382619507  $     4337700  $      49      $       0      $      97      $           0  $              $0.373698      $4337659.000000      $24.694016 $24.414406 $0.276782 $     1.01  $    88.21  
55415 $  2006   $  3427942072  $  9167716506     $     3985079  $   385885480  $   383062057  $     3985020  $       0      $       0      $      97      $           0  $              $0.373915      $3985079.000000      $24.622803 $24.442642 $0.254278 $     1.01  $    96.13  
55417 $  3008   $  3390939321  $  9154755058     $     4254339  $   388322712  $   384104524  $     4254342  $      49      $       0      $      97      $           0  $              $0.370402      $4254339.000000      $24.803047 $24.533621 $0.271734 $     1.01  $    90.29  
55415 $  3009   $  3447075625  $  9152304401     $     4342250  $   383247702  $   380546976  $     4544248  $       0      $       0      $      97      $           0  $              $0.376635      $4342250.000000      $24.454491 $24.282160 $0.289962 $     1.01  $    83.74  
55417 $  4010   $  3197791357  $  9159086160     $     3521072  $   404966231  $   402011986  $     3521100  $      48      $       0      $      97      $           0  $              $0.349139      $3521072.000000      $25.866108 $25.677414 $0.224901 $     1.01  $   114.17  
55415 $  4011   $  3424529183  $  9156062948     $     3969490  $   385404431  $   382675134  $     3969501  $       0      $       0      $      97      $           0  $              $0.374018      $3969490.000000      $24.616650 $24.442324 $0.253541 $     1.01  $    96.40  
55417 $  5012   $  3197608222  $  9158141491     $     3576303  $   404827507  $   401963662  $     3576320  $      48      $       0      $      97      $           0  $              $0.349155      $3576303.000000      $25.857246 $25.674324 $0.228428 $     1.01  $   112.40  
55415 $  5013   $  3424157870  $  9154992973     $     3942845  $   385378142  $   382638897  $     3942830  $       0      $       0      $      97      $           0  $              $0.374021      $3942845.000000      $24.614971 $24.440010 $0.251837 $     1.01  $    97.05  
55417 $  6014   $  3304250885  $  9162027241     $     4304149  $   395175171  $   391717982  $     4589853  $      49      $       0      $      97      $           0  $              $0.360646      $4304149.000000      $25.240728 $25.019911 $0.293164 $     1.01  $    85.34  
55415 $  6015   $  3443372951  $  9152555870     $     4369370  $   383061185  $   380236399  $     4570798  $       0      $       0      $      97      $           0  $              $0.376220      $4369370.000000      $24.466982 $24.286556 $0.291947 $     1.01  $    83.19  
55417 $  7016   $  3426235119  $  9164919545     $     4088972  $   386975135  $   382879080  $     4088990  $      49      $       0      $      97      $           0  $              $0.373842      $4088972.000000      $24.716974 $24.455349 $0.261173 $     1.01  $    93.64  
55415 $  7017   $  3426703679  $  9162105936     $     4296090  $   385524290  $   382907748  $     4296002  $       0      $       0      $      97      $           0  $              $0.374008      $4296090.000000      $24.624306 $24.457182 $0.274395 $     1.01  $    89.13  
55417 $  8019   $  3424085364  $  9160835771     $     1486121  $   386443649  $   382640837  $     1486040  $      49      $       0      $      97      $           0  $              $0.373774      $1486121.000000      $24.658419 $24.415766 $0.094822 $     1.01  $   257.49  
55415 $  8020   $  3424266497  $  9158719476     $     5195278  $   385342142  $   382649422  $     5195179  $       0      $       0      $      97      $           0  $              $0.373880      $5195278.000000      $24.588133 $24.416313 $0.331497 $     1.01  $    73.65  
55417 $  9021   $  3284487036  $  9157670005     $     2884909  $   396332305  $   393048096  $     2884807  $      49      $       0      $      97      $           0  $              $0.358660      $2884909.000000      $25.314640 $25.104868 $0.184259 $     1.01  $   136.25  
55415 $  9023   $  3445481162  $  9148418011     $     4682339  $   383074697  $   380323939  $     4884787  $       0      $       0      $      97      $           0  $              $0.376620      $4682339.000000      $24.443449 $24.267927 $0.311691 $     1.01  $    77.86  
55417 $ 10023   $  3197348760  $  9157228385     $     3444823  $   404837839  $   401942644  $     3444850  $      48      $       0      $      97      $           0  $              $0.349161      $3444823.000000      $25.857904 $25.672983 $0.220030 $     1.01  $   116.68  
55415 $ 10025   $  3423853241  $  9154446037     $     3942073  $   385244619  $   382598967  $     3942076  $       0      $       0      $      97      $           0  $              $0.374010      $3942073.000000      $24.606441 $24.437460 $0.251789 $     1.01  $    97.06  
55417 $ 11025   $  3197927875  $  9159187048     $     3510335  $   404854398  $   402000721  $     3510320  $      48      $       0      $      97      $           0  $              $0.349150      $3510335.000000      $25.858963 $25.676693 $0.224212 $     1.01  $   114.52  
55415 $ 11027   $  3424417761  $  9155938147     $     3937361  $   385406916  $   382666941  $     3937352  $       0      $       0      $      97      $           0  $              $0.374011      $3937361.000000      $24.616808 $24.441801 $0.251488 $     1.01  $    97.19  
55415 $ 11231   $   725896958  $  1940650295     $      433679  $    81613837  $    81107508  $      433675  $       0      $       0      $      97      $           0  $              $0.374048      $433679.000000      $25.604342 $25.445492 $0.136055 $     1.01  $   187.02  
55417 $ 11229   $   316679957  $   903771896     $      352823  $    39121635  $    38840520  $      351791  $       8      $       0      $      97      $           0  $              $0.350398      $352823.000000      $12.273455 $12.185261 $0.110366 $     1.01  $   110.41  
55415 $ 12132   $  3329498850  $  8826604756     $      229454  $   369087322  $   367231357  $      419234  $       0      $       0      $      97      $           0  $              $0.377212      $229454.000000      $26.217079 $26.085247 $0.029779 $     1.01  $   875.96  
55415 $ 12134   $      530428  $     1434923     $           4  $       59833  $       59397  $           2  $       0      $       0      $      97      $           0  $              $0.369656      $4.000000      $1.914656 $1.900704 $0.000064 $     1.01  $ 29698.50  
