PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55902 $  1004   $  4043811799  $  8786874205     $    13561988  $   229583756  $   167244288  $    39868274  $      46      $       0      $      97      $           0  $              $0.460211      $13561988.000000      $14.634821 $10.660991 $2.541404 $     1.37  $     4.19  
55900 $  1003   $  3097939169  $  8788177548     $     9900057  $   347056596  $   342388861  $    10325325  $       0      $       0      $      97      $           0  $              $0.352512      $9900057.000000      $22.145187 $21.847345 $0.658844 $     1.01  $    33.16  
55902 $  2006   $  4281631519  $  9123401113     $    16141444  $   274691077  $   199874477  $    47151686  $      47      $       0      $      97      $           0  $              $0.469302      $16141444.000000      $17.545137 $12.766434 $3.011685 $     1.37  $     4.24  
55900 $  2005   $  3169732556  $  9121037073     $    10666402  $   359341877  $   354579213  $    10666269  $       0      $       0      $      97      $           0  $              $0.347519      $10666402.000000      $22.951977 $22.647774 $0.681279 $     1.01  $    33.24  
55902 $  3008   $  4280831027  $  9123187038     $    16146390  $   274699540  $   199885384  $    47154392  $      47      $       0      $      97      $           0  $              $0.469225      $16146390.000000      $17.545679 $12.767130 $3.011857 $     1.37  $     4.24  
55900 $  3007   $  3169099388  $  9121346080     $    10663771  $   359316948  $   354508991  $    10663685  $       0      $       0      $      97      $           0  $              $0.347438      $10663771.000000      $22.950384 $22.643290 $0.681114 $     1.01  $    33.24  
55902 $  4010   $  4272362785  $  9123311676     $    16186117  $   274638023  $   199830949  $    47101806  $      47      $       0      $      97      $           0  $              $0.468291      $16186117.000000      $17.541750 $12.763653 $3.008499 $     1.37  $     4.24  
55900 $  4009   $  3191919512  $  9114510797     $    10688747  $   356485848  $   351664682  $    10929701  $       0      $       0      $      97      $           0  $              $0.350202      $10688747.000000      $22.769556 $22.461617 $0.698105 $     1.01  $    32.18  
55902 $  5012   $  4280009643  $  9122700218     $    16152864  $   274691737  $   199879116  $    47147036  $      47      $       0      $      97      $           0  $              $0.469160      $16152864.000000      $17.545181 $12.766730 $3.011388 $     1.37  $     4.24  
55900 $  5011   $  3168176641  $  9120056919     $    10658383  $   359221726  $   354404136  $    10658282  $       0      $       0      $      97      $           0  $              $0.347386      $10658383.000000      $22.944302 $22.636591 $0.680768 $     1.01  $    33.25  
55902 $  6014   $  4280697689  $  9122350360     $    16144379  $   274689715  $   199877296  $    47149092  $      47      $       0      $      97      $           0  $              $0.469254      $16144379.000000      $17.545052 $12.766614 $3.011519 $     1.37  $     4.24  
55900 $  6013   $  3168827833  $  9120240067     $    10663951  $   359260994  $   354474203  $    10663850  $       0      $       0      $      97      $           0  $              $0.347450      $10663951.000000      $22.946810 $22.641068 $0.681124 $     1.01  $    33.24  
55902 $  7017   $  4279082548  $  9122460515     $    16147693  $   274686767  $   199873750  $    47139959  $      47      $       0      $      97      $           0  $              $0.469071      $16147693.000000      $17.527370 $12.753658 $3.007934 $     1.37  $     4.24  
55900 $  7016   $  3191523241  $  9114102529     $    10719944  $   357199634  $   352377300  $    10935141  $       0      $       0      $      97      $           0  $              $0.350174      $10719944.000000      $22.792400 $22.484694 $0.697756 $     1.01  $    32.22  
55902 $  8020   $  4279371063  $  9121133865     $    16147088  $   274685466  $   199869292  $    47142058  $      47      $       0      $      97      $           0  $              $0.469171      $16147088.000000      $17.527288 $12.753375 $3.008067 $     1.37  $     4.24  
55900 $  8019   $  3168445930  $  9118827986     $    10660922  $   359235329  $   354436040  $    10660768  $       0      $       0      $      97      $           0  $              $0.347462      $10660922.000000      $22.922295 $22.616058 $0.680248 $     1.01  $    33.25  
55900 $  8569   $  1784099728  $  5075083502     $     4921893  $   202104333  $   199534856  $     4921870  $       0      $       0      $      97      $           0  $              $0.351541      $4921893.000000      $23.517595 $23.218601 $0.572727 $     1.01  $    40.54  
55902 $  8570   $  1970167783  $  4135430440     $     8001578  $   135954159  $    98564482  $    22238371  $      25      $       0      $      97      $           0  $              $0.476412      $8001578.000000      $15.820121 $11.469321 $2.587738 $     1.38  $     4.43  
55900 $  9113   $  1866496001  $  4987823307     $       62040  $   210419875  $   208516012  $       62026  $       0      $       0      $      97      $           0  $              $0.374211      $62040.000000      $24.755280 $24.531296 $0.007297 $     1.01  $  3361.75  
55900 $  9115   $      437810  $     1179681     $          71  $       49368  $       48922  $          69  $       0      $       0      $      97      $           0  $              $0.371126      $71.000000      $1.579776 $1.565504 $0.002208 $     1.01  $   709.01  
55900 $ 10117   $  3186494686  $  9002411973     $    10008725  $   354798688  $   349988852  $    10220402  $      46      $       0      $      97      $           0  $              $0.353960      $10008725.000000      $22.661793 $22.354578 $0.652800 $     1.01  $    34.24  
55920 $  1002   $  4040527269  $  8834200923     $    13554681  $   229493004  $   173171988  $    39828531  $       0      $       0      $      97      $           0  $              $0.457373      $13554681.000000      $14.658237 $11.060885 $2.543938 $     1.33  $     4.35  
55920 $  2004   $  4248337483  $  9062415388     $    16086008  $   274299261  $   206704829  $    46811410  $      47      $       0      $      97      $           0  $              $0.468786      $16086008.000000      $17.520113 $13.202703 $2.989950 $     1.33  $     4.42  
55900 $ 11119   $  3103376731  $  8887256390     $    10848535  $   351710987  $   347132838  $    10848411  $       0      $       0      $      97      $           0  $              $0.349194      $10848535.000000      $22.464573 $22.172157 $0.692912 $     1.01  $    32.00  
