PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56136 $  1003   $  5335775663  $  7790953976     $    11212272  $   148317302  $   150027807  $   139962945  $      48      $       0      $      97      $           0  $              $0.684868      $11212272.000000      $9.463915 $9.573061 $8.930836 $     0.99  $     1.07  
56134 $  1003   $  2216326655  $  8719000408     $     9023796  $   261942658  $   245096795  $     9438055  $       0      $       0      $      97      $           0  $              $0.254195      $9023796.000000      $16.714188 $15.639277 $0.602229 $     1.07  $    25.97  
56136 $  2005   $  6172476021  $  9092607453     $    14876644  $   192247100  $   192306998  $   187779100  $      49      $       0      $      97      $           0  $              $0.678846      $14876644.000000      $12.279256 $12.283081 $11.993875 $     1.00  $     1.02  
56134 $  2005   $  2159934512  $  9085813828     $     8990435  $   263062666  $   243404532  $     8990466  $       0      $       0      $      97      $           0  $              $0.237726      $8990435.000000      $16.802406 $15.546796 $0.574241 $     1.08  $    27.07  
56136 $  3007   $  6186821849  $  9103600534     $    14883880  $   192449195  $   192507961  $   187982710  $      49      $       0      $      97      $           0  $              $0.679602      $14883880.000000      $12.292165 $12.295918 $12.006879 $     1.00  $     1.02  
56134 $  3007   $  2162284350  $  9096916569     $     8995951  $   263363234  $   243448388  $     8996004  $       0      $       0      $      97      $           0  $              $0.237694      $8995951.000000      $16.821604 $15.549598 $0.574595 $     1.08  $    27.06  
56136 $  4009   $  6182925421  $  9105151535     $    14915837  $   192688944  $   192749056  $   188219302  $      49      $       0      $      97      $           0  $              $0.679058      $14915837.000000      $12.307477 $12.311316 $12.021991 $     1.00  $     1.02  
56134 $  4009   $  2162101608  $  9099315678     $     9011820  $   263365702  $   243672839  $     9011307  $       0      $       0      $      97      $           0  $              $0.237611      $9011820.000000      $16.821760 $15.563933 $0.575572 $     1.08  $    27.04  
56136 $  5011   $  6136437522  $  9103924749     $    14959705  $   192852220  $   192910684  $   188389225  $      49      $       0      $      97      $           0  $              $0.674043      $14959705.000000      $12.317906 $12.321641 $12.032845 $     1.00  $     1.02  
56134 $  5011   $  2197544278  $  9089990770     $     8984458  $   259996916  $   240499933  $     9241244  $       0      $       0      $      97      $           0  $              $0.241754      $8984458.000000      $16.606588 $15.361274 $0.590259 $     1.08  $    26.02  
56136 $  6013   $  6146834056  $  9108078227     $    14979376  $   193264469  $   193322960  $   188779717  $      49      $       0      $      97      $           0  $              $0.674877      $14979376.000000      $12.344237 $12.347974 $12.057786 $     1.00  $     1.02  
56134 $  6013   $  2161424945  $  9101160839     $     9001585  $   263371879  $   243393588  $     9001564  $       0      $       0      $      97      $           0  $              $0.237489      $9001585.000000      $16.822155 $15.546097 $0.574950 $     1.08  $    27.04  
