PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56527 $  1003   $ 16673311808  $  8907221715     $     1031900  $   371209698  $   494483931  $     3641177  $      46      $       0      $      97      $           0  $              $1.871887      $1031900.000000      $23.686361 $31.552315 $0.232338 $     0.75  $   135.80  
56525 $  1003   $  4018477811  $  8802675904     $    13572594  $   229391464  $   183419737  $    39610553  $       0      $       0      $      97      $           0  $              $0.456506      $13572594.000000      $14.637142 $11.703753 $2.527493 $     1.25  $     4.63  
56527 $  2005   $ 17175146880  $  9135752021     $     1020884  $   381786215  $   505291757  $     3402646  $      47      $       0      $      97      $           0  $              $1.879993      $1020884.000000      $24.385546 $32.274124 $0.217335 $     0.76  $   148.50  
56525 $  2005   $  4245503078  $  9132320324     $    16154513  $   274425472  $   219252985  $    46827937  $       0      $       0      $      97      $           0  $              $0.464888      $16154513.000000      $17.528173 $14.004183 $2.991006 $     1.25  $     4.68  
56527 $  3008   $ 17185745020  $  9136071116     $      980025  $   381824728  $   505157303  $     3323411  $      47      $       0      $      97      $           0  $              $1.881087      $980025.000000      $24.363691 $32.233368 $0.212062 $     0.76  $   152.00  
56525 $  3008   $  4244536550  $  9133559883     $    16156101  $   274420478  $   219239940  $    46817437  $       0      $       0      $      97      $           0  $              $0.464719      $16156101.000000      $17.510380 $13.989388 $2.987354 $     1.25  $     4.68  
56527 $  4011   $ 17152996637  $  9138163161     $     1029827  $   381843642  $   507186205  $     3458970  $      47      $       0      $      97      $           0  $              $1.877073      $1029827.000000      $24.364899 $32.362827 $0.220712 $     0.75  $   146.63  
56525 $  4011   $  4244947351  $  9134911232     $    16147820  $   274414822  $   219241703  $    46811434  $       0      $       0      $      97      $           0  $              $0.464695      $16147820.000000      $17.510017 $13.989500 $2.986971 $     1.25  $     4.68  
56527 $  5014   $ 17144117870  $  9135870636     $     1033005  $   381606208  $   507243427  $     3453480  $      47      $       0      $      97      $           0  $              $1.876572      $1033005.000000      $24.349749 $32.366478 $0.220362 $     0.75  $   146.88  
56525 $  5014   $  4244431137  $  9133383839     $    16150853  $   274409575  $   219233670  $    46809876  $       0      $       0      $      97      $           0  $              $0.464716      $16150853.000000      $17.509684 $13.988988 $2.986871 $     1.25  $     4.68  
56527 $  6017   $ 17147900241  $  9135158627     $     1032980  $   381487515  $   507398335  $     3447101  $      47      $       0      $      97      $           0  $              $1.877132      $1032980.000000      $24.342175 $32.376366 $0.219955 $     0.75  $   147.20  
56525 $  6017   $  4244157673  $  9132457178     $    16148187  $   274404697  $   219231215  $    46800282  $       0      $       0      $      97      $           0  $              $0.464733      $16148187.000000      $17.509373 $13.988832 $2.986259 $     1.25  $     4.68  
56525 $  6475   $  1937585523  $  4245591672     $     6953227  $   119153393  $    94847804  $    20603382  $       0      $       0      $      97      $           0  $              $0.456376      $6953227.000000      $16.650255 $13.253842 $2.879075 $     1.26  $     4.60  
56527 $  6476   $  6160013940  $  3272693797     $      328951  $   136576825  $   179051750  $     1097490  $      20      $       0      $      97      $           0  $              $1.882246      $328951.000000      $19.043392 $24.965820 $0.153027 $     0.76  $   163.15  
56525 $  7117   $  2844256916  $  6082626365     $    10475248  $   178634089  $   142301196  $    31140809  $       0      $       0      $      97      $           0  $              $0.467603      $10475248.000000      $17.807760 $14.185789 $3.104380 $     1.26  $     4.57  
56525 $  7119   $      329714  $     1439883     $        4009  $       77139  $       69411  $        4008  $       0      $       0      $      97      $           0  $              $0.228987      $4009.000000      $2.468448 $2.221152 $0.128256 $     1.11  $    17.32  
56525 $  8121   $  4110620916  $  8910693593     $    15001236  $   253138225  $   203009882  $    44519520  $      46      $       0      $      97      $           0  $              $0.461313      $15001236.000000      $16.168509 $12.966700 $2.843562 $     1.25  $     4.56  
56545 $  1002   $ 16655418993  $  8943916902     $     1092664  $   370335811  $   491378015  $     4021258  $       0      $       0      $      97      $           0  $              $1.862206      $1092664.000000      $23.654182 $31.385422 $0.256847 $     0.75  $   122.20  
56545 $  1472   $  7926842024  $  4204671532     $      457172  $   176516585  $   232076056  $     1621461  $      21      $       0      $      97      $           0  $              $1.885246      $457172.000000      $24.036303 $31.601847 $0.220795 $     0.76  $   143.13  
56525 $  8592   $  1894353915  $  3991909703     $     7843249  $   134215070  $   107374617  $    21228124  $       0      $       0      $      97      $           0  $              $0.474548      $7843249.000000      $18.237291 $14.590181 $2.884501 $     1.25  $     5.06  
