PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56656 $  1003   $  6690256219  $  9052460687     $      196009  $    15948040  $    17409119  $     3822741  $      41      $       0      $      97      $           0  $              $0.739054      $196009.000000      $1.017622 $1.110851 $0.243924 $     0.92  $     4.55  
56654 $  1003   $  4036233501  $  8783928550     $    13616758  $   229480344  $   167367769  $    39810358  $       0      $       0      $      97      $           0  $              $0.459502      $13616758.000000      $14.642814 $10.679500 $2.540242 $     1.37  $     4.20  
56656 $  2005   $  6768821347  $  9145700153     $      220077  $    15822100  $    17052056  $     4375813  $      43      $       0      $      97      $           0  $              $0.740110      $220077.000000      $1.010593 $1.089153 $0.279493 $     0.93  $     3.90  
56654 $  2005   $  4283237065  $  9144561824     $    16217599  $   274672717  $   200118714  $    47174478  $       0      $       0      $      97      $           0  $              $0.468392      $16217599.000000      $17.543964 $12.782034 $3.013140 $     1.37  $     4.24  
56656 $  3007   $  6766102789  $  9144370293     $      222478  $    15037228  $    15723982  $     4375936  $      43      $       0      $      97      $           0  $              $0.739920      $222478.000000      $0.960462 $1.004326 $0.279501 $     0.96  $     3.59  
56654 $  3007   $  4280531913  $  9143256487     $    16213331  $   274650003  $   200091261  $    47157374  $       0      $       0      $      97      $           0  $              $0.468163      $16213331.000000      $17.542517 $12.780280 $3.012048 $     1.37  $     4.24  
56656 $  4009   $  6762727087  $  9145187491     $      220243  $    15630999  $    16736244  $     4385449  $      43      $       0      $      97      $           0  $              $0.739485      $220243.000000      $0.998387 $1.068982 $0.280109 $     0.93  $     3.82  
56654 $  4009   $  4280819081  $  9143501922     $    16212401  $   274649968  $   200065772  $    47155870  $       0      $       0      $      97      $           0  $              $0.468182      $16212401.000000      $17.542515 $12.778652 $3.011952 $     1.37  $     4.24  
56656 $  5012   $  6756202281  $  9142916046     $      220555  $    16301449  $    17954853  $     4387407  $      43      $       0      $      97      $           0  $              $0.738955      $220555.000000      $1.040172 $1.145674 $0.279954 $     0.91  $     4.09  
56654 $  5011   $  4278322717  $  9142072634     $    16203911  $   274619752  $   200048879  $    47128027  $       0      $       0      $      97      $           0  $              $0.467982      $16203911.000000      $17.540583 $12.777574 $3.010174 $     1.37  $     4.24  
56656 $  6015   $  6764015836  $  9149079578     $      220873  $    15527141  $    16590921  $     4379532  $      43      $       0      $      97      $           0  $              $0.739311      $220873.000000      $0.990765 $1.058643 $0.279452 $     0.94  $     3.79  
56654 $  6014   $  4280112708  $  9147590571     $    16212937  $   274630749  $   200053666  $    47135392  $       0      $       0      $      97      $           0  $              $0.467895      $16212937.000000      $17.523796 $12.765139 $3.007642 $     1.37  $     4.24  
56656 $  7017   $  6761218759  $  9148577540     $      222721  $    15909556  $    17213082  $     4383877  $      43      $       0      $      97      $           0  $              $0.739046      $222721.000000      $1.016179 $1.099438 $0.280008 $     0.92  $     3.93  
56654 $  7017   $  4281451001  $  9147059767     $    16211472  $   274643862  $   200047192  $    47148654  $       0      $       0      $      97      $           0  $              $0.468069      $16211472.000000      $17.524633 $12.764727 $3.008488 $     1.37  $     4.24  
56656 $  8019   $  6767503188  $  9147687508     $      221235  $    14846044  $    15389018  $     4384602  $      43      $       0      $      97      $           0  $              $0.739805      $221235.000000      $0.948250 $0.982931 $0.280054 $     0.96  $     3.51  
56654 $  8019   $  4282529559  $  9146132232     $    16208620  $   274643725  $   200052809  $    47149782  $       0      $       0      $      97      $           0  $              $0.468234      $16208620.000000      $17.542114 $12.777824 $3.011563 $     1.37  $     4.24  
56656 $  8561   $  3696882864  $  5003152601     $      107710  $     8836622  $     9656360  $     2102912  $      22      $       0      $      97      $           0  $              $0.738911      $107710.000000      $1.043439 $1.140234 $0.248314 $     0.92  $     4.59  
56654 $  8561   $  1990627326  $  4196764907     $     8044143  $   136082259  $    98812336  $    22383703  $       0      $       0      $      97      $           0  $              $0.474324      $8044143.000000      $16.068754 $11.667877 $2.643094 $     1.38  $     4.41  
56656 $  9100   $  3866780249  $  5185908711     $          37  $     9358074  $    10297915  $          68  $      16      $       0      $      97      $           0  $              $0.745632      $37.000000      $1.111163 $1.222758 $0.000008 $     0.91  $151439.92  
56656 $  9102   $     3515281  $     5105065     $          10  $        7610  $        7366  $          13  $       0      $       0      $      97      $           0  $              $0.688587      $10.000000      $0.243520 $0.235712 $0.000416 $     1.03  $   566.62  
56656 $ 10105   $  6769986093  $  9153440743     $      198744  $    15810163  $    17080390  $     3864334  $      43      $       0      $      97      $           0  $              $0.739611      $198744.000000      $1.008824 $1.089875 $0.246578 $     0.93  $     4.42  
56679 $  1003   $  4118390580  $  8879728039     $    13746517  $   232076763  $   168903135  $    40706708  $       0      $       0      $      97      $           0  $              $0.463797      $13746517.000000      $14.808488 $10.777469 $2.597437 $     1.37  $     4.15  
56679 $  1412   $  1650788748  $  3714208281     $     7458207  $   126586163  $    93922724  $    18622175  $       0      $       0      $      97      $           0  $              $0.444452      $7458207.000000      $19.808104 $14.696954 $2.913984 $     1.35  $     5.04  
56656 $ 10514   $  2622043516  $  3690649705     $       84366  $     5875505  $     6396397  $     1622566  $      17      $       0      $      97      $           0  $              $0.710456      $84366.000000      $0.919394 $1.000903 $0.253898 $     0.92  $     3.94  
