PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57823 $  1003   $  4360363721  $  8789424715     $    24508431  $   187993715  $   125364713  $   122845278  $      42      $       0      $      97      $           0  $              $0.496092      $24508432.000000      $11.995611 $7.999343 $7.838582 $     1.50  $     1.02  
57821 $  1003   $  2880973691  $  6307527515     $     2632358  $    48115897  $    37610679  $    36203940  $       0      $       0      $      97      $           0  $              $0.456752      $2632358.000000      $3.070207 $2.399884 $2.310122 $     1.28  $     1.04  
57823 $  2006   $  4296122927  $  9100347228     $    25458960  $   196876830  $   131061754  $   128634859  $      46      $       0      $      97      $           0  $              $0.472083      $25458960.000000      $12.562430 $8.362864 $8.208007 $     1.50  $     1.02  
57821 $  2006   $  3855131232  $  9051495821     $     3740157  $    62024093  $    49543079  $    47594081  $       0      $       0      $      97      $           0  $              $0.425911      $3740157.000000      $3.957669 $3.161273 $3.036910 $     1.25  $     1.04  
57823 $  3009   $  4279198311  $  9099227970     $    25384428  $   196032459  $   130712987  $   128308604  $      46      $       0      $      97      $           0  $              $0.470281      $25384428.000000      $12.508552 $8.340610 $8.187189 $     1.50  $     1.02  
57821 $  3009   $  3837208963  $  9046715300     $     3780236  $    62079773  $    49600023  $    47641373  $       0      $       0      $      97      $           0  $              $0.424155      $3780236.000000      $3.961222 $3.164907 $3.039928 $     1.25  $     1.04  
57823 $  4012   $  4283227928  $  9100619616     $    25367097  $   196250337  $   130770015  $   128363227  $      46      $       0      $      97      $           0  $              $0.470652      $25367096.000000      $12.522454 $8.344248 $8.190675 $     1.50  $     1.02  
57821 $  4012   $  3836373085  $  9047928775     $     3781624  $    62073526  $    49593502  $    47633955  $       0      $       0      $      97      $           0  $              $0.424006      $3781624.000000      $3.960823 $3.164491 $3.039455 $     1.25  $     1.04  
57823 $  5015   $  4329489461  $  9098948071     $    25766491  $   198563549  $   132298984  $   129825189  $      46      $       0      $      97      $           0  $              $0.475823      $25766492.000000      $12.670057 $8.441810 $8.283960 $     1.50  $     1.02  
57821 $  5015   $  3923728648  $  9046726173     $     3574116  $    62406294  $    49853691  $    47952221  $       0      $       0      $      97      $           0  $              $0.433718      $3574116.000000      $3.982057 $3.181093 $3.059763 $     1.25  $     1.04  
57823 $  6017   $  4323662166  $  9100050732     $    24828348  $   192178786  $   128264264  $   125826992  $      45      $       0      $      97      $           0  $              $0.475125      $24828348.000000      $12.274893 $8.192528 $8.036854 $     1.50  $     1.02  
57821 $  6017   $  4100139611  $  9044642192     $     3704359  $    68355264  $    53708298  $    51693499  $       0      $       0      $      97      $           0  $              $0.453322      $3704359.000000      $4.366005 $3.430470 $3.301780 $     1.27  $     1.04  
57823 $  7019   $  4282654505  $  9100469077     $    25415850  $   196217564  $   130895982  $   128487854  $      45      $       0      $      97      $           0  $              $0.470597      $25415850.000000      $12.532859 $8.360621 $8.206809 $     1.50  $     1.02  
57821 $  7019   $  3840148956  $  9048677135     $     3780342  $    62013230  $    49548054  $    47579559  $       0      $       0      $      97      $           0  $              $0.424388      $3780342.000000      $3.960925 $3.164746 $3.039014 $     1.25  $     1.04  
57823 $  8022   $  4285806085  $  9102868750     $    25361902  $   196398248  $   130736547  $   128331072  $      45      $       0      $      97      $           0  $              $0.470819      $25361902.000000      $12.531892 $8.342113 $8.188622 $     1.50  $     1.02  
57821 $  8022   $  3837342465  $  9050554343     $     3783938  $    62077557  $    49602155  $    47641960  $       0      $       0      $      97      $           0  $              $0.423990      $3783938.000000      $3.961080 $3.165043 $3.039966 $     1.25  $     1.04  
57823 $  9025   $  4288133572  $  9101317290     $    25352040  $   196481634  $   130779484  $   128371130  $      45      $       0      $      97      $           0  $              $0.471155      $25352040.000000      $12.537212 $8.344852 $8.191178 $     1.50  $     1.02  
57821 $  9025   $  3841605822  $  9048819358     $     3774904  $    62088689  $    49607519  $    47652650  $       0      $       0      $      97      $           0  $              $0.424542      $3774904.000000      $3.961791 $3.165385 $3.040648 $     1.25  $     1.04  
57823 $ 10028   $  4345083164  $  9101927939     $    25924079  $   199323644  $   132965156  $   130472373  $      46      $       0      $      97      $           0  $              $0.477381      $25924080.000000      $12.718557 $8.484317 $8.325256 $     1.50  $     1.02  
57821 $ 10028   $  3955858898  $  9050170210     $     3503520  $    62450630  $    49877131  $    47998428  $       0      $       0      $      97      $           0  $              $0.437103      $3503520.000000      $3.984886 $3.182589 $3.062711 $     1.25  $     1.04  
57823 $ 11031   $  4298762845  $  9101744989     $    24673763  $   190877610  $   127591919  $   125189657  $      45      $       0      $      97      $           0  $              $0.472301      $24673764.000000      $12.179628 $8.141459 $7.988173 $     1.50  $     1.02  
57821 $ 11031   $  4062486799  $  9046722626     $     3798705  $    68210465  $    53595242  $    51551893  $       0      $       0      $      97      $           0  $              $0.449056      $3798705.000000      $4.352412 $3.419836 $3.289453 $     1.27  $     1.04  
57823 $ 11681   $  2939138522  $  5973946075     $    17504579  $   135046083  $    89836456  $    88111855  $      28      $       0      $      97      $           0  $              $0.491993      $17504580.000000      $13.296844 $8.845436 $8.675629 $     1.50  $     1.02  
57821 $ 11681   $  2014047890  $  4777865042     $     1898645  $    30543048  $    24315271  $    23375856  $       0      $       0      $      97      $           0  $              $0.421537      $1898645.000000      $3.007315 $2.394119 $2.301623 $     1.26  $     1.04  
57823 $ 12141   $  2495428194  $  4317994818     $    14962652  $   112914739  $    75284084  $    73671076  $      16      $       0      $      97      $           0  $              $0.577914      $14962652.000000      $15.709876 $10.474307 $10.249888 $     1.50  $     1.02  
57823 $ 12143   $     5398789  $     6407701     $       18407  $      271172  $      134793  $      131467  $       0      $       0      $      97      $           0  $              $0.842547      $18407.000000      $8.677504 $4.313376 $4.206944 $     2.01  $     1.03  
57823 $ 13146   $  4597539976  $  9110141109     $    27682852  $   212105001  $   141400736  $   138692278  $      42      $       0      $      97      $           0  $              $0.504662      $27682852.000000      $13.534118 $9.022579 $8.849756 $     1.50  $     1.02  
57841 $  1003   $  2477719373  $  5878353208     $     2558500  $    40475516  $    32132153  $    30843152  $       0      $       0      $      97      $           0  $              $0.421499      $2558500.000000      $2.582685 $2.050307 $1.968058 $     1.26  $     1.04  
57823 $ 14148   $  4293793903  $  9102346267     $    25371904  $   196804426  $   130940215  $   128529535  $      45      $       0      $      97      $           0  $              $0.471724      $25371904.000000      $12.570343 $8.363447 $8.209472 $     1.50  $     1.02  
57841 $  2005   $  3837536040  $  9048305560     $     3779658  $    62073967  $    49562200  $    47634075  $       0      $       0      $      97      $           0  $              $0.424117      $3779658.000000      $3.964804 $3.165649 $3.042496 $     1.25  $     1.04  
57823 $ 15150   $  4302789771  $  9102945916     $    24861716  $   191583271  $   128280305  $   125862944  $      45      $       0      $      97      $           0  $              $0.472681      $24861716.000000      $12.236856 $8.193552 $8.039150 $     1.49  $     1.02  
57841 $  3007   $  4075624314  $  9042398978     $     3760255  $    68334564  $    53660947  $    51666794  $       0      $       0      $      97      $           0  $              $0.450724      $3760255.000000      $4.364683 $3.427446 $3.300075 $     1.27  $     1.04  
57841 $  3288   $  1017790077  $  2531084546     $      822301  $    13459127  $    11347592  $    10918138  $       0      $       0      $      97      $           0  $              $0.402116      $822301.000000      $3.065424 $2.584505 $2.486693 $     1.19  $     1.04  
57823 $ 15431   $  1227448670  $  2510791997     $     7939490  $    60269918  $    39861166  $    39121094  $      12      $       0      $      97      $           0  $              $0.488869      $7939490.000000      $13.726957 $9.078700 $8.910143 $     1.51  $     1.02  
