PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58864 $  1003   $ 17552907258  $  8964890575     $     2963744  $   378543328  $   348128760  $    47576994  $      48      $       0      $      97      $           0  $              $1.957961      $2963744.000000      $24.154310 $22.213600 $3.035820 $     1.09  $     7.32  
58862 $  1003   $  1230937602  $  6917838733     $     3103784  $   243401379  $   242131904  $     3535674  $       0      $       0      $      97      $           0  $              $0.177937      $3103784.000000      $15.531095 $15.450091 $0.225606 $     1.01  $    68.48  
58864 $  2006   $ 18330896770  $  9224058468     $     2980343  $   396222838  $   364474454  $    48340183  $      48      $       0      $      97      $           0  $              $1.987292      $2980343.000000      $25.282415 $23.256596 $3.084518 $     1.09  $     7.54  
58862 $  2005   $  1168360130  $  6367596850     $     2798571  $   219455486  $   218312293  $     2862782  $       0      $       0      $      97      $           0  $              $0.183485      $2798571.000000      $14.017117 $13.944098 $0.182852 $     1.01  $    76.26  
58864 $  3008   $ 18596122958  $  9357083754     $     3000889  $   401825664  $   369786934  $    48483045  $      48      $       0      $      97      $           0  $              $1.987384      $3000889.000000      $25.665512 $23.619125 $3.096721 $     1.09  $     7.63  
58862 $  3007   $  1098891508  $  5879322076     $     2776370  $   199155932  $   198179256  $     2840571  $       0      $       0      $      97      $           0  $              $0.186908      $2776370.000000      $12.720539 $12.658156 $0.181434 $     1.00  $    69.77  
58864 $  4010   $ 18555855116  $  9363412487     $     2984023  $   400984783  $   368833523  $    48534909  $      47      $       0      $      97      $           0  $              $1.981740      $2984023.000000      $25.611801 $23.558229 $3.100034 $     1.09  $     7.60  
58862 $  4009   $   964128803  $  5210169522     $     2748323  $   178440303  $   177545769  $     2812900  $       0      $       0      $      97      $           0  $              $0.185048      $2748323.000000      $11.397385 $11.340249 $0.179666 $     1.01  $    63.12  
58864 $  5012   $ 18393164356  $  9258469626     $     2977223  $   397655340  $   365709924  $    48964159  $      49      $       0      $      97      $           0  $              $1.986631      $2977223.000000      $25.399143 $23.358717 $3.127451 $     1.09  $     7.47  
58862 $  5011   $  1245688318  $  6832639249     $     3017218  $   232888526  $   231756880  $     3014847  $       0      $       0      $      97      $           0  $              $0.182314      $3017218.000000      $14.875115 $14.802835 $0.192565 $     1.00  $    76.87  
58864 $  6014   $ 18345444987  $  9231270462     $     2986368  $   396442971  $   364793421  $    48550123  $      49      $       0      $      97      $           0  $              $1.987315      $2986368.000000      $25.321707 $23.300179 $3.101006 $     1.09  $     7.51  
58862 $  6013   $  1176529857  $  6514491423     $     2882126  $   227222602  $   226057589  $     2946363  $       0      $       0      $      97      $           0  $              $0.180602      $2882126.000000      $14.513221 $14.438807 $0.188191 $     1.01  $    76.72  
58864 $  7016   $ 18271795078  $  9221199357     $     3016817  $   394804349  $   363213314  $    48148269  $      48      $       0      $      97      $           0  $              $1.981499      $3016817.000000      $25.217045 $23.199253 $3.075338 $     1.09  $     7.54  
58862 $  7015   $  1054731662  $  5833033192     $     2759474  $   203376374  $   202335958  $     2824164  $       0      $       0      $      97      $           0  $              $0.180820      $2759474.000000      $12.990108 $12.923654 $0.180386 $     1.01  $    71.64  
58864 $  8018   $ 18611208134  $  9359829091     $     2955633  $   402277812  $   370038610  $    48335804  $      47      $       0      $      97      $           0  $              $1.988413      $2955633.000000      $25.694391 $23.635202 $3.087317 $     1.09  $     7.66  
