PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58950 $  1003   $  3650773853  $  7900909567     $     3145778  $    40191553  $    36573793  $    30542794  $      39      $       0      $      97      $           0  $              $0.462070      $3145778.000000      $2.564566 $2.333722 $1.948892 $     1.10  $     1.20  
58948 $  1003   $  1227035330  $  6919981307     $     1426723  $   243380654  $   242071962  $     1845919  $       0      $       0      $      97      $           0  $              $0.177318      $1426723.000000      $15.529773 $15.446267 $0.117785 $     1.01  $   131.14  
58950 $  2005   $  4273407391  $  9158869646     $     3653038  $    47453596  $    43180956  $    35890826  $      40      $       0      $      97      $           0  $              $0.466587      $3653038.000000      $3.030968 $2.758065 $2.292428 $     1.10  $     1.20  
58948 $  2005   $  1163026263  $  6354356638     $     1556847  $   217988324  $   216879334  $     1627430  $       0      $       0      $      97      $           0  $              $0.183028      $1556847.000000      $13.923406 $13.852571 $0.103948 $     1.01  $   133.26  
58950 $  3007   $  4325336279  $  9292437346     $     3685330  $    47826223  $    43559529  $    36218252  $      40      $       0      $      97      $           0  $              $0.465468      $3685330.000000      $3.054769 $2.782245 $2.313341 $     1.10  $     1.20  
58948 $  3007   $  1099321704  $  5870720898     $     1584719  $   198088793  $   197020256  $     1638320  $       0      $       0      $      97      $           0  $              $0.187255      $1584719.000000      $12.652378 $12.584128 $0.104643 $     1.01  $   120.26  
58950 $  4009   $  4328111418  $  9298255808     $     3681418  $    47827076  $    43524332  $    36242381  $      38      $       0      $      97      $           0  $              $0.465476      $3681418.000000      $3.054823 $2.779997 $2.314883 $     1.10  $     1.20  
58948 $  4009   $   955617543  $  5169100535     $     1546351  $   176467633  $   175523093  $     1601374  $       0      $       0      $      97      $           0  $              $0.184871      $1546351.000000      $11.271386 $11.211056 $0.102283 $     1.01  $   109.61  
58950 $  5012   $  4284547172  $  9187701942     $     3657805  $    47514859  $    43225157  $    35949660  $      41      $       0      $      97      $           0  $              $0.466335      $3657805.000000      $3.031856 $2.758136 $2.293896 $     1.10  $     1.20  
58948 $  5011   $  1243552226  $  6904104771     $     1500817  $   236992919  $   235756131  $     1496212  $       0      $       0      $      97      $           0  $              $0.180118      $1500817.000000      $15.137272 $15.058275 $0.095566 $     1.01  $   157.57  
58950 $  6015   $  4273333260  $  9153175547     $     3639594  $    47441760  $    43166774  $    35888598  $      40      $       0      $      97      $           0  $              $0.466869      $3639594.000000      $3.027191 $2.754411 $2.290000 $     1.10  $     1.20  
58948 $  6014   $  1183272003  $  6508371656     $     1544933  $   224981960  $   223741967  $     1599007  $       0      $       0      $      97      $           0  $              $0.181808      $1544933.000000      $14.355778 $14.276656 $0.102030 $     1.01  $   139.93  
58950 $  7017   $  4229430980  $  9174458370     $     3458474  $    45696020  $    41739349  $    35046352  $      39      $       0      $      97      $           0  $              $0.461001      $3458474.000000      $2.918708 $2.665986 $2.238490 $     1.09  $     1.19  
58948 $  7016   $  1044933884  $  5779918501     $     1516472  $   200362588  $   199351097  $     1571508  $       0      $       0      $      97      $           0  $              $0.180787      $1516472.000000      $12.797610 $12.733005 $0.100376 $     1.01  $   126.85  
58948 $  7759   $   773739454  $  4077981955     $     1065592  $   133669241  $   132986072  $     1061991  $       0      $       0      $      97      $           0  $              $0.189736      $1065592.000000      $11.513905 $11.455059 $0.091477 $     1.01  $   125.22  
58950 $  7760   $  2994346108  $  6340623148     $     2662584  $    33966531  $    30776412  $    25322915  $      28      $       0      $      97      $           0  $              $0.472248      $2662584.000000      $2.925785 $2.650996 $2.181247 $     1.10  $     1.22  
58948 $  8072   $   289297695  $  1815146368     $       18828  $    71746269  $    71438767  $       66105  $       0      $       0      $      97      $           0  $              $0.159380      $18828.000000      $14.670164 $14.607288 $0.013517 $     1.00  $  1080.69  
58948 $  8074   $      393150  $     2711334     $           4  $      105466  $      104984  $           0  $       0      $       0      $      97      $           0  $              $0.145002      $4.000000      $3.374912 $3.359488 $0.000000 $     1.00  $      inf  
58948 $  9077   $  1135901175  $  5950506393     $     1391941  $   195189552  $   194264841  $     1386990  $      38      $       0      $      97      $           0  $              $0.190892      $1391941.000000      $12.454767 $12.395763 $0.088502 $     1.00  $   140.06  
58968 $  1003   $  3746184407  $  8052350673     $     3286750  $    41638764  $    37965408  $    31524750  $       0      $       0      $      97      $           0  $              $0.465229      $3286750.000000      $2.656910 $2.422518 $2.011549 $     1.10  $     1.20  
58968 $  2006   $  4091019638  $  8796571686     $     3420104  $    44956641  $    40862836  $    34115860  $      40      $       0      $      97      $           0  $              $0.465070      $3420104.000000      $2.868619 $2.607399 $2.176884 $     1.10  $     1.20  
58948 $ 10080   $  1148439920  $  6451249586     $     1436992  $   227592955  $   226410041  $     1490400  $       0      $       0      $      97      $           0  $              $0.178018      $1436992.000000      $14.522383 $14.446902 $0.095100 $     1.01  $   151.91  
