PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
59079 $  1003   $  2146733391  $  8694723105     $     8460294  $   272807559  $   266206049  $     8883913  $      46      $       0      $      97      $           0  $              $0.246901      $8460294.000000      $17.407461 $16.986229 $0.566870 $     1.02  $    29.96  
59077 $  1003   $  4900222771  $  8817013744     $    26717325  $   214848413  $   143300973  $   139387608  $       0      $       0      $      97      $           0  $              $0.555769      $26717324.000000      $13.709171 $9.143831 $8.894125 $     1.50  $     1.03  
59079 $  2006   $  2183254085  $  9066307254     $     8886061  $   283289898  $   276287282  $     8885606  $      48      $       0      $      97      $           0  $              $0.240810      $8886061.000000      $18.076324 $17.629498 $0.566978 $     1.03  $    31.09  
59077 $  2005   $  5108701750  $  9102642217     $    28656829  $   231263952  $   154237678  $   150121389  $       0      $       0      $      97      $           0  $              $0.561233      $28656828.000000      $14.771350 $9.851508 $9.588592 $     1.50  $     1.03  
59079 $  3008   $  2182593643  $  9067396639     $     8880309  $   283178930  $   276202413  $     8879781  $      48      $       0      $      97      $           0  $              $0.240708      $8880309.000000      $18.087278 $17.641670 $0.567172 $     1.03  $    31.10  
59077 $  3007   $  5105854427  $  9104446179     $    28714584  $   231130251  $   154283546  $   150170029  $       0      $       0      $      97      $           0  $              $0.560809      $28714584.000000      $14.762811 $9.854439 $9.591699 $     1.50  $     1.03  
59079 $  4010   $  2146472104  $  9065724395     $     8788988  $   278881238  $   271714986  $     8788342  $      48      $       0      $      97      $           0  $              $0.236768      $8788988.000000      $17.812775 $17.355049 $0.561331 $     1.03  $    30.92  
59077 $  4009   $  5166753559  $  9102948279     $    29943747  $   239762404  $   159821673  $   155576880  $       0      $       0      $      97      $           0  $              $0.567591      $29943748.000000      $15.314165 $10.208171 $9.937046 $     1.50  $     1.03  
59079 $  5013   $  2193026331  $  9067087287     $     8885519  $   284538451  $   277393396  $     8885521  $      48      $       0      $      97      $           0  $              $0.241867      $8885519.000000      $18.155994 $17.700077 $0.566972 $     1.03  $    31.22  
59077 $  5011   $  5115145615  $  9105632595     $    28867282  $   232032056  $   154568097  $   150417769  $       0      $       0      $      97      $           0  $              $0.561756      $28867282.000000      $14.820412 $9.872613 $9.607523 $     1.50  $     1.03  
59079 $  6016   $  2195344078  $  9068247387     $     8889623  $   284796925  $   277672946  $     8889676  $      48      $       0      $      97      $           0  $              $0.242091      $8889623.000000      $18.172485 $17.717916 $0.567238 $     1.03  $    31.24  
59077 $  6014   $  5100352474  $  9105949181     $    28825123  $   230821955  $   154140319  $   150008813  $       0      $       0      $      97      $           0  $              $0.560112      $28825124.000000      $14.728419 $9.835474 $9.571849 $     1.50  $     1.03  
59079 $  7019   $  2195815854  $  9068259429     $     8893304  $   284853459  $   277738555  $     8893367  $      48      $       0      $      97      $           0  $              $0.242143      $8893304.000000      $18.176094 $17.722101 $0.567473 $     1.03  $    31.23  
59077 $  7016   $  5107517430  $  9106012646     $    28798959  $   231196677  $   154140618  $   150002037  $       0      $       0      $      97      $           0  $              $0.560895      $28798960.000000      $14.767053 $9.845309 $9.580968 $     1.50  $     1.03  
59079 $  8021   $  2195290974  $  9069671576     $     8894654  $   284790827  $   277666796  $     8894624  $      48      $       0      $      97      $           0  $              $0.242047      $8894654.000000      $18.190231 $17.735205 $0.568120 $     1.03  $    31.22  
59077 $  8018   $  5098047985  $  9106603493     $    28842773  $   230726560  $   154138285  $   150017845  $       0      $       0      $      97      $           0  $              $0.559819      $28842772.000000      $14.737026 $9.845160 $9.581978 $     1.50  $     1.03  
59079 $  9023   $  2154804027  $  9066183610     $     8812661  $   279897305  $   272755842  $     8812574  $      48      $       0      $      97      $           0  $              $0.237675      $8812661.000000      $17.877672 $17.421530 $0.562879 $     1.03  $    30.95  
59077 $  9020   $  5150045232  $  9103137224     $    29704483  $   237517356  $   158324489  $   154092566  $       0      $       0      $      97      $           0  $              $0.565744      $29704484.000000      $15.170770 $10.112543 $9.842239 $     1.50  $     1.03  
59079 $ 10026   $  2170377943  $  9067231029     $     8840697  $   281760288  $   274689995  $     8840009  $      48      $       0      $      97      $           0  $              $0.239365      $8840697.000000      $17.978722 $17.527576 $0.564068 $     1.03  $    31.07  
59077 $ 10022   $  5137424046  $  9103720940     $    29159176  $   234601465  $   156121887  $   151938663  $       0      $       0      $      97      $           0  $              $0.564321      $29159176.000000      $14.984525 $9.971857 $9.704664 $     1.50  $     1.03  
59079 $ 11029   $  2180777808  $  9069221867     $     8876015  $   283005092  $   275977297  $     8875343  $      47      $       0      $      97      $           0  $              $0.240459      $8876015.000000      $18.058151 $17.609718 $0.566323 $     1.03  $    31.09  
59077 $ 11024   $  5099751705  $  9104052939     $    28840944  $   230770142  $   154211234  $   150088130  $       0      $       0      $      97      $           0  $              $0.560163      $28840944.000000      $14.739810 $9.849819 $9.586467 $     1.50  $     1.03  
