PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
59653 $  1003   $  2855868607  $  8800516458     $    14716484  $   122391492  $    81796591  $    80532351  $      45      $       0      $      97      $           0  $              $0.324511      $14716484.000000      $7.809627 $5.219324 $5.138655 $     1.50  $     1.02  
59651 $  1003   $  2855938631  $  8797950233     $    14718675  $   122407417  $    81797713  $    80535955  $       0      $       0      $      97      $           0  $              $0.324614      $14718675.000000      $7.810643 $5.219395 $5.138884 $     1.50  $     1.02  
59653 $  2005   $  2932071320  $  9107477672     $    15513958  $   130813645  $    87281438  $    86023678  $      46      $       0      $      97      $           0  $              $0.321941      $15513958.000000      $8.355363 $5.574862 $5.494526 $     1.50  $     1.01  
59651 $  2005   $  2933798210  $  9105930521     $    15531431  $   130848450  $    87299581  $    86032947  $       0      $       0      $      97      $           0  $              $0.322185      $15531431.000000      $8.357586 $5.576021 $5.495118 $     1.50  $     1.01  
59653 $  3008   $  2900447688  $  9108648482     $    15981492  $   133001975  $    89038351  $    87780864  $      46      $       0      $      97      $           0  $              $0.318428      $15981492.000000      $8.486667 $5.681410 $5.601172 $     1.49  $     1.01  
59651 $  3008   $  2900872788  $  9105197654     $    15982430  $   132960985  $    89014160  $    87746461  $       0      $       0      $      97      $           0  $              $0.318595      $15982430.000000      $8.484051 $5.679867 $5.598977 $     1.49  $     1.01  
59653 $  4011   $  2907732486  $  9108880417     $    15963420  $   133367492  $    89034180  $    87774638  $      47      $       0      $      97      $           0  $              $0.319220      $15963420.000000      $8.509990 $5.681144 $5.600775 $     1.50  $     1.01  
59651 $  4011   $  2908828821  $  9105357331     $    15977365  $   133316084  $    89016749  $    87746194  $       0      $       0      $      97      $           0  $              $0.319463      $15977365.000000      $8.506709 $5.680032 $5.598959 $     1.50  $     1.01  
59653 $  5014   $  2914987468  $  9109376259     $    15923730  $   133713764  $    89028136  $    87756154  $      47      $       0      $      97      $           0  $              $0.319999      $15923730.000000      $8.532084 $5.680758 $5.599595 $     1.50  $     1.01  
59651 $  5014   $  2915429521  $  9105878716     $    15949920  $   133702433  $    89008126  $    87730067  $       0      $       0      $      97      $           0  $              $0.320170      $15949920.000000      $8.531362 $5.679482 $5.597930 $     1.50  $     1.01  
59653 $  6018   $  2903175901  $  9108927936     $    15970818  $   133104704  $    89026282  $    87768581  $      47      $       0      $      97      $           0  $              $0.318718      $15970818.000000      $8.484762 $5.674982 $5.594810 $     1.50  $     1.01  
59651 $  6018   $  2903828042  $  9104622486     $    15974667  $   133075983  $    88997760  $    87727718  $       0      $       0      $      97      $           0  $              $0.318940      $15974667.000000      $8.482931 $5.673164 $5.592205 $     1.50  $     1.01  
59653 $  7021   $  2917179620  $  9109210704     $    15667573  $   130930323  $    87751762  $    86496849  $      46      $       0      $      97      $           0  $              $0.320245      $15667573.000000      $8.354477 $5.599315 $5.519240 $     1.49  $     1.01  
59651 $  7021   $  2917359909  $  9105294379     $    15680886  $   130886096  $    87734766  $    86470474  $       0      $       0      $      97      $           0  $              $0.320403      $15680886.000000      $8.351655 $5.598230 $5.517558 $     1.49  $     1.01  
59653 $  8024   $  2926861980  $  9107785063     $    15616648  $   131317350  $    87640073  $    86383778  $      46      $       0      $      97      $           0  $              $0.321358      $15616648.000000      $8.379173 $5.592188 $5.512025 $     1.50  $     1.01  
59651 $  8023   $  2929006085  $  9106976388     $    15629112  $   131347688  $    87665769  $    86399397  $       0      $       0      $      97      $           0  $              $0.321622      $15629112.000000      $8.389473 $5.599411 $5.518525 $     1.50  $     1.01  
59653 $  9027   $  2909672077  $  9109919638     $    15949265  $   133453821  $    89031785  $    87765896  $      46      $       0      $      97      $           0  $              $0.319396      $15949265.000000      $8.515498 $5.680991 $5.600217 $     1.50  $     1.01  
