PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61062 $  1003   $ 13930801686  $  8662244139     $      735517  $  1746092010  $     6412189  $     5090721  $      50      $       0      $      97      $           0  $              $1.608221      $735517.000000      $111.415642 $0.409153 $0.324832 $   272.31  $     1.26  
61060 $  1003   $  5521193865  $  7787280275     $    11438933  $   152856817  $   154796568  $   144278412  $       0      $       0      $      97      $           0  $              $0.709002      $11438933.000000      $9.753575 $9.877349 $9.206200 $     0.99  $     1.07  
61062 $  2005   $ 14594565260  $  9041680466     $      668016  $  1834101363  $     5983900  $     5012638  $      52      $       0      $      97      $           0  $              $1.614143      $668016.000000      $117.148193 $0.382205 $0.320168 $   306.51  $     1.19  
61060 $  2005   $  6420974596  $  9099137333     $    15287762  $   199243981  $   199301359  $   194560582  $       0      $       0      $      97      $           0  $              $0.705669      $15287762.000000      $12.726163 $12.729827 $12.427023 $     1.00  $     1.02  
61062 $  3007   $ 14476346084  $  9035898959     $      739266  $  1812190540  $     6321009  $     5226829  $      52      $       0      $      97      $           0  $              $1.602093      $739266.000000      $115.748703 $0.403737 $0.333849 $   286.69  $     1.21  
61060 $  3007   $  6334327500  $  9100598481     $    15445971  $   200252153  $   200308977  $   195558758  $       0      $       0      $      97      $           0  $              $0.696034      $15445971.000000      $12.790557 $12.794186 $12.490779 $     1.00  $     1.02  
61062 $  4009   $ 14589281555  $  9051822610     $      670621  $  1832871656  $     5978020  $     5014312  $      52      $       0      $      97      $           0  $              $1.611751      $670621.000000      $117.069649 $0.381830 $0.320275 $   306.60  $     1.19  
61060 $  4009   $  6426085152  $  9109683805     $    15480233  $   200806350  $   200863718  $   196099231  $       0      $       0      $      97      $           0  $              $0.705413      $15480233.000000      $12.825954 $12.829618 $12.525300 $     1.00  $     1.02  
61062 $  5011   $ 14487582681  $  9043766190     $      742264  $  1813672611  $     6315940  $     5230095  $      52      $       0      $      97      $           0  $              $1.601941      $742264.000000      $115.843361 $0.403413 $0.334058 $   287.16  $     1.21  
61060 $  5011   $  6401028245  $  9108985994     $    15438698  $   199963140  $   200020147  $   195271164  $       0      $       0      $      97      $           0  $              $0.702716      $15438698.000000      $12.772097 $12.775738 $12.472410 $     1.00  $     1.02  
61062 $  6013   $ 14611440794  $  9050821774     $      670617  $  1836269931  $     5976823  $     5016363  $      52      $       0      $      97      $           0  $              $1.614377      $670617.000000      $117.286705 $0.381753 $0.320406 $   307.23  $     1.19  
61060 $  6013   $  6343010123  $  9107564411     $    15366373  $   199017707  $   199075237  $   194326779  $       0      $       0      $      97      $           0  $              $0.696455      $15366373.000000      $12.711710 $12.715384 $12.412090 $     1.00  $     1.02  
61062 $  7016   $ 15028437868  $  9195980332     $      712465  $  1889466558  $     6382400  $     5293421  $      48      $       0      $      97      $           0  $              $1.634240      $712465.000000      $120.564163 $0.407252 $0.337766 $   296.04  $     1.21  
61060 $  7016   $  6382501547  $  7012398349     $     9392900  $   129252064  $   129288839  $   126674832  $       0      $       0      $      97      $           0  $              $0.910174      $9392900.000000      $8.247390 $8.249737 $8.082940 $     1.00  $     1.02  
61062 $  7150   $  2173130613  $  1297944316     $       89139  $   274394062  $      909635  $      686772  $       5      $       0      $      97      $           0  $              $1.674286      $89139.000000      $131.053879 $0.434453 $0.328010 $   301.65  $     1.32  
