PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61251 $  1002   $  2379796747  $  8702065040     $     8698426  $   266673757  $   262947426  $     9113140  $      48      $       0      $      97      $           0  $              $0.273475      $8698426.000000      $17.033054 $16.795046 $0.582077 $     1.01  $    28.85  
61249 $  1002   $  5304425443  $  7763622743     $    11099052  $   147186672  $   149210859  $   138714892  $       0      $       0      $      97      $           0  $              $0.683241      $11099052.000000      $9.401145 $9.530435 $8.860033 $     0.99  $     1.08  
61251 $  2004   $  2389058247  $  9113631708     $     8875178  $   272416327  $   268384388  $     8875183  $      49      $       0      $      97      $           0  $              $0.262141      $8875178.000000      $17.399845 $17.142317 $0.566878 $     1.02  $    30.24  
61249 $  2004   $  6148656611  $  9116385814     $    14860369  $   191966764  $   192025967  $   187484583  $       0      $       0      $      97      $           0  $              $0.674462      $14860369.000000      $12.261351 $12.265132 $11.975062 $     1.00  $     1.02  
61251 $  3006   $  2387876151  $  9114054299     $     8873031  $   272251964  $   268270340  $     8873043  $      49      $       0      $      97      $           0  $              $0.261999      $8873031.000000      $17.389347 $17.135031 $0.566741 $     1.01  $    30.23  
61249 $  3006   $  6170100549  $  9116642932     $    14843794  $   191971209  $   192029449  $   187492654  $       0      $       0      $      97      $           0  $              $0.676795      $14843794.000000      $12.261635 $12.265354 $11.975579 $     1.00  $     1.02  
61251 $  4008   $  2386007766  $  9105550024     $     8861553  $   272113806  $   268038670  $     8861341  $      49      $       0      $      97      $           0  $              $0.262039      $8861553.000000      $17.380522 $17.120235 $0.565994 $     1.02  $    30.25  
61249 $  4008   $  6164237246  $  9107825363     $    14833334  $   191872769  $   191930437  $   187395808  $       0      $       0      $      97      $           0  $              $0.676807      $14833334.000000      $12.255346 $12.259029 $11.969393 $     1.00  $     1.02  
61251 $  5010   $  2417235643  $  9098026852     $     8850950  $   268522226  $   264549296  $     9109526  $      49      $       0      $      97      $           0  $              $0.265688      $8850950.000000      $17.151121 $16.897360 $0.581846 $     1.02  $    29.04  
61249 $  5010   $  6131622003  $  9108169252     $    14854648  $   191771911  $   191829915  $   187306965  $       0      $       0      $      97      $           0  $              $0.673200      $14854648.000000      $12.248904 $12.252609 $11.963718 $     1.00  $     1.02  
61251 $  6013   $  2386437317  $  9114944902     $     8869947  $   272117324  $   268101026  $     8869951  $      49      $       0      $      97      $           0  $              $0.261816      $8869947.000000      $17.363419 $17.107143 $0.565979 $     1.01  $    30.23  
61249 $  6013   $  6136988934  $  9117486804     $    14921900  $   192843044  $   192901943  $   188349543  $       0      $       0      $      97      $           0  $              $0.673101      $14921900.000000      $12.305039 $12.308798 $12.018315 $     1.00  $     1.02  
61251 $  7016   $  2584776094  $  9140748445     $     9464254  $   294073538  $   290038515  $     9464231  $      49      $       0      $      97      $           0  $              $0.282775      $9464254.000000      $18.764414 $18.506945 $0.603899 $     1.01  $    30.65  
61249 $  7016   $  6488928329  $  8763467708     $    12448042  $   164011321  $   164060171  $   160406784  $       0      $       0      $      97      $           0  $              $0.740452      $12448042.000000      $10.465329 $10.468446 $10.235328 $     1.00  $     1.02  
61251 $  7396   $  1305228688  $  3551976577     $     3519088  $   147564142  $   145905021  $     3519090  $      14      $       0      $      97      $           0  $              $0.367465      $3519088.000000      $24.852909 $24.573477 $0.592689 $     1.01  $    41.46  
61249 $  7397   $  1278633088  $   534244868     $      480737  $    10011016  $    10015475  $    10009492  $       0      $       0      $      97      $           0  $              $2.393347      $480737.000000      $1.681641 $1.682389 $1.681384 $     1.00  $     1.00  
61251 $  8085   $  2492082550  $  6592756153     $      203985  $   276317082  $   273772023  $      394719  $      23      $       0      $      97      $           0  $              $0.378003      $203985.000000      $25.666609 $25.430202 $0.036665 $     1.01  $   693.59  
61251 $  8086   $     2026777  $     5467946     $          50  $      228914  $      226415  $          50  $       0      $       0      $      97      $           0  $              $0.370665      $50.000000      $14.650496 $14.490560 $0.003200 $     1.01  $  4528.30  
61251 $  9088   $  2486251230  $  9103424039     $     9098490  $   282844226  $   278981905  $     9098475  $      49      $       0      $      97      $           0  $              $0.273112      $9098490.000000      $18.065899 $17.819204 $0.581140 $     1.01  $    30.66  
61270 $  1002   $  5330876816  $  7814342505     $    11197972  $   148170904  $   150138676  $   139652517  $       0      $       0      $      97      $           0  $              $0.682191      $11197972.000000      $9.464010 $9.589696 $8.919921 $     0.99  $     1.08  
61251 $ 10090   $  2389786140  $  9104120372     $     8875525  $   272453774  $   268469159  $     8875503  $      50      $       0      $      97      $           0  $              $0.262495      $8875525.000000      $17.402237 $17.147730 $0.566898 $     1.01  $    30.25  
61270 $  2004   $  6148824259  $  9102955621     $    14864739  $   191662647  $   191723574  $   187187521  $       0      $       0      $      97      $           0  $              $0.675476      $14864739.000000      $12.241925 $12.245817 $11.956089 $     1.00  $     1.02  
61251 $ 11092   $  2391666077  $  9104322549     $     8884591  $   272676152  $   268677022  $     8884565  $      50      $       0      $      97      $           0  $              $0.262696      $8884591.000000      $17.416441 $17.161007 $0.567477 $     1.01  $    30.24  
61270 $  3006   $  6161727467  $  9103489506     $    14861844  $   191794855  $   191854947  $   187318316  $       0      $       0      $      97      $           0  $              $0.676853      $14861844.000000      $12.250369 $12.254208 $11.964443 $     1.00  $     1.02  
