PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62429 $  1003   $  4511020304  $  8777558164     $    25174531  $   195552640  $   130398945  $   126754769  $      49      $       0      $      97      $           0  $              $0.513927      $25174532.000000      $12.477935 $8.320571 $8.088041 $     1.50  $     1.03  
62427 $  1003   $ 10912956009  $  8813221315     $     4517964  $   240362631  $   215358783  $    49000698  $       0      $       0      $      97      $           0  $              $1.238248      $4517964.000000      $15.337196 $13.741737 $3.126665 $     1.12  $     4.40  
62429 $  2006   $  4748881559  $  9097219312     $    28330101  $   219483458  $   146134730  $   142193778  $      50      $       0      $      97      $           0  $              $0.522015      $28330100.000000      $14.004927 $9.324649 $9.073182 $     1.50  $     1.03  
62427 $  2006   $ 10799369944  $  9095954262     $     4711868  $   238688746  $   213265742  $    49866429  $       0      $       0      $      97      $           0  $              $1.187272      $4711868.000000      $15.230389 $13.608183 $3.181906 $     1.12  $     4.28  
62429 $  3008   $  4689798914  $  9092326509     $    27140897  $   210554150  $   140774189  $   136971699  $      50      $       0      $      97      $           0  $              $0.515797      $27140896.000000      $13.448568 $8.991565 $8.748692 $     1.50  $     1.03  
62427 $  3008   $ 11094537089  $  9091503831     $     4692322  $   244965206  $   219169777  $    50733676  $       0      $       0      $      97      $           0  $              $1.220319      $4692322.000000      $15.646480 $13.998868 $3.240474 $     1.12  $     4.32  
62429 $  4010   $  4740005787  $  9092909670     $    28384799  $   219063809  $   146088123  $   142153899  $      50      $       0      $      97      $           0  $              $0.521286      $28384800.000000      $13.992100 $9.330978 $9.079691 $     1.50  $     1.03  
62427 $  4010   $ 10793301727  $  9091670501     $     4708319  $   238528759  $   213133466  $    49829707  $       0      $       0      $      97      $           0  $              $1.187164      $4708319.000000      $15.235370 $13.613316 $3.182736 $     1.12  $     4.28  
62429 $  5012   $  4696695887  $  9091240761     $    27196927  $   210875286  $   141004827  $   137189602  $      50      $       0      $      97      $           0  $              $0.516618      $27196928.000000      $13.469080 $9.006297 $8.762609 $     1.50  $     1.03  
62427 $  5012   $ 11191593037  $  9090374739     $     4679387  $   247748534  $   221619080  $    50951897  $       0      $       0      $      97      $           0  $              $1.231148      $4679387.000000      $15.824257 $14.155310 $3.254412 $     1.12  $     4.35  
62429 $  6014   $  4746479303  $  9096108300     $    28348512  $   219378377  $   146123140  $   142189220  $      50      $       0      $      97      $           0  $              $0.521814      $28348512.000000      $14.012192 $9.333214 $9.081946 $     1.50  $     1.03  
62427 $  6014   $ 10796845396  $  9094768118     $     4707885  $   238624963  $   213214810  $    49850127  $       0      $       0      $      97      $           0  $              $1.187149      $4707885.000000      $15.241514 $13.618511 $3.184040 $     1.12  $     4.28  
62429 $  7016   $  4699759810  $  9092456026     $    27079522  $   211079342  $   140791566  $   136988827  $      50      $       0      $      97      $           0  $              $0.516886      $27079522.000000      $13.482114 $8.992675 $8.749785 $     1.50  $     1.03  
62427 $  7016   $ 11094097174  $  9091552947     $     4692457  $   244971964  $   219165744  $    50724072  $       0      $       0      $      97      $           0  $              $1.220264      $4692457.000000      $15.646913 $13.998610 $3.239861 $     1.12  $     4.32  
62429 $  8019   $  4746299382  $  9092586148     $    28342261  $   219376270  $   146067577  $   142125251  $      50      $       0      $      97      $           0  $              $0.521997      $28342260.000000      $13.998087 $9.320364 $9.068810 $     1.50  $     1.03  
62427 $  8019   $ 10792860983  $  9091318812     $     4706539  $   238511338  $   213117475  $    49819969  $       0      $       0      $      97      $           0  $              $1.187161      $4706539.000000      $15.219069 $13.598722 $3.178941 $     1.12  $     4.28  
62429 $  9022   $  4687189929  $  9090990124     $    27156274  $   210450485  $   140754400  $   136963812  $      50      $       0      $      97      $           0  $              $0.515586      $27156274.000000      $13.428545 $8.981338 $8.739466 $     1.50  $     1.03  
62427 $  9022   $ 11092670134  $  9089331608     $     4689470  $   244929687  $   219127312  $    50720053  $       0      $       0      $      97      $           0  $              $1.220406      $4689470.000000      $15.628613 $13.982202 $3.236374 $     1.12  $     4.32  
62429 $ 10025   $  4749418695  $  9094821579     $    28413843  $   219504679  $   146309528  $   142356862  $      50      $       0      $      97      $           0  $              $0.522211      $28413844.000000      $14.006280 $9.335803 $9.083589 $     1.50  $     1.03  
62427 $ 10025   $ 10890259822  $  9094170950     $     4699071  $   241336422  $   215594126  $    50052710  $       0      $       0      $      97      $           0  $              $1.197499      $4699071.000000      $15.399333 $13.756754 $3.193792 $     1.12  $     4.31  
62429 $ 11028   $  4688625262  $  9092283032     $    27150739  $   210513405  $   140783349  $   136980354  $      50      $       0      $      97      $           0  $              $0.515671      $27150740.000000      $13.432560 $8.983185 $8.740521 $     1.50  $     1.03  
62427 $ 11028   $ 11098771267  $  9091220231     $     4690121  $   245054124  $   219249810  $    50746780  $       0      $       0      $      97      $           0  $              $1.220823      $4690121.000000      $15.636555 $13.990018 $3.238080 $     1.12  $     4.32  
62429 $ 12031   $  4747589841  $  9096474811     $    28330218  $   219469727  $   146128330  $   142191946  $      50      $       0      $      97      $           0  $              $0.521915      $28330218.000000      $14.004050 $9.324241 $9.073066 $     1.50  $     1.03  
62427 $ 12030   $ 10793347483  $  9094888212     $     4707896  $   238527598  $   213136941  $    49824250  $       0      $       0      $      97      $           0  $              $1.186749      $4707896.000000      $15.235296 $13.613538 $3.182387 $     1.12  $     4.28  
62429 $ 13033   $  4701506955  $  9096138777     $    27113452  $   211130356  $   140839355  $   137032800  $      50      $       0      $      97      $           0  $              $0.516868      $27113452.000000      $13.485372 $8.995728 $8.752594 $     1.50  $     1.03  
62427 $ 13032   $ 11099887397  $  9094716623     $     4691138  $   245082051  $   219271717  $    50749751  $       0      $       0      $      97      $           0  $              $1.220477      $4691138.000000      $15.653943 $14.005379 $3.241501 $     1.12  $     4.32  
62429 $ 14035   $  4752416408  $  9093810270     $    28387602  $   219672688  $   146325549  $   142369329  $      50      $       0      $      97      $           0  $              $0.522599      $28387602.000000      $14.030990 $9.346143 $9.093451 $     1.50  $     1.03  
62427 $ 14034   $ 10890704720  $  9092216959     $     4696377  $   241355023  $   215587922  $    50045286  $       0      $       0      $      97      $           0  $              $1.197805      $4696377.000000      $15.415890 $13.770086 $3.196505 $     1.12  $     4.31  
62427 $ 14482   $  6167469963  $  4167399996     $     1807605  $   134345792  $   121946472  $    21023604  $       0      $       0      $      97      $           0  $              $1.479932      $1807605.000000      $19.192257 $17.420925 $3.003372 $     1.10  $     5.80  
62429 $ 14483   $  1373653523  $  2676688156     $     8056811  $    61853763  $    41470682  $    40361929  $      20      $       0      $      97      $           0  $              $0.513191      $8056811.000000      $8.836252 $5.924383 $5.765990 $     1.49  $     1.03  
62427 $ 15187   $ 13574320052  $  6789311188     $     1900175  $   293197015  $   270235236  $    28000191  $       0      $       0      $      97      $           0  $              $1.999366      $1900175.000000      $26.616467 $24.531992 $2.541861 $     1.08  $     9.65  
62427 $ 15190   $     2996279  $     1461672     $         616  $       64640  $       59639  $        9574  $       0      $       0      $      97      $           0  $              $2.049898      $616.000000      $1.378987 $1.272299 $0.204245 $     1.08  $     6.23  
62427 $ 16193   $ 11268497731  $  8974016147     $     4601133  $   247143144  $   221732136  $    50610318  $      50      $       0      $      97      $           0  $              $1.255680      $4601133.000000      $15.769851 $14.148411 $3.229372 $     1.11  $     4.38  
62447 $  1003   $  4521209945  $  8869183800     $    25130025  $   196194985  $   131215595  $   127530964  $       0      $       0      $      97      $           0  $              $0.509766      $25130024.000000      $12.518923 $8.372680 $8.137568 $     1.50  $     1.03  
62447 $  2005   $  4616782209  $  8938082627     $    26881264  $   210270452  $   140183123  $   136365056  $      49      $       0      $      97      $           0  $              $0.516529      $26881264.000000      $13.430448 $8.953812 $8.709944 $     1.50  $     1.03  
62427 $ 17195   $ 10467750090  $  8648066018     $     4803693  $   231757023  $   207272576  $    51344975  $       0      $       0      $      97      $           0  $              $1.210415      $4803693.000000      $14.802844 $13.238967 $3.279519 $     1.12  $     4.04  
62447 $  3007   $  4672524829  $  9100030481     $    26826944  $   209899446  $   140398536  $   136501828  $      50      $       0      $      97      $           0  $              $0.513463      $26826944.000000      $13.406751 $8.967570 $8.718679 $     1.50  $     1.03  
62427 $ 18197   $ 11148071636  $  9100537218     $     4722168  $   246372022  $   220394813  $    51245867  $       0      $       0      $      97      $           0  $              $1.224991      $4722168.000000      $15.736337 $14.077114 $3.273189 $     1.12  $     4.30  
62447 $  4010   $  4715477822  $  9098745946     $    28016133  $   218088040  $   145547507  $   141533197  $      50      $       0      $      97      $           0  $              $0.518256      $28016132.000000      $13.915886 $9.287179 $9.031032 $     1.50  $     1.03  
62427 $ 19200   $ 10867575025  $  9098927464     $     4712085  $   240129035  $   214619441  $    50149347  $       0      $       0      $      97      $           0  $              $1.194380      $4712085.000000      $15.322291 $13.694560 $3.199958 $     1.12  $     4.28  
62447 $  5013   $  4676240786  $  9099259569     $    26852325  $   210075608  $   140510061  $   136606314  $      50      $       0      $      97      $           0  $              $0.513914      $26852324.000000      $13.404626 $8.965747 $8.716655 $     1.50  $     1.03  
62427 $ 20203   $ 11203320213  $  9099449368     $     4724229  $   247924567  $   221768628  $    51323860  $       0      $       0      $      97      $           0  $              $1.231209      $4724229.000000      $15.819713 $14.150740 $3.274902 $     1.12  $     4.32  
62447 $  6016   $  4714244953  $  9098109887     $    28012803  $   218008989  $   145519813  $   141510574  $      50      $       0      $      97      $           0  $              $0.518157      $28012804.000000      $13.910843 $9.285412 $9.029588 $     1.50  $     1.03  
62427 $ 21206   $ 10870924281  $  9098303973     $     4715255  $   240216343  $   214669051  $    50157106  $       0      $       0      $      97      $           0  $              $1.194830      $4715255.000000      $15.327862 $13.697726 $3.200453 $     1.12  $     4.28  
62447 $  7019   $  4675688259  $  9099073444     $    26823356  $   210071167  $   140492822  $   136590925  $      50      $       0      $      97      $           0  $              $0.513864      $26823356.000000      $13.404342 $8.964646 $8.715672 $     1.50  $     1.03  
62427 $ 22209   $ 11264604302  $  9100245792     $     4687607  $   249352230  $   223074456  $    51259544  $       0      $       0      $      97      $           0  $              $1.237835      $4687607.000000      $15.910810 $14.234063 $3.270798 $     1.12  $     4.35  
62447 $  8022   $  4715126301  $  9100845518     $    28041280  $   218041297  $   145565741  $   141556109  $      50      $       0      $      97      $           0  $              $0.518098      $28041280.000000      $13.912904 $9.288342 $9.032494 $     1.50  $     1.03  
62427 $ 23212   $ 10872247894  $  9100861951     $     4717367  $   240251336  $   214716534  $    50175836  $       0      $       0      $      97      $           0  $              $1.194639      $4717367.000000      $15.330094 $13.700755 $3.201648 $     1.12  $     4.28  
