PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62705 $  1003   $  3580812642  $  7760715256     $     3156140  $    39810471  $    36274567  $    30089809  $      48      $       0      $      97      $           0  $              $0.461402      $3156140.000000      $2.540249 $2.314628 $1.919988 $     1.10  $     1.21  
62703 $  1003   $ 16934578715  $  8842702170     $     4191289  $   369642299  $   335633758  $    65269946  $       0      $       0      $      97      $           0  $              $1.915091      $4191289.000000      $23.586348 $21.416311 $4.164782 $     1.10  $     5.14  
62705 $  2005   $  4207188850  $  9027646296     $     3666180  $    47102386  $    42885778  $    35458607  $      50      $       0      $      97      $           0  $              $0.466034      $3666180.000000      $3.008536 $2.739211 $2.264821 $     1.10  $     1.21  
62703 $  2005   $ 17653755716  $  9111254438     $     4367648  $   386559481  $   350700875  $    69322627  $       0      $       0      $      97      $           0  $              $1.937577      $4367648.000000      $24.690426 $22.400055 $4.427793 $     1.10  $     5.06  
62705 $  3007   $  4156912750  $  9032338054     $     3477453  $    45324541  $    41461468  $    34589144  $      50      $       0      $      97      $           0  $              $0.460226      $3477453.000000      $2.894981 $2.648237 $2.209287 $     1.09  $     1.20  
62703 $  3007   $ 17668423862  $  9109298526     $     4360304  $   386830506  $   350953573  $    69280194  $       0      $       0      $      97      $           0  $              $1.939603      $4360304.000000      $24.707737 $22.416197 $4.425082 $     1.10  $     5.07  
62705 $  4010   $  4206407177  $  9026104996     $     3667548  $    47113320  $    42895937  $    35459157  $      50      $       0      $      97      $           0  $              $0.466027      $3667548.000000      $3.006234 $2.737128 $2.262598 $     1.10  $     1.21  
62703 $  4009   $ 17655436069  $  9110324767     $     4368182  $   386605659  $   350692124  $    69350534  $       0      $       0      $      97      $           0  $              $1.937959      $4368182.000000      $24.693377 $22.399498 $4.429575 $     1.10  $     5.06  
62705 $  5013   $  4156220402  $  9032289724     $     3480197  $    45326423  $    41461585  $    34576062  $      50      $       0      $      97      $           0  $              $0.460151      $3480197.000000      $2.892215 $2.645605 $2.206249 $     1.09  $     1.20  
62703 $  5012   $ 17597388358  $  9110058463     $     4396735  $   385203267  $   349502928  $    69308422  $       0      $       0      $      97      $           0  $              $1.931644      $4396735.000000      $24.579271 $22.301283 $4.422472 $     1.10  $     5.04  
62705 $  6016   $  4205958114  $  9025090136     $     3669686  $    47106485  $    42906109  $    35446538  $      50      $       0      $      97      $           0  $              $0.466029      $3669686.000000      $3.005798 $2.737777 $2.261793 $     1.10  $     1.21  
62703 $  6015   $ 17650526656  $  9109740259     $     4365386  $   386496807  $   350617632  $    69306975  $       0      $       0      $      97      $           0  $              $1.937544      $4365386.000000      $24.661810 $22.372412 $4.422379 $     1.10  $     5.06  
62705 $  7018   $  4202411683  $  9023841957     $     3679486  $    47080431  $    42883257  $    35434663  $      50      $       0      $      97      $           0  $              $0.465701      $3679486.000000      $3.007133 $2.739050 $2.263292 $     1.10  $     1.21  
62703 $  7017   $ 17633777070  $  9108342350     $     4357512  $   385964994  $   350173016  $    69156685  $       0      $       0      $      97      $           0  $              $1.936003      $4357512.000000      $24.652454 $22.366341 $4.417193 $     1.10  $     5.06  
62703 $  7994   $ 17349246595  $  8951748902     $     4139249  $   379383627  $   344608770  $    64968672  $       0      $       0      $      97      $           0  $              $1.938085      $4139249.000000      $24.852150 $22.574167 $4.255880 $     1.10  $     5.30  
62705 $  7995   $  3625959903  $  7824489237     $     3096988  $    39984663  $    36488275  $    30247650  $      48      $       0      $      97      $           0  $              $0.463412      $3096988.000000      $2.619262 $2.390225 $1.981422 $     1.10  $     1.21  
62703 $  8124   $  2475981594  $  1230187765     $      351159  $    53725166  $    49280242  $     5437532  $       0      $       0      $      97      $           0  $              $2.012686      $351159.000000      $26.449314 $24.261042 $2.676939 $     1.09  $     9.06  
62703 $  8126   $     2963104  $     1475503     $        1573  $       63972  $       59198  $       24919  $       0      $       0      $      97      $           0  $              $2.008199      $1573.000000      $2.047104 $1.894336 $0.797408 $     1.08  $     2.38  
62703 $  9128   $ 17525851597  $  9032387921     $     4261983  $   382969122  $   347822079  $    67278181  $      49      $       0      $      97      $           0  $              $1.940334      $4261983.000000      $24.461102 $22.216181 $4.297209 $     1.10  $     5.17  
62734 $  1002   $  3616506780  $  7842021328     $     3170216  $    39992326  $    36405371  $    30327520  $       0      $       0      $      97      $           0  $              $0.461170      $3170216.000000      $2.554400 $2.325293 $1.937087 $     1.10  $     1.20  
