PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63031 $  1002   $ 14640409152  $  8795742492     $      684448  $  1847302996  $     6395559  $     5018618  $      50      $       0      $      97      $           0  $              $1.664488      $684448.000000      $117.991409 $0.408499 $0.320550 $   288.84  $     1.27  
63029 $  1003   $ 22068412173  $  8845756535     $      858588  $   345260047  $   345303833  $     5204583  $       0      $       0      $      97      $           0  $              $2.494802      $858588.000000      $22.030550 $22.033346 $0.332097 $     1.00  $    66.35  
63031 $  2004   $ 15279983740  $  9126027408     $      679665  $  1929646404  $     6294465  $     5139126  $      52      $       0      $      97      $           0  $              $1.674330      $679665.000000      $123.250870 $0.402042 $0.328248 $   306.56  $     1.22  
63029 $  2005   $ 22964365941  $  9151683684     $      792976  $   359054296  $   359073828  $     4778882  $       0      $       0      $      97      $           0  $              $2.509305      $792976.000000      $22.933609 $22.934855 $0.305238 $     1.00  $    75.14  
63031 $  3006   $ 15285545121  $  9128188589     $      673972  $  1930363907  $     6287673  $     5131989  $      52      $       0      $      97      $           0  $              $1.674543      $673972.000000      $123.296700 $0.401608 $0.327792 $   307.01  $     1.23  
63029 $  3007   $ 23060150172  $  9161823328     $      733011  $   360757816  $   360767773  $     4576923  $       0      $       0      $      97      $           0  $              $2.516983      $733011.000000      $23.042416 $23.043051 $0.292338 $     1.00  $    78.82  
63031 $  4008   $ 15283778361  $  9126731634     $      674158  $  1930178733  $     6299222  $     5137979  $      52      $       0      $      97      $           0  $              $1.674617      $674158.000000      $123.284866 $0.402346 $0.328174 $   306.42  $     1.23  
63029 $  4009   $ 22971812286  $  9154540076     $      792395  $   359170017  $   359189144  $     4775796  $       0      $       0      $      97      $           0  $              $2.509335      $792395.000000      $22.940998 $22.942221 $0.305041 $     1.00  $    75.21  
63031 $  5010   $ 15273866672  $  9129659544     $      670574  $  1928282937  $     6302127  $     5131453  $      52      $       0      $      97      $           0  $              $1.672994      $670574.000000      $123.163780 $0.402531 $0.327757 $   305.97  $     1.23  
63029 $  5011   $ 22992288478  $  9161803718     $      795758  $   359493906  $   359513324  $     4801588  $       0      $       0      $      97      $           0  $              $2.509581      $795758.000000      $22.961687 $22.962927 $0.306688 $     1.00  $    74.87  
63031 $  6012   $ 15285472803  $  9127364673     $      676835  $  1930402385  $     6286485  $     5137349  $      52      $       0      $      97      $           0  $              $1.674686      $676835.000000      $123.299156 $0.401532 $0.328134 $   307.07  $     1.22  
63029 $  6013   $ 23060311275  $  9161151805     $      732815  $   360762055  $   360772680  $     4568460  $       0      $       0      $      97      $           0  $              $2.517185      $732815.000000      $23.042686 $23.043364 $0.291798 $     1.00  $    78.97  
63031 $  7014   $ 15288814821  $  9128441522     $      674489  $  1931161505  $     6272952  $     5141448  $      52      $       0      $      97      $           0  $              $1.674855      $674489.000000      $123.347641 $0.400668 $0.328396 $   307.86  $     1.22  
63029 $  7015   $ 22970398892  $  9154289553     $      793722  $   359148582  $   359169466  $     4775336  $       0      $       0      $      97      $           0  $              $2.509250      $793722.000000      $22.939631 $22.940964 $0.305011 $     1.00  $    75.21  
63031 $  8016   $ 15325443151  $  9136542573     $      615747  $  1939699777  $     5960557  $     4916836  $      52      $       0      $      97      $           0  $              $1.677379      $615747.000000      $123.893005 $0.380714 $0.314049 $   325.42  $     1.21  
63029 $  8017   $ 23001850073  $  9162725740     $      775025  $   359640245  $   359660035  $     4690045  $       0      $       0      $      97      $           0  $              $2.510372      $775025.000000      $22.971035 $22.972298 $0.299564 $     1.00  $    76.69  
63031 $  9018   $ 15283413499  $  9127599055     $      674250  $  1930079488  $     6288686  $     5136334  $      52      $       0      $      97      $           0  $              $1.674418      $674250.000000      $123.278534 $0.401673 $0.328069 $   306.91  $     1.22  
63029 $  9019   $ 23061452147  $  9162064880     $      734487  $   360784672  $   360796224  $     4570799  $       0      $       0      $      97      $           0  $              $2.517058      $734487.000000      $23.044130 $23.044868 $0.291947 $     1.00  $    78.94  
63031 $ 10021   $ 15284783298  $  9127998165     $      677275  $  1930295413  $     6294909  $     5132135  $      52      $       0      $      97      $           0  $              $1.674495      $677275.000000      $123.169395 $0.401669 $0.327474 $   306.64  $     1.23  
63029 $ 10022   $ 22971506336  $  9154962898     $      795997  $   359164547  $   359185569  $     4790400  $       0      $       0      $      97      $           0  $              $2.509186      $795997.000000      $22.917778 $22.919119 $0.305669 $     1.00  $    74.98  
63031 $ 11024   $ 15274601262  $  9129237842     $      674133  $  1928488329  $     6289964  $     5144010  $      52      $       0      $      97      $           0  $              $1.673152      $674133.000000      $123.054092 $0.401354 $0.328232 $   306.60  $     1.22  
63029 $ 11025   $ 22979654594  $  9161833200     $      812861  $   359276832  $   359297940  $     4874911  $       0      $       0      $      97      $           0  $              $2.508194      $812861.000000      $22.924942 $22.926291 $0.311061 $     1.00  $    73.70  
63031 $ 12027   $ 15282089799  $  9126840494     $      673334  $  1929872988  $     6285445  $     5128817  $      52      $       0      $      97      $           0  $              $1.674412      $673334.000000      $123.142448 $0.401065 $0.327262 $   307.04  $     1.23  
63029 $ 12028   $ 23053174063  $  9160583639     $      736540  $   360649958  $   360662215  $     4596301  $       0      $       0      $      97      $           0  $              $2.516562      $736540.000000      $23.012560 $23.013342 $0.293283 $     1.00  $    78.47  
63031 $ 13029   $ 15283321514  $  9126982101     $      674314  $  1930075590  $     6294650  $     5141631  $      52      $       0      $      97      $           0  $              $1.674521      $674314.000000      $123.278282 $0.402054 $0.328408 $   306.62  $     1.22  
63029 $ 13031   $ 22971680406  $  9154147757     $      793825  $   359165924  $   359186958  $     4769893  $       0      $       0      $      97      $           0  $              $2.509429      $793825.000000      $22.917866 $22.919207 $0.304360 $     1.00  $    75.30  
63031 $ 14031   $ 15279971257  $  9125403605     $      675224  $  1929659531  $     6284948  $     5135172  $      52      $       0      $      97      $           0  $              $1.674443      $675224.000000      $123.251709 $0.401434 $0.327995 $   307.03  $     1.22  
63029 $ 14033   $ 22963054251  $  9151876713     $      791249  $   359034487  $   359054151  $     4779489  $       0      $       0      $      97      $           0  $              $2.509109      $791249.000000      $22.932343 $22.933598 $0.305277 $     1.00  $    75.12  
63029 $ 14647   $ 14282997882  $  5661571992     $      408289  $   223495779  $   223501576  $     2579870  $       0      $       0      $      97      $           0  $              $2.522797      $408289.000000      $23.295977 $23.296581 $0.268912 $     1.00  $    86.63  
63031 $ 14645   $  8100584787  $  4834415069     $      319236  $  1025450305  $     3088370  $     2563738  $      30      $       0      $      97      $           0  $              $1.675608      $319236.000000      $106.887329 $0.321915 $0.267230 $   332.04  $     1.20  
63029 $ 15078   $ 10246356234  $  4060563920     $      197517  $   160225509  $   160225099  $     1345965  $       0      $       0      $      97      $           0  $              $2.523382      $197517.000000      $23.792187 $23.792128 $0.199865 $     1.00  $   119.04  
63049 $  1003   $ 15681177017  $  9407212746     $      620858  $  1972132388  $     9665797  $     4765511  $      37      $       0      $      65      $           0  $              $1.666931      $620858.000000      $125.838951 $0.616761 $0.304080 $   204.03  $     2.03  
