PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63505 $  1003   $  5098782734  $  7787686055     $    11059163  $   139611875  $   141727399  $   130915462  $      50      $       0      $      97      $           0  $              $0.654724      $11059163.000000      $8.908435 $9.043423 $8.353529 $     0.99  $     1.08  
63503 $  1002   $ 11691107970  $  8763675486     $     7070370  $   182941721  $   183153436  $    41325159  $       0      $       0      $      97      $           0  $              $1.334042      $7070370.000000      $11.684901 $11.698423 $2.639531 $     1.00  $     4.43  
63505 $  2005   $  5766480872  $  9103306410     $    14644425  $   180230457  $   180272321  $   175209796  $      51      $       0      $      97      $           0  $              $0.633449      $14644425.000000      $11.511726 $11.514400 $11.191045 $     1.00  $     1.03  
63503 $  2004   $ 10463682208  $  9093544365     $     7014272  $   163670779  $   163878371  $    40773989  $       0      $       0      $      97      $           0  $              $1.150672      $7014272.000000      $10.454022 $10.467281 $2.604326 $     1.00  $     4.02  
63505 $  3007   $  5725127878  $  9103214709     $    14620726  $   179723579  $   179765930  $   174710052  $      51      $       0      $      97      $           0  $              $0.628913      $14620726.000000      $11.479351 $11.482056 $11.159124 $     1.00  $     1.03  
63503 $  3006   $ 10471534553  $  9093330335     $     7021160  $   163795450  $   164005546  $    40803538  $       0      $       0      $      97      $           0  $              $1.151562      $7021160.000000      $10.461986 $10.475405 $2.606214 $     1.00  $     4.02  
63505 $  4010   $  5739136899  $  9103039258     $    14623307  $   179772255  $   179814430  $   174750646  $      51      $       0      $      97      $           0  $              $0.630464      $14623307.000000      $11.471011 $11.473702 $11.150589 $     1.00  $     1.03  
63503 $  4009   $ 10468883962  $  9093117876     $     7017981  $   163797514  $   163998160  $    40801904  $       0      $       0      $      97      $           0  $              $1.151297      $7017981.000000      $10.451686 $10.464489 $2.603511 $     1.00  $     4.02  
63505 $  5013   $  5782037053  $  9101436975     $    14606270  $   179359300  $   179401496  $   174358359  $      51      $       0      $      97      $           0  $              $0.635288      $14606270.000000      $11.444661 $11.447354 $11.125558 $     1.00  $     1.03  
63503 $  5012   $ 10410580704  $  9083781550     $     7056050  $   162431280  $   162680736  $    40733537  $       0      $       0      $      97      $           0  $              $1.146062      $7056050.000000      $10.364509 $10.380425 $2.599149 $     1.00  $     3.99  
63505 $  6016   $  5793177508  $  9102823807     $    14631169  $   179831761  $   179873955  $   174804317  $      51      $       0      $      97      $           0  $              $0.636415      $14631169.000000      $11.474808 $11.477500 $11.154015 $     1.00  $     1.03  
63503 $  6015   $ 10462373605  $  9092486341     $     7015885  $   163651955  $   163862816  $    40769525  $       0      $       0      $      97      $           0  $              $1.150661      $7015885.000000      $10.442398 $10.455853 $2.601445 $     1.00  $     4.02  
63505 $  7019   $  5741121045  $  9108716646     $    14722589  $   180815992  $   180856790  $   175790565  $      51      $       0      $      97      $           0  $              $0.630289      $14722589.000000      $11.537611 $11.540214 $11.216945 $     1.00  $     1.03  
63503 $  7018   $ 10452755757  $  9098413470     $     7000456  $   163505133  $   163715616  $    40735434  $       0      $       0      $      97      $           0  $              $1.148855      $7000456.000000      $10.433029 $10.446460 $2.599270 $     1.00  $     4.02  
63503 $  7844   $ 16163550223  $  7717042088     $     2596751  $   252822156  $   252884044  $    16507934  $       0      $       0      $      97      $           0  $              $2.094527      $2596751.000000      $19.589127 $19.593922 $1.279065 $     1.00  $    15.32  
63505 $  7845   $  4204070369  $  4135143752     $     4395895  $    62177810  $    62194034  $    60993771  $      36      $       0      $      97      $           0  $              $1.016669      $4395895.000000      $4.817651 $4.818908 $4.725910 $     1.00  $     1.02  
63503 $  8104   $  6189492572  $  2454456408     $      131005  $    96756210  $    96753653  $      818881  $       0      $       0      $      97      $           0  $              $2.521737      $131005.000000      $23.816914 $23.816284 $0.201571 $     1.00  $   118.15  
63503 $  8107   $     3539319  $     1422395     $         149  $       55286  $       55290  $        1423  $       0      $       0      $      97      $           0  $              $2.488281      $149.000000      $1.179435 $1.179520 $0.030357 $     1.00  $    38.85  
63503 $  9110   $ 12297969714  $  9034587163     $     7275934  $   191988810  $   192168836  $    42599536  $      51      $       0      $      97      $           0  $              $1.361210      $7275934.000000      $12.250532 $12.262019 $2.718216 $     1.00  $     4.51  
63523 $  1003   $  5122289413  $  7842987866     $    11076318  $   140490252  $   142203739  $   131808492  $       0      $       0      $      97      $           0  $              $0.653104      $11076318.000000      $8.964483 $9.073818 $8.410512 $     0.99  $     1.08  
63523 $  2006   $  5712325877  $  8979639748     $    14319246  $   178267457  $   178319821  $   173358662  $      50      $       0      $      97      $           0  $              $0.636142      $14319246.000000      $11.374992 $11.378334 $11.061769 $     1.00  $     1.03  
63503 $ 10113   $ 10054400810  $  8725694013     $     7077524  $   156730276  $   156931470  $    41085120  $       0      $       0      $      97      $           0  $              $1.152275      $7077524.000000      $10.000735 $10.013574 $2.621583 $     1.00  $     3.82  
63523 $  3008   $  5715399737  $  9099688811     $    14526791  $   179497979  $   179552966  $   174493678  $      51      $       0      $      97      $           0  $              $0.628087      $14526791.000000      $11.464941 $11.468452 $11.145305 $     1.00  $     1.03  
63503 $ 11115   $ 10489583727  $  9089472044     $     7032211  $   164083658  $   164290568  $    40872199  $       0      $       0      $      97      $           0  $              $1.154037      $7032211.000000      $10.480393 $10.493608 $2.610600 $     1.00  $     4.02  
63523 $  4010   $  5740167580  $  9109055132     $    14540144  $   179565830  $   179619476  $   174565709  $      51      $       0      $      97      $           0  $              $0.630161      $14540144.000000      $11.469275 $11.472701 $11.149906 $     1.00  $     1.03  
63503 $ 12117   $ 10420382715  $  9091335763     $     7067710  $   162588517  $   162838442  $    40774167  $       0      $       0      $      97      $           0  $              $1.146188      $7067710.000000      $10.384895 $10.400859 $2.604338 $     1.00  $     3.99  
63523 $  5012   $  5786943206  $  9108183283     $    14543948  $   179690474  $   179746071  $   174677492  $      51      $       0      $      97      $           0  $              $0.635356      $14543948.000000      $11.477236 $11.480786 $11.157045 $     1.00  $     1.03  
63503 $ 13120   $ 10502154740  $  9098080846     $     7040463  $   164273310  $   164484195  $    40923380  $       0      $       0      $      97      $           0  $              $1.154326      $7040463.000000      $10.482046 $10.495502 $2.611263 $     1.00  $     4.02  
63523 $  6015   $  5789158306  $  9110138613     $    14558707  $   179863108  $   179915901  $   174839508  $      51      $       0      $      97      $           0  $              $0.635463      $14558707.000000      $11.476809 $11.480177 $11.156260 $     1.00  $     1.03  
63503 $ 14123   $ 10489918484  $  9100381271     $     7036527  $   164108602  $   164316675  $    40884976  $       0      $       0      $      97      $           0  $              $1.152690      $7036527.000000      $10.471537 $10.484813 $2.608812 $     1.00  $     4.02  
63523 $  7018   $  5724803040  $  9109633099     $    14673534  $   180871770  $   180925795  $   175838758  $      51      $       0      $      97      $           0  $              $0.628434      $14673534.000000      $11.541170 $11.544617 $11.220020 $     1.00  $     1.03  
63503 $ 15126   $ 10465658034  $  9099524198     $     7011321  $   163747672  $   163958154  $    40794559  $       0      $       0      $      97      $           0  $              $1.150132      $7011321.000000      $10.448506 $10.461936 $2.603043 $     1.00  $     4.02  
63503 $ 15931   $ 15565730334  $  7502424782     $     2571845  $   243217699  $   243302994  $    16235371  $       0      $       0      $      97      $           0  $              $2.074760      $2571845.000000      $19.336563 $19.343344 $1.290762 $     1.00  $    14.99  
63523 $  7824   $  4245249438  $  4208684458     $     4469703  $    63227372  $    63245473  $    62024073  $      36      $       0      $      97      $           0  $              $1.008688      $4469703.000000      $5.020536 $5.021973 $4.924988 $     1.00  $     1.02  
63503 $ 16182   $  6022677702  $  2387818942     $      130656  $    94139517  $    94137232  $      792704  $       0      $       0      $      97      $           0  $              $2.522250      $130656.000000      $24.003702 $24.003119 $0.202124 $     1.00  $   118.75  
63503 $ 16184   $     3118042  $     1229403     $         109  $       48825  $       48813  $        1160  $       0      $       0      $      97      $           0  $              $2.536225      $109.000000      $1.562400 $1.562016 $0.037120 $     1.00  $    42.08  
63503 $ 17187   $ 12306776660  $  9060546650     $     7295345  $   191783694  $   191960015  $    42717669  $      51      $       0      $      97      $           0  $              $1.358282      $7295345.000000      $12.237444 $12.248695 $2.725754 $     1.00  $     4.49  
63534 $  1003   $  5125063568  $  7847888229     $    11127323  $   141043131  $   142915522  $   131915788  $       0      $       0      $      97      $           0  $              $0.653050      $11127323.000000      $8.999762 $9.119236 $8.417358 $     0.99  $     1.08  
63534 $  2006   $  5750191081  $  9041147828     $    14471158  $   179279044  $   179328720  $   174363004  $      50      $       0      $      97      $           0  $              $0.636002      $14471158.000000      $11.439540 $11.442710 $11.125854 $     1.00  $     1.03  
63503 $ 18190   $  9992758717  $  8696627530     $     7177540  $   155756342  $   155957425  $    41388094  $       0      $       0      $      97      $           0  $              $1.149038      $7177540.000000      $9.938590 $9.951421 $2.640915 $     1.00  $     3.77  
63534 $  3008   $  5715797400  $  9107150052     $    14587556  $   179492649  $   179543121  $   174489877  $      51      $       0      $      97      $           0  $              $0.627617      $14587556.000000      $11.464601 $11.467824 $11.145061 $     1.00  $     1.03  
63503 $ 19192   $ 10438858040  $  9089693263     $     7074098  $   162869304  $   163117274  $    40842014  $       0      $       0      $      97      $           0  $              $1.148428      $7074098.000000      $10.402830 $10.418669 $2.608672 $     1.00  $     3.99  
63534 $  4010   $  5736562342  $  9108161736     $    14607757  $   179736951  $   179787226  $   174719753  $      51      $       0      $      97      $           0  $              $0.629827      $14607757.000000      $11.480204 $11.483416 $11.159745 $     1.00  $     1.03  
63503 $ 20194   $ 10508720735  $  9097977256     $     7040881  $   164380714  $   164591521  $    40952488  $       0      $       0      $      97      $           0  $              $1.155061      $7040881.000000      $10.499368 $10.512832 $2.615728 $     1.00  $     4.02  
63534 $  5013   $  5786770677  $  9108809971     $    14603622  $   179664642  $   179715690  $   174641499  $      51      $       0      $      97      $           0  $              $0.635294      $14603622.000000      $11.464145 $11.467402 $11.143625 $     1.00  $     1.03  
63503 $ 21197   $ 10506357732  $  9099109839     $     7043451  $   164383258  $   164594245  $    40950235  $       0      $       0      $      97      $           0  $              $1.154658      $7043451.000000      $10.489061 $10.502523 $2.612976 $     1.00  $     4.02  
63534 $  6016   $  5785955430  $  9106067689     $    14588872  $   179654452  $   179705404  $   174632430  $      51      $       0      $      97      $           0  $              $0.635396      $14588872.000000      $11.463494 $11.466746 $11.143046 $     1.00  $     1.03  
63503 $ 22200   $ 10503251479  $  9096430701     $     7042058  $   164293702  $   164507085  $    40930431  $       0      $       0      $      97      $           0  $              $1.154656      $7042058.000000      $10.483347 $10.496963 $2.611712 $     1.00  $     4.02  
63534 $  7019   $  5734326877  $  9107067325     $    14698607  $   180738541  $   180787460  $   175703638  $      51      $       0      $      97      $           0  $              $0.629657      $14698607.000000      $11.532669 $11.535789 $11.211398 $     1.00  $     1.03  
63503 $ 23203   $ 10472427315  $  9097228068     $     7015697  $   163853799  $   164061853  $    40825044  $       0      $       0      $      97      $           0  $              $1.151167      $7015697.000000      $10.455276 $10.468554 $2.604988 $     1.00  $     4.02  
63503 $ 24021   $ 15916747407  $  7613058897     $     2529839  $   248710639  $   248800024  $    16062199  $       0      $       0      $      97      $           0  $              $2.090716      $2529839.000000      $19.459023 $19.466017 $1.256700 $     1.00  $    15.49  
63534 $  7838   $  4204874066  $  4152267642     $     4403913  $    62228446  $    62245747  $    61052961  $      37      $       0      $      97      $           0  $              $1.012669      $4403913.000000      $4.862785 $4.864137 $4.770927 $     1.00  $     1.02  
63503 $ 24275   $  5851212113  $  2320572992     $      125821  $    91454112  $    91455273  $      771794  $       0      $       0      $      97      $           0  $              $2.521451      $125821.000000      $23.043556 $23.043848 $0.194468 $     1.00  $   118.50  
63503 $ 24277   $     3106732  $     1228788     $         185  $       48682  $       48704  $        1545  $       0      $       0      $      97      $           0  $              $2.528290      $185.000000      $1.557824 $1.558528 $0.049440 $     1.00  $    31.52  
63503 $ 25280   $ 12201981895  $  8989613367     $     7233169  $   190510399  $   190680743  $    42431241  $      51      $       0      $      97      $           0  $              $1.357342      $7233169.000000      $12.156197 $12.167066 $2.707477 $     1.00  $     4.49  
63544 $  1003   $  5115286255  $  7835633300     $    11113622  $   140398235  $   142087050  $   131674350  $       0      $       0      $      97      $           0  $              $0.652824      $11113622.000000      $8.958611 $9.066373 $8.401953 $     0.99  $     1.08  
63544 $  2005   $  5647887566  $  8963890529     $    14240786  $   176145302  $   176195824  $   171348101  $      49      $       0      $      97      $           0  $              $0.630071      $14240786.000000      $11.250797 $11.254025 $10.944389 $     1.00  $     1.03  
63503 $ 26282   $  9825431965  $  8628851107     $     7378009  $   152487100  $   152725608  $    42207214  $       0      $       0      $      97      $           0  $              $1.138672      $7378009.000000      $9.739696 $9.754929 $2.695870 $     1.00  $     3.62  
63544 $  3007   $  5729965452  $  9118505196     $    14622325  $   179936413  $   179988624  $   174910650  $      51      $       0      $      97      $           0  $              $0.628389      $14622325.000000      $11.492945 $11.496280 $11.171938 $     1.00  $     1.03  
63503 $ 27284   $ 10515810402  $  9108719678     $     7046156  $   164534736  $   164745717  $    40990955  $       0      $       0      $      97      $           0  $              $1.154477      $7046156.000000      $10.509205 $10.522680 $2.618185 $     1.00  $     4.02  
63544 $  4009   $  5762716430  $  9117142731     $    14615225  $   179852053  $   179902915  $   174829478  $      51      $       0      $      97      $           0  $              $0.632075      $14615225.000000      $11.487556 $11.490805 $11.166753 $     1.00  $     1.03  
63503 $ 28286   $ 10511631777  $  9107387079     $     7041085  $   164419074  $   164629232  $    40963174  $       0      $       0      $      97      $           0  $              $1.154187      $7041085.000000      $10.501817 $10.515241 $2.616410 $     1.00  $     4.02  
