PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
65037 $  1004   $  3294567965  $  8789516694     $     4823970  $   368231180  $   364052673  $     5254540  $      49      $       0      $      97      $           0  $              $0.374829      $4823970.000000      $23.472902 $23.206545 $0.334951 $     1.01  $    69.28  
65035 $  1003   $ 21348303824  $  8811711757     $      620312  $   346142120  $   423125061  $     3651590  $       0      $       0      $      97      $           0  $              $2.422719      $620312.000000      $22.086834 $26.999006 $0.233003 $     0.82  $   115.87  
65037 $  2007   $  3414120818  $  9163218115     $     4980000  $   385875625  $   381534405  $     4979924  $      51      $       0      $      97      $           0  $              $0.372590      $4980000.000000      $24.622173 $24.345165 $0.317762 $     1.01  $    76.61  
65035 $  2006   $ 22099611578  $  9129497458     $      538136  $   357660475  $   434829889  $     3446643  $       0      $       0      $      97      $           0  $              $2.420682      $538136.000000      $22.821806 $27.745874 $0.219925 $     0.82  $   126.16  
65037 $  3009   $  3435636001  $  9155809449     $     5128189  $   383694722  $   379361158  $     5338876  $      51      $       0      $      97      $           0  $              $0.375241      $5128189.000000      $24.507446 $24.230652 $0.341006 $     1.01  $    71.06  
65035 $  3008   $ 22095434267  $  9123729934     $      569105  $   357990788  $   439552218  $     3455725  $       0      $       0      $      97      $           0  $              $2.421754      $569105.000000      $22.865679 $28.075191 $0.220725 $     0.81  $   127.20  
65037 $  4011   $  3415025271  $  9162046532     $     4890205  $   385936511  $   381629249  $     4890157  $      51      $       0      $      97      $           0  $              $0.372736      $4890205.000000      $24.650635 $24.375521 $0.312345 $     1.01  $    78.04  
65035 $  4010   $ 22185051509  $  9128695944     $      539655  $   359380931  $   438781047  $     3335121  $       0      $       0      $      97      $           0  $              $2.430254      $539655.000000      $22.954470 $28.025936 $0.213022 $     0.82  $   131.56  
65037 $  5013   $  3414437805  $  9162037033     $     4909629  $   385885468  $   381567035  $     4909565  $      51      $       0      $      97      $           0  $              $0.372672      $4909629.000000      $24.647375 $24.371548 $0.313585 $     1.01  $    77.72  
65035 $  5012   $ 22162058189  $  9128058635     $      537242  $   358817882  $   436566272  $     3307068  $       0      $       0      $      97      $           0  $              $2.427905      $537242.000000      $22.918509 $27.884472 $0.211230 $     0.82  $   132.01  
65037 $  6015   $  3437998869  $  9156360894     $     4958301  $   383770553  $   379492027  $     5179281  $      51      $       0      $      97      $           0  $              $0.375477      $4958301.000000      $24.512291 $24.239012 $0.330812 $     1.01  $    73.27  
65035 $  6014   $ 22173750989  $  9129388364     $      554065  $   359045600  $   437867902  $     3435640  $       0      $       0      $      97      $           0  $              $2.428832      $554065.000000      $22.933052 $27.967611 $0.219442 $     0.82  $   127.45  
65037 $  7017   $  3414228034  $  9163043477     $     4951176  $   385836543  $   381539812  $     4951078  $      51      $       0      $      97      $           0  $              $0.372608      $4951176.000000      $24.644251 $24.369808 $0.316237 $     1.01  $    77.06  
65035 $  7016   $ 22156786471  $  9129545480     $      552317  $   358685943  $   437485611  $     3394903  $       0      $       0      $      97      $           0  $              $2.426932      $552317.000000      $22.910080 $27.943192 $0.216840 $     0.82  $   128.87  
65037 $  8020   $  3415320213  $  9163258094     $     4966705  $   385951518  $   381662510  $     4966638  $      51      $       0      $      97      $           0  $              $0.372719      $4966705.000000      $24.627016 $24.353340 $0.316914 $     1.01  $    76.85  
65035 $  8019   $ 22171947589  $  9129050051     $      535007  $   358937844  $   437664900  $     3330360  $       0      $       0      $      97      $           0  $              $2.428725      $535007.000000      $22.903313 $27.926773 $0.212506 $     0.82  $   131.42  
65037 $  9023   $  3437976321  $  9157786130     $     5121143  $   383966542  $   379635918  $     5333651  $      51      $       0      $      97      $           0  $              $0.375416      $5121143.000000      $24.500357 $24.224026 $0.340333 $     1.01  $    71.18  
65035 $  9022   $ 22171348113  $  9131606885     $      565300  $   358882746  $   437318142  $     3420428  $       0      $       0      $      97      $           0  $              $2.427979      $565300.000000      $22.899797 $27.904648 $0.218253 $     0.82  $   127.85  
65037 $ 10025   $  3415551313  $  9165235580     $     4958106  $   386007987  $   381692134  $     4958032  $      51      $       0      $      97      $           0  $              $0.372664      $4958106.000000      $24.655201 $24.379538 $0.316681 $     1.01  $    76.98  
65035 $ 10024   $ 22173885952  $  9132794601     $      532439  $   358914725  $   436816800  $     3298960  $       0      $       0      $      97      $           0  $              $2.427941      $532439.000000      $22.924692 $27.900475 $0.210712 $     0.82  $   132.41  
65037 $ 11027   $  3416077088  $  9164560246     $     4965371  $   386065584  $   381749879  $     4965301  $      51      $       0      $      97      $           0  $              $0.372749      $4965371.000000      $24.658880 $24.383226 $0.317145 $     1.01  $    76.88  
65035 $ 11026   $ 22208569646  $  9131744678     $      532293  $   359546557  $   436980088  $     3294070  $       0      $       0      $      97      $           0  $              $2.432018      $532293.000000      $22.965050 $27.910904 $0.210400 $     0.82  $   132.66  
65037 $ 12029   $  3434990366  $  9157873664     $     5117763  $   383627752  $   379241513  $     5330162  $      51      $       0      $      97      $           0  $              $0.375086      $5117763.000000      $24.503170 $24.223011 $0.340449 $     1.01  $    71.15  
65035 $ 12028   $ 22024131287  $  9125636721     $      566505  $   356395151  $   434045314  $     3666134  $       0      $       0      $      97      $           0  $              $2.413435      $566505.000000      $22.763762 $27.723454 $0.234164 $     0.82  $   118.39  
65037 $ 13031   $  3415700619  $  9165282167     $     4950501  $   386038436  $   381710197  $     4950402  $      51      $       0      $      97      $           0  $              $0.372678      $4950501.000000      $24.657145 $24.380692 $0.316193 $     1.01  $    77.11  
65035 $ 13030   $ 22159960591  $  9132933011     $      536089  $   359099107  $   441012562  $     3319944  $       0      $       0      $      97      $           0  $              $2.426379      $536089.000000      $22.936470 $28.168468 $0.212052 $     0.81  $   132.84  
65037 $ 13912   $  3041701503  $  8154478192     $     3773308  $   343626342  $   339894450  $     3773248  $      43      $       0      $      97      $           0  $              $0.373010      $3773308.000000      $24.962639 $24.691540 $0.274107 $     1.01  $    90.08  
