PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
65211 $  1003   $  4639755319  $  8798819537     $    25923759  $   202136078  $   135513012  $   131263937  $      47      $       0      $      97      $           0  $              $0.527316      $25923760.000000      $12.898015 $8.646892 $8.375765 $     1.49  $     1.03  
65209 $  1003   $ 10708080771  $  8765339426     $     5118801  $   173662320  $   203381780  $    28838837  $       0      $       0      $      97      $           0  $              $1.221639      $5118801.000000      $11.081145 $12.977501 $1.840165 $     0.85  $     7.05  
65211 $  2005   $  4887190310  $  9112793849     $    29061854  $   225959705  $   151222589  $   146587319  $      49      $       0      $      97      $           0  $              $0.536300      $29061854.000000      $14.432556 $9.658928 $9.362863 $     1.49  $     1.03  
65209 $  2005   $ 10282608512  $  9094967726     $     5587429  $   165824630  $   189016023  $    32207918  $       0      $       0      $      97      $           0  $              $1.130582      $5587429.000000      $10.591593 $12.072879 $2.057192 $     0.88  $     5.87  
65211 $  3007   $  4870106444  $  9113130678     $    28100340  $   220258255  $   147537011  $   142981117  $      49      $       0      $      97      $           0  $              $0.534405      $28100340.000000      $14.068392 $9.423521 $9.132526 $     1.49  $     1.03  
65209 $  3007   $ 10859860234  $  9088979506     $     5206302  $   175616967  $   203262953  $    29716620  $       0      $       0      $      97      $           0  $              $1.194838      $5206302.000000      $11.217052 $12.982863 $1.898068 $     0.86  $     6.84  
65211 $  4009   $  4837759009  $  9112786201     $    27937001  $   217991430  $   146276304  $   141777618  $      49      $       0      $      97      $           0  $              $0.530876      $27937000.000000      $13.923604 $9.342998 $9.055656 $     1.49  $     1.03  
65209 $  4009   $ 10691713217  $  9096663939     $     5481387  $   172750110  $   198224273  $    31267797  $       0      $       0      $      97      $           0  $              $1.175344      $5481387.000000      $11.033939 $12.661032 $1.997145 $     0.87  $     6.34  
65211 $  5011   $  4920341291  $  9113600650     $    29214365  $   228122255  $   152421863  $   147722365  $      49      $       0      $      97      $           0  $              $0.539890      $29214364.000000      $14.570683 $9.735528 $9.435361 $     1.50  $     1.03  
65209 $  5012   $ 10358445296  $  9090048250     $     5420626  $   167482091  $   194541759  $    31196547  $       0      $       0      $      97      $           0  $              $1.139537      $5420626.000000      $10.686793 $12.413432 $1.990607 $     0.86  $     6.24  
65211 $  6014   $  4836386117  $  9115446455     $    27913682  $   217943630  $   146236912  $   141727430  $      49      $       0      $      97      $           0  $              $0.530570      $27913682.000000      $13.906672 $9.331169 $9.043425 $     1.49  $     1.03  
65209 $  6015   $ 10677365458  $  9100262421     $     5447603  $   172735154  $   198312321  $    31193730  $       0      $       0      $      97      $           0  $              $1.173303      $5447603.000000      $11.021984 $12.654026 $1.990427 $     0.87  $     6.36  
65211 $  7017   $  4839988393  $  9112939374     $    27952449  $   218111121  $   146320794  $   141800821  $      49      $       0      $      97      $           0  $              $0.531112      $27952448.000000      $13.917359 $9.336522 $9.048108 $     1.49  $     1.03  
65209 $  7018   $ 10589718186  $  9089874795     $     5433397  $   171108978  $   197410340  $    31599536  $       0      $       0      $      97      $           0  $              $1.165002      $5433397.000000      $10.918220 $12.596472 $2.016321 $     0.87  $     6.25  
65211 $  8019   $  4913228882  $  9112363979     $    29214535  $   227795671  $   152298060  $   147609188  $      49      $       0      $      97      $           0  $              $0.539183      $29214536.000000      $14.549823 $9.727621 $9.428131 $     1.50  $     1.03  
65209 $  8020   $ 10227234733  $  9096010565     $     5570583  $   165609937  $   192068496  $    31633539  $       0      $       0      $      97      $           0  $              $1.124365      $5570583.000000      $10.577880 $12.267848 $2.020506 $     0.86  $     6.07  
65211 $  9021   $  4838119072  $  9112419907     $    27931363  $   218017996  $   146306429  $   141803715  $      49      $       0      $      97      $           0  $              $0.530937      $27931364.000000      $13.925302 $9.344922 $9.057323 $     1.49  $     1.03  
65209 $  9023   $ 10680197018  $  9096759870     $     5460435  $   172431714  $   198328147  $    31348215  $       0      $       0      $      97      $           0  $              $1.174066      $5460435.000000      $11.002622 $12.655036 $2.000285 $     0.87  $     6.33  
65211 $ 10023   $  4904306016  $  9112799207     $    28997566  $   226043556  $   151292572  $   146644462  $      49      $       0      $      97      $           0  $              $0.538178      $28997566.000000      $14.437911 $9.663398 $9.366512 $     1.49  $     1.03  
65209 $ 10026   $ 10441706122  $  9088035280     $     5367288  $   168767549  $   196394164  $    30862721  $       0      $       0      $      97      $           0  $              $1.148951      $5367288.000000      $10.768817 $12.531631 $1.969306 $     0.86  $     6.36  
65211 $ 11025   $  4852547193  $  9113529495     $    28163908  $   220154259  $   147449055  $   142903933  $      49      $       0      $      97      $           0  $              $0.532455      $28163908.000000      $14.061749 $9.417904 $9.127597 $     1.49  $     1.03  
