PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
 7593 $   238   $  1416600199  $  1864850279     $      817828  $    22972588  $    34461412  $     5929528  $       8      $       0      $      97      $           0  $              $0.759632      $817828.000000      $6.177503 $9.266934 $1.594495 $     0.67  $     5.81  
 7591 $   238   $  1328859588  $  1147542969     $      696921  $    24594988  $    32536700  $      633706  $       0      $       0      $      97      $           0  $              $1.158004      $696921.000000      $6.613778 $8.749365 $0.170408 $     0.76  $    51.34  
 7593 $  1087   $ 13725594990  $  7994227035     $     2869713  $   300130619  $   336566643  $    95598851  $      32      $       0      $      97      $           0  $              $1.716938      $2869713.000000      $22.624687 $25.371338 $7.206509 $     0.89  $     3.52  
 7593 $  1089   $     8246825  $     5004741     $         579  $      176778  $      187646  $      112222  $       0      $       0      $      97      $           0  $              $1.647803      $579.000000      $5.656896 $6.004672 $3.591104 $     0.94  $     1.67  
 7593 $  1306   $  3190574979  $  2040449036     $      126717  $    68320984  $    72954139  $    49149252  $       9      $       0      $      97      $           0  $              $1.563663      $126717.000000      $20.149967 $21.516428 $14.495632 $     0.94  $     1.48  
 7619 $   217   $  1128233162  $   696269368     $      667933  $    24905730  $    33025994  $     1075090  $       0      $       0      $      97      $           0  $              $1.620398      $667933.000000      $7.345469 $9.740385 $0.317077 $     0.75  $    30.72  
 7593 $  2205   $ 14549199060  $  8712225944     $     1397982  $   316866261  $   325897952  $   156584843  $      33      $       0      $      97      $           0  $              $1.669975      $1397982.000000      $22.557777 $23.200745 $11.147308 $     0.97  $     2.08  
 7593 $  2206   $    10330564  $     6169170     $         340  $      228859  $      231310  $      149860  $       0      $       0      $      97      $           0  $              $1.674547      $340.000000      $14.646976 $14.803840 $9.591040 $     0.99  $     1.54  
 7593 $  2396   $  2883734521  $  1777754263     $       92770  $    65301103  $    63630019  $    40540070  $       8      $       0      $      97      $           0  $              $1.622122      $92770.000000      $21.996161 $21.433270 $13.655603 $     1.03  $     1.57  
 7624 $   190   $  1125345382  $   674363690     $      691237  $    24906595  $    33166195  $      972994  $       0      $       0      $      97      $           0  $              $1.668751      $691237.000000      $8.389590 $11.171771 $0.327745 $     0.75  $    34.09  
 7593 $  3299   $ 14499652985  $  8494961954     $     1552621  $   535353399  $   318683416  $   139361808  $      34      $       0      $      97      $           0  $              $1.706853      $1552621.000000      $37.943100 $22.586643 $9.877249 $     1.68  $     2.29  
 7593 $  3301   $     9913013  $     5714232     $        1105  $      437728  $      214401  $       99637  $       0      $       0      $      97      $           0  $              $1.734794      $1105.000000      $14.007296 $6.860832 $3.188384 $     2.04  $     2.15  
 7593 $  3500   $  3109323380  $  1860551420     $      265774  $   136915067  $    67398611  $    33032297  $       8      $       0      $      97      $           0  $              $1.671184      $265774.000000      $44.032990 $21.675934 $10.623452 $     2.03  $     2.04  
 7629 $   199   $  1124798182  $   664781359     $      731170  $    24783119  $    33002859  $      843845  $       0      $       0      $      97      $           0  $              $1.691982      $731170.000000      $7.970451 $10.613985 $0.271387 $     0.75  $    39.11  
 7593 $  4406   $ 15863810942  $  8881201802     $     2832227  $   702137943  $   343071026  $    81583409  $      34      $       0      $      97      $           0  $              $1.786223      $2832227.000000      $49.599148 $24.234598 $5.763066 $     2.05  $     4.21  
 7593 $  4408   $     2241797  $     5466577     $           0  $           8  $          26  $           0  $       0      $       0      $      97      $           0  $              $0.410092      $0.000000      $0.000256 $0.000832 $0.000000 $     0.31  $      inf  
 7634 $    25   $    29069750  $    52061477     $       12012  $      583235  $      614499  $      523539  $       0      $       0      $      97      $           0  $              $0.558374      $12012.000000      $1.493082 $1.573117 $1.340260 $     0.95  $     1.17  
 7593 $  4455   $    51491999  $   125437444     $       29878  $        1099  $        2302  $         196  $       0      $       0      $      97      $           0  $              $0.410499      $29878.000000      $0.001497 $0.003135 $0.000267 $     0.48  $    11.74  
