PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
 8920 $  1004   $  1514140138  $  3859121594     $      340596  $      632505  $      650681  $      526328  $      34      $       0      $      97      $           0  $              $0.392354      $340596.000000      $0.040319 $0.041478 $0.033551 $     0.97  $     1.24  
 8918 $  1004   $  5691003124  $  9091049274     $     3702960  $    40742250  $    41343718  $    26811875  $       0      $       0      $      97      $           0  $              $0.626001      $3702960.000000      $2.597116 $2.635456 $1.709124 $     0.99  $     1.54  
 8920 $  2006   $   491795900  $  1419229880     $      503829  $       29522  $        8421  $        3468  $      33      $       0      $      97      $           0  $              $0.346523      $503829.000000      $0.001886 $0.000538 $0.000222 $     3.51  $     2.43  
 8918 $  2007   $  6647348459  $  9158849688     $     5553411  $    60229517  $    61365398  $    39869050  $       0      $       0      $      97      $           0  $              $0.725784      $5553411.000000      $3.843159 $3.915639 $2.543987 $     0.98  $     1.54  
 8920 $  3009   $   554885056  $  1568624387     $      489279  $       30238  $       10387  $        3839  $      33      $       0      $      97      $           0  $              $0.353740      $489279.000000      $0.001929 $0.000663 $0.000245 $     2.91  $     2.71  
 8918 $  3010   $  6721203359  $  9159742378     $     5659187  $    60977810  $    62683148  $    40788584  $       0      $       0      $      97      $           0  $              $0.733776      $5659187.000000      $3.890907 $3.999722 $2.602661 $     0.97  $     1.54  
 8920 $  4011   $  3234557597  $  9116750204     $    32287858  $   296766238  $   382967257  $    70613559  $      43      $       0      $      97      $           0  $              $0.354793      $32287858.000000      $18.955130 $24.460983 $4.510247 $     0.77  $     5.42  
 8918 $  4013   $  5029438727  $  9111536052     $     2802986  $    28123269  $    29166731  $    19067670  $       0      $       0      $      97      $           0  $              $0.551986      $2802986.000000      $1.794506 $1.861088 $1.216681 $     0.96  $     1.53  
 8920 $  5013   $   987103408  $  9121321004     $    38222501  $   263775800  $   377611423  $    39845064  $      42      $       0      $      97      $           0  $              $0.108219      $38222500.000000      $16.847956 $24.118893 $2.544994 $     0.70  $     9.48  
 8918 $  5015   $  5055671168  $  9114230758     $     2802786  $    28502056  $    29563194  $    19232823  $       0      $       0      $      97      $           0  $              $0.554701      $2802786.000000      $1.820491 $1.888268 $1.228444 $     0.96  $     1.54  
 8920 $  6016   $  1405850305  $  8505136048     $    32092593  $   212985945  $   305094586  $    27611739  $      41      $       0      $      97      $           0  $              $0.165294      $32092592.000000      $13.590330 $19.467651 $1.761866 $     0.70  $    11.05  
 8918 $  6018   $  5044927647  $  9160954085     $     2639785  $    27498589  $    28155741  $    18298162  $       0      $       0      $      97      $           0  $              $0.550699      $2639785.000000      $1.754646 $1.796578 $1.167580 $     0.98  $     1.54  
 8918 $  6172   $   850641453  $  1440169449     $      477358  $     5188793  $     5340318  $     3519473  $       0      $       0      $      97      $           0  $              $0.590654      $477358.000000      $2.156382 $2.219353 $1.462638 $     0.97  $     1.52  
 8920 $  6170   $        2107  $       78893     $       59138  $         272  $         566  $         179  $       4      $       0      $      97      $           0  $              $0.026707      $59138.000000      $0.000113 $0.000235 $0.000074 $     0.48  $     3.16  
 8918 $  7143   $  5151731027  $  9277866729     $     2463156  $    26872154  $    27661306  $    18030277  $       0      $       0      $      97      $           0  $              $0.555271      $2463156.000000      $1.771182 $1.823196 $1.188401 $     0.97  $     1.53  
 8918 $  7145   $      564930  $     1388859     $           0  $           2  $          15  $           0  $       0      $       0      $      97      $           0  $              $0.406758      $0.000000      $0.000064 $0.000480 $0.000000 $     0.13  $      inf  
 8918 $  8147   $  5492815175  $  9417627643     $     3161035  $    33576654  $    34530028  $    22686792  $      34      $       0      $      97      $           0  $              $0.583248      $3161035.000000      $2.144617 $2.205511 $1.449057 $     0.97  $     1.52  
 8946 $  1002   $   942747343  $  2501279483     $      412717  $      605193  $      615161  $      526329  $       0      $       0      $      97      $           0  $              $0.376906      $412717.000000      $0.038655 $0.039292 $0.033618 $     0.98  $     1.17  
 8946 $  2005   $   519904953  $  1500365657     $      123304  $       25546  $       11427  $        1557  $      31      $       0      $      97      $           0  $              $0.346519      $123304.000000      $0.001630 $0.000729 $0.000099 $     2.24  $     7.34  
 8918 $  9150   $  4280097219  $  8666318620     $     1351446  $    14708114  $    15024346  $    10008552  $       0      $       0      $      97      $           0  $              $0.493877      $1351446.000000      $0.938504 $0.958682 $0.638631 $     0.98  $     1.50  
 8946 $  3008   $  2758169879  $  3638617579     $     5708991  $   116038628  $   117399832  $    44901534  $      37      $       0      $      97      $           0  $              $0.758027      $5708991.000000      $7.404259 $7.491116 $2.865103 $     0.99  $     2.61  
