PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
 9160 $  1003   $ 12369733609  $  8778735192     $     3273929  $   263882821  $   302116096  $    73008130  $      46      $       0      $      97      $           0  $              $1.409056      $3273929.000000      $16.837986 $19.277597 $4.658545 $     0.87  $     4.14  
 9158 $  1003   $  4826318770  $  8796364041     $     2678932  $    26030928  $    26373547  $    16971963  $       0      $       0      $      97      $           0  $              $0.548672      $2678932.000000      $1.660996 $1.682858 $1.082957 $     0.99  $     1.55  
 9160 $  2005   $ 15039665340  $  9115593736     $     2892359  $   325484899  $   340528980  $    87220708  $      49      $       0      $      97      $           0  $              $1.649883      $2892359.000000      $20.789454 $21.750355 $5.570983 $     0.96  $     3.90  
 9158 $  2005   $  5092891366  $  9113780658     $     3020701  $    28453410  $    29441240  $    19153751  $       0      $       0      $      97      $           0  $              $0.558812      $3020701.000000      $1.817384 $1.880478 $1.223393 $     0.97  $     1.54  
 9160 $  3008   $ 15075014140  $  9114531940     $     1654068  $   392625695  $   336647180  $   150924118  $      47      $       0      $      97      $           0  $              $1.653954      $1654068.000000      $25.052885 $21.480976 $9.630253 $     1.17  $     2.23  
 9158 $  3007   $  4597476009  $  9113230165     $     2062386  $    19237650  $    19710833  $    12862678  $       0      $       0      $      97      $           0  $              $0.504484      $2062386.000000      $1.228752 $1.258975 $0.821568 $     0.98  $     1.53  
 9160 $  4011   $ 14703849147  $  9116956625     $     1082767  $   628677551  $   320904182  $   164909019  $      47      $       0      $      97      $           0  $              $1.612802      $1082767.000000      $40.115021 $20.476439 $10.522610 $     1.96  $     1.95  
 9158 $  4010   $  4974885111  $  9116181135     $     3045412  $    28218036  $    29032692  $    19008900  $       0      $       0      $      97      $           0  $              $0.545720      $3045412.000000      $1.800553 $1.852535 $1.212931 $     0.97  $     1.53  
 9158 $  4923   $  4204578597  $  8398951924     $     1645961  $    16213012  $    16594638  $    10893100  $       0      $       0      $      97      $           0  $              $0.500608      $1645961.000000      $1.136509 $1.163260 $0.763591 $     0.98  $     1.52  
 9160 $  4924   $ 12372073531  $  7375724496     $     2122488  $   540153309  $   263679080  $    72830908  $      41      $       0      $      97      $           0  $              $1.677405      $2122488.000000      $37.863976 $18.483528 $5.105343 $     2.05  $     3.62  
 9158 $  5109   $   987557090  $  1750412842     $      496142  $     5422587  $     5492625  $     3602425  $       0      $       0      $      97      $           0  $              $0.564185      $496142.000000      $1.865836 $1.889935 $1.239544 $     0.99  $     1.52  
 9158 $  5112   $      540367  $     1331729     $         306  $           2  $          16  $           0  $       0      $       0      $      97      $           0  $              $0.405763      $306.000000      $0.000043 $0.000341 $0.000000 $     0.12  $      inf  
 9158 $  6114   $  3671309069  $  7498204794     $     1386840  $    12028552  $    12361093  $     8175889  $      46      $       0      $      97      $           0  $              $0.489625      $1386840.000000      $0.768291 $0.789531 $0.522212 $     0.97  $     1.51  
 9186 $  1002   $ 13836871344  $  8862998407     $     3851628  $   303321574  $   344068203  $    75605748  $       0      $       0      $      97      $           0  $              $1.561195      $3851628.000000      $19.373833 $21.976412 $4.829109 $     0.88  $     4.55  
