PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
10205 $  1003   $ 12764411041  $  9016315311     $     2739581  $   273095899  $   316238888  $   107453183  $      41      $       0      $      97      $           0  $              $1.415702      $2739581.000000      $17.425859 $20.178753 $6.856434 $     0.86  $     2.94  
10203 $  1003   $  2245127049  $  4558388328     $      299760  $    30962107  $    28770824  $    10262251  $       0      $       0      $      97      $           0  $              $0.492527      $299760.000000      $1.975648 $1.835825 $0.654820 $     1.08  $     2.80  
10205 $  1733   $ 10045669589  $  6718788433     $      747180  $   215568976  $   226787184  $   134564415  $      34      $       0      $      97      $           0  $              $1.495161      $747180.000000      $18.899199 $19.882711 $11.797428 $     0.95  $     1.69  
10203 $  1733   $  1518285855  $  5122220870     $    33834429  $   193103669  $   258007684  $    26973557  $       0      $       0      $      97      $           0  $              $0.296412      $33834428.000000      $16.929636 $22.619852 $2.364805 $     0.75  $     9.57  
10205 $  2141   $  6556541268  $  3868815246     $     1079416  $   143467052  $   146902298  $    43707524  $      15      $       0      $      97      $           0  $              $1.694715      $1079416.000000      $22.504637 $23.043499 $6.856082 $     0.98  $     3.36  
10205 $  2143   $     9152858  $     5287783     $        1619  $      198811  $      210059  $       46058  $       0      $       0      $      97      $           0  $              $1.730944      $1619.000000      $6.361952 $6.721888 $1.473856 $     0.95  $     4.56  
10205 $  3146   $ 14139182134  $  9345212814     $      751696  $   390026848  $   314143922  $   192808801  $      42      $       0      $      97      $           0  $              $1.512987      $751696.000000      $24.887056 $20.045076 $12.302855 $     1.24  $     1.63  
10231 $  1003   $  1811729587  $  4329861321     $    11681193  $    86152189  $   105825000  $    14623507  $       0      $       0      $      97      $           0  $              $0.418427      $11681193.000000      $5.497249 $6.752542 $0.933105 $     0.81  $     7.24  
10205 $  3656   $  7521390657  $  4711411768     $      525920  $   320500192  $   163728168  $    89681134  $      24      $       0      $      97      $           0  $              $1.596420      $525920.000000      $40.219631 $20.546278 $11.254104 $     1.96  $     1.83  
10231 $  1513   $  1153365409  $  3322283794     $    24349853  $   137711806  $   182683424  $    18467820  $       0      $       0      $      97      $           0  $              $0.347160      $24349852.000000      $17.281483 $22.924978 $2.317530 $     0.75  $     9.89  
10205 $  4263   $ 10187770674  $  5956482251     $      905560  $   447620792  $   221100409  $    94157039  $      23      $       0      $      97      $           0  $              $1.710367      $905560.000000      $47.195602 $23.312071 $9.927596 $     2.02  $     2.35  
10205 $  4265   $     9146600  $     5138064     $        1779  $      405696  $      196941  $       38757  $       0      $       0      $      97      $           0  $              $1.780165      $1779.000000      $12.982272 $6.302112 $1.240224 $     2.06  $     5.08  
10236 $   488   $   666182419  $  1740387035     $      157015  $      654205  $      635113  $      530493  $       0      $       0      $      97      $           0  $              $0.382778      $157015.000000      $0.085797 $0.083294 $0.069573 $     1.03  $     1.20  
10205 $  4753   $  8010171905  $  4467928585     $     1673567  $   353993524  $   172427587  $    26090860  $      20      $       0      $      97      $           0  $              $1.792816      $1673567.000000      $46.425381 $22.613453 $3.421752 $     2.05  $     6.61  
