PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
12729 $  1002   $  3359449018  $  7309022506     $      135496  $    54942296  $    56645268  $    49159333  $      45      $       0      $      97      $           0  $              $0.459630      $135496.000000      $3.509288 $3.618061 $3.139917 $     0.97  $     1.15  
12727 $  1003   $  3716164934  $  7408576743     $      136200  $    72718012  $    74510132  $    66311635  $       0      $       0      $      97      $           0  $              $0.501603      $136200.000000      $4.640033 $4.754385 $4.231251 $     0.98  $     1.12  
12729 $  2005   $  4215693615  $  9115467034     $       99469  $   115293619  $   115329463  $   113149984  $      46      $       0      $      97      $           0  $              $0.462477      $99469.000000      $7.356721 $7.359009 $7.219939 $     1.00  $     1.02  
12727 $  2006   $  3822737617  $  9112993560     $       74450  $    81383631  $    81417613  $    79897239  $       0      $       0      $      97      $           0  $              $0.419482      $74450.000000      $5.192974 $5.195142 $5.098129 $     1.00  $     1.02  
12729 $  3008   $  3503050401  $  9098586713     $      100408  $   101819973  $   101874071  $   100163502  $      46      $       0      $      97      $           0  $              $0.385010      $100408.000000      $6.496987 $6.500439 $6.391290 $     1.00  $     1.02  
12727 $  3009   $  3597635811  $  9102721130     $      106731  $   104055191  $   104107810  $   102365303  $       0      $       0      $      97      $           0  $              $0.395226      $106731.000000      $6.639614 $6.642971 $6.531784 $     1.00  $     1.02  
12729 $  4010   $  3565662547  $  9098603568     $       98457  $   101239160  $   101291261  $    99558173  $      46      $       0      $      97      $           0  $              $0.391891      $98457.000000      $6.466373 $6.469701 $6.359005 $     1.00  $     1.02  
12727 $  4011   $  3481746594  $  9103989317     $       93119  $    97608327  $    97660587  $    95967083  $       0      $       0      $      97      $           0  $              $0.382442      $93119.000000      $6.234464 $6.237802 $6.129634 $     1.00  $     1.02  
12729 $  5013   $  4197237931  $  9122784554     $       85497  $    98705909  $    98738678  $    96839002  $      45      $       0      $      97      $           0  $              $0.460083      $85497.000000      $6.298284 $6.300375 $6.179159 $     1.00  $     1.02  
12727 $  5014   $  4077433268  $  9119217755     $       78417  $    84515985  $    84541435  $    82988631  $       0      $       0      $      97      $           0  $              $0.447125      $78417.000000      $5.392845 $5.394468 $5.295386 $     1.00  $     1.02  
12729 $  6016   $  3809920343  $  9119459117     $       97704  $   108126095  $   108159216  $   106255454  $      46      $       0      $      97      $           0  $              $0.417779      $97704.000000      $6.899372 $6.901485 $6.780009 $     1.00  $     1.02  
12727 $  6017   $  3727562825  $  9117143582     $       87357  $    99066399  $    99104938  $    97335815  $       0      $       0      $      97      $           0  $              $0.408852      $87357.000000      $6.321286 $6.323745 $6.210860 $     1.00  $     1.02  
12729 $  7019   $  3553266548  $  9119701212     $       86082  $    99506160  $    99539794  $    97812404  $      46      $       0      $      97      $           0  $              $0.389625      $86082.000000      $6.349346 $6.351492 $6.241270 $     1.00  $     1.02  
12727 $  7020   $  3638337163  $  9118019797     $       97170  $   105605212  $   105638018  $   103822962  $       0      $       0      $      97      $           0  $              $0.399027      $97170.000000      $6.738518 $6.740611 $6.624795 $     1.00  $     1.02  
12729 $  8021   $  3606888879  $  9119994948     $       89862  $    98648374  $    98686257  $    96968120  $      46      $       0      $      97      $           0  $              $0.395492      $89862.000000      $6.300894 $6.303314 $6.193573 $     1.00  $     1.02  
12727 $  8022   $  3627945439  $  9118588737     $       91407  $   101975582  $   102012364  $   100230028  $       0      $       0      $      97      $           0  $              $0.397863      $91407.000000      $6.513411 $6.515760 $6.401918 $     1.00  $     1.02  
12729 $  9024   $  4060943360  $  9122270701     $      101760  $   111331011  $   111362877  $   109347858  $      46      $       0      $      97      $           0  $              $0.445168      $101760.000000      $7.103873 $7.105906 $6.977331 $     1.00  $     1.02  
