PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
13081 $  1003   $  8132768352  $  8735964440     $     2029895  $   172807555  $   198697355  $    71567191  $      47      $       0      $      97      $           0  $              $0.930953      $2029895.000000      $11.026604 $12.678596 $4.566600 $     0.87  $     2.78  
13079 $  1003   $  4221692028  $  7690260196     $       93557  $    85001828  $    86915338  $    77693906  $       0      $       0      $      97      $           0  $              $0.548966      $93557.000000      $5.423845 $5.545944 $4.957537 $     0.98  $     1.12  
13081 $  2005   $  6954299156  $  9082145743     $      371149  $   150089470  $   159370295  $   103448022  $      47      $       0      $      97      $           0  $              $0.765711      $371149.000000      $9.586554 $10.179339 $6.607459 $     0.94  $     1.54  
13079 $  2005   $  4693305748  $  9098756312     $       76187  $   131055424  $   131104441  $   128299961  $       0      $       0      $      97      $           0  $              $0.515818      $76187.000000      $8.370806 $8.373937 $8.194808 $     1.00  $     1.02  
13081 $  3007   $  8549367540  $  9096919222     $      274752  $   183603129  $   192807149  $   132308930  $      47      $       0      $      97      $           0  $              $0.939809      $274752.000000      $11.727146 $12.315027 $8.450870 $     0.95  $     1.46  
13079 $  3007   $  4751231485  $  9102034309     $       61525  $   107680567  $   107706880  $   105444204  $       0      $       0      $      97      $           0  $              $0.521997      $61525.000000      $6.877801 $6.879481 $6.734960 $     1.00  $     1.02  
13081 $  4009   $  8121097822  $  9085691567     $      943155  $   178256119  $   181755567  $    74914345  $      48      $       0      $      97      $           0  $              $0.893834      $943155.000000      $11.385620 $11.609138 $4.784948 $     0.98  $     2.43  
13079 $  4009   $  5083485905  $  9090404046     $       72563  $   144744139  $   144792294  $   141048651  $       0      $       0      $      97      $           0  $              $0.559214      $72563.000000      $9.245135 $9.248210 $9.009096 $     1.00  $     1.03  
13081 $  5012   $  7626408066  $  9080838623     $      880676  $   192676612  $   169742140  $    72023064  $      49      $       0      $      97      $           0  $              $0.839835      $880676.000000      $12.294419 $10.831004 $4.595689 $     1.14  $     2.36  
13079 $  5012   $  5162921936  $  9085911257     $       79570  $   153879558  $   153925503  $   150080639  $       0      $       0      $      97      $           0  $              $0.568234      $79570.000000      $9.818835 $9.821767 $9.576431 $     1.00  $     1.03  
13081 $  6015   $  7017896651  $  9082064256     $      390798  $   260243333  $   154503893  $    92594446  $      47      $       0      $      97      $           0  $              $0.772720      $390798.000000      $16.605755 $9.858673 $5.908320 $     1.68  $     1.67  
13079 $  6015   $  4860608346  $  9086605698     $       81005  $   139900358  $   139950678  $   136901894  $       0      $       0      $      97      $           0  $              $0.534920      $81005.000000      $8.926842 $8.930053 $8.735515 $     1.00  $     1.02  
13081 $  7018   $  7263621368  $  9085282183     $      308306  $   316740928  $   157241614  $    99915912  $      47      $       0      $      97      $           0  $              $0.799493      $308306.000000      $20.210787 $10.033363 $6.375492 $     2.01  $     1.57  
13079 $  7018   $  4673308913  $  9086672242     $       74192  $   130824298  $   130874814  $   128079692  $       0      $       0      $      97      $           0  $              $0.514304      $74192.000000      $8.347712 $8.350935 $8.172583 $     1.00  $     1.02  
13081 $  8021   $  8001318906  $  9083241572     $      941967  $   347984433  $   173581677  $    70045753  $      49      $       0      $      97      $           0  $              $0.880888      $941967.000000      $22.204391 $11.075999 $4.469520 $     2.00  $     2.48  
13079 $  8020   $  5214868483  $  9087945547     $       73842  $   152224694  $   152270711  $   148327908  $       0      $       0      $      97      $           0  $              $0.573823      $73842.000000      $9.722934 $9.725873 $9.474038 $     1.00  $     1.03  
13079 $  9024   $  5650405064  $  9171380497     $       78734  $   167671873  $   167712390  $   163202578  $       0      $       0      $      97      $           0  $              $0.616091      $78734.000000      $10.688247 $10.690829 $10.403352 $     1.00  $     1.03  
13081 $  9025   $  7693845914  $  8079340949     $     1323644  $   330877175  $   164067859  $    42755902  $      48      $       0      $      97      $           0  $              $0.952286      $1323644.000000      $21.091772 $10.458508 $2.725476 $     2.02  $     3.84  
13079 $  9117   $   642198075  $   864682898     $        5270  $    16922789  $    16928253  $    16549157  $       0      $       0      $      97      $           0  $              $0.742698      $5270.000000      $11.645789 $11.649549 $11.388667 $     1.00  $     1.02  
13079 $  9120   $     1426373  $     1283631     $          59  $       53616  $       53657  $       52435  $       0      $       0      $      97      $           0  $              $1.111202      $59.000000      $1.143808 $1.144683 $1.118613 $     1.00  $     1.02  
13079 $ 10123   $  4510848567  $  4673572108     $      338039  $    51354184  $    51355835  $    50630990  $      44      $       0      $      97      $           0  $              $0.965182      $338039.000000      $3.276837 $3.276943 $3.230691 $     1.00  $     1.01  
13107 $  1003   $ 13500426172  $  8931439390     $     3618204  $   295586247  $   334634145  $    80583731  $       0      $       0      $      97      $           0  $              $1.511562      $3618204.000000      $18.860937 $21.352528 $5.141933 $     0.88  $     4.15  
13107 $  1097   $  1320375285  $   818118326     $       42433  $    28371276  $    29595475  $    18039925  $       3      $       0      $      97      $           0  $              $1.613917      $42433.000000      $19.316614 $20.150112 $12.282501 $     0.96  $     1.64  
13079 $ 10217   $        1992  $       83972     $       97361  $         164  $         419  $          85  $       0      $       0      $      97      $           0  $              $0.023722      $97361.000000      $0.000112 $0.000285 $0.000058 $     0.39  $     4.93  
13107 $  1106   $        4821  $      139298     $       27728  $         306  $         750  $           1  $       0      $       0      $      97      $           0  $              $0.034609      $27728.000000      $0.002176 $0.005333 $0.000007 $     0.41  $   750.00  
