PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
13132 $  1003   $  1423522498  $  8684057441     $    55568204  $   366417350  $   144474194  $    15928100  $      47      $       0      $      97      $           0  $              $0.163924      $55568204.000000      $23.380568 $9.218692 $1.016349 $     2.54  $     9.07  
13130 $  1003   $  5188144798  $  7820459829     $      139775  $   131693769  $   133451276  $   123709496  $       0      $       0      $      97      $           0  $              $0.663407      $139775.000000      $8.403192 $8.515336 $7.893726 $     0.99  $     1.08  
13132 $  2005   $  1216233269  $  9060706792     $    62330863  $   410723029  $   161715619  $    19643251  $      49      $       0      $      97      $           0  $              $0.134232      $62330864.000000      $26.233807 $10.329142 $1.254659 $     2.54  $     8.23  
13130 $  2005   $  5843280965  $  9088562212     $      126859  $   168653650  $   168696505  $   164797938  $       0      $       0      $      97      $           0  $              $0.642927      $126859.000000      $10.772289 $10.775026 $10.526016 $     1.00  $     1.02  
13132 $  3007   $  1214885577  $  9065418773     $    61682656  $   410217879  $   161536061  $    19346190  $      49      $       0      $      97      $           0  $              $0.134013      $61682656.000000      $26.201542 $10.317673 $1.235685 $     2.54  $     8.35  
13130 $  3007   $  5850986898  $  9092146632     $      122354  $   163314774  $   163353487  $   159614640  $       0      $       0      $      97      $           0  $              $0.643521      $122354.000000      $10.431283 $10.433756 $10.194947 $     1.00  $     1.02  
13132 $  4009   $  1233202296  $  9095288165     $    61039445  $   416359645  $   164259598  $    17898043  $      48      $       0      $      97      $           0  $              $0.135587      $61039444.000000      $26.593830 $10.491632 $1.143188 $     2.53  $     9.18  
13130 $  4009   $  5591177733  $  9111693060     $       92021  $   131229243  $   131249937  $   128238237  $       0      $       0      $      97      $           0  $              $0.613627      $92021.000000      $8.381907 $8.383229 $8.190866 $     1.00  $     1.02  
13132 $  5011   $  1256974763  $  9107948727     $    61975529  $   424349649  $   168112502  $    16449730  $      48      $       0      $      97      $           0  $              $0.138009      $61975528.000000      $27.104170 $10.737724 $1.050681 $     2.52  $    10.22  
13130 $  5011   $  5518222790  $  9122664113     $       80368  $   120160911  $   120173673  $   117434430  $       0      $       0      $      97      $           0  $              $0.604892      $80368.000000      $7.674949 $7.675764 $7.500802 $     1.00  $     1.02  
13132 $  6013   $  1261604614  $  9106181136     $    62032122  $   425769138  $   167187005  $    16844309  $      48      $       0      $      97      $           0  $              $0.138544      $62032120.000000      $27.194836 $10.678612 $1.075884 $     2.55  $     9.93  
13130 $  6013   $  5556055441  $  9119900219     $       80588  $   122050101  $   122063078  $   119290530  $       0      $       0      $      97      $           0  $              $0.609223      $80588.000000      $7.795615 $7.796444 $7.619355 $     1.00  $     1.02  
13132 $  7015   $  1304145738  $  9111625678     $    63290758  $   439977870  $   171780705  $    14610935  $      47      $       0      $      97      $           0  $              $0.143130      $63290760.000000      $28.102379 $10.972021 $0.933233 $     2.56  $    11.76  
13130 $  7015   $  5237263033  $  9121884711     $       68919  $    96013663  $    96021988  $    93822867  $       0      $       0      $      97      $           0  $              $0.574143      $68919.000000      $6.132609 $6.133141 $5.992678 $     1.00  $     1.02  
13132 $  8017   $  1338943039  $  9103652360     $    67631077  $   451585543  $   179035373  $    14685646  $      48      $       0      $      97      $           0  $              $0.147078      $67631080.000000      $28.843786 $11.435393 $0.938005 $     2.52  $    12.19  
13130 $  8017   $  5519641623  $  9117256656     $       76445  $   114310573  $   114324539  $   111683790  $       0      $       0      $      97      $           0  $              $0.605406      $76445.000000      $7.301274 $7.302166 $7.133496 $     1.00  $     1.02  
13132 $  9019   $  1458042699  $  9115494559     $    78309404  $   491217022  $   196865412  $    11644488  $      48      $       0      $      97      $           0  $              $0.159952      $78309408.000000      $31.375139 $12.574238 $0.743760 $     2.50  $    16.91  
13130 $  9020   $  5606858795  $  9121374810     $       79770  $   121498529  $   121511835  $   118664876  $       0      $       0      $      97      $           0  $              $0.614694      $79770.000000      $7.752648 $7.753497 $7.571837 $     1.00  $     1.02  
13130 $  9423   $  2416263834  $  3726994915     $       34951  $    55576879  $    55584424  $    54272478  $       0      $       0      $      97      $           0  $              $0.648314      $34951.000000      $8.826105 $8.827303 $8.618955 $     1.00  $     1.02  
13132 $  9422   $   536740714  $  2657048456     $    26105142  $   155872943  $    60972938  $     2113519  $      18      $       0      $      97      $           0  $              $0.202006      $26105142.000000      $24.754015 $9.683047 $0.335646 $     2.56  $    28.85  
13130 $ 10132   $  4292992243  $  5149123363     $       41381  $    53453879  $    53460749  $    52712565  $       0      $       0      $      97      $           0  $              $0.833733      $41381.000000      $4.825174 $4.825794 $4.758257 $     1.00  $     1.01  
13130 $ 10135   $     3182274  $     1384629     $          90  $       24927  $       24925  $       24878  $       0      $       0      $      97      $           0  $              $2.298286      $90.000000      $0.531776 $0.531733 $0.530731 $     1.00  $     1.00  
13169 $   157   $   227380906  $  1127348784     $     6485646  $    47952190  $    19599294  $     1866782  $       0      $       0      $      97      $           0  $              $0.201695      $6485646.000000      $19.547390 $7.989521 $0.760981 $     2.45  $    10.50  
13130 $ 10292   $   356773313  $   155654330     $      290367  $     2793757  $     2795891  $     2793052  $       5      $       0      $      97      $           0  $              $2.292087      $290367.000000      $1.138856 $1.139726 $1.138569 $     1.00  $     1.00  
