PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
14234 $  1004   $  1468208105  $  3743501026     $      222283  $      619432  $      634920  $      532352  $      39      $       0      $      97      $           0  $              $0.392202      $222283.000000      $0.039486 $0.040473 $0.033935 $     0.98  $     1.19  
14232 $  1004   $ 16383688357  $  8311737038     $     3495800  $   264758440  $   307409603  $    97461004  $       0      $       0      $      97      $           0  $              $1.971151      $3495800.000000      $16.877031 $19.595831 $6.212654 $     0.86  $     3.15  
14234 $  2007   $   478271141  $  1385789414     $        5412  $       29998  $       13735  $        9780  $      42      $       0      $      97      $           0  $              $0.345125      $5412.000000      $0.001914 $0.000876 $0.000624 $     2.18  $     1.40  
14232 $  2007   $ 18791996491  $  9126682249     $     1458008  $   303273003  $   319888227  $   157244711  $       0      $       0      $      97      $           0  $              $2.059017      $1458008.000000      $19.351418 $20.411612 $10.033561 $     0.95  $     2.03  
14234 $  3010   $   479321311  $  1389585265     $      361151  $       29850  $       14278  $       10681  $      40      $       0      $      97      $           0  $              $0.344938      $361151.000000      $0.001905 $0.000911 $0.000682 $     2.09  $     1.34  
14232 $  3010   $ 18558407151  $  9127111132     $      708655  $   324038582  $   312253550  $   179589811  $       0      $       0      $      97      $           0  $              $2.033328      $708655.000000      $20.676441 $19.924454 $11.459370 $     1.04  $     1.74  
14234 $  4013   $  2817734657  $  8804309656     $     1825678  $   148772436  $   164736749  $    92005828  $      48      $       0      $      97      $           0  $              $0.320040      $1825678.000000      $9.492957 $10.511618 $5.870760 $     0.90  $     1.79  
14232 $  4013   $ 13916948318  $  9095903697     $      330069  $   378977720  $   228166600  $   174354461  $       0      $       0      $      97      $           0  $              $1.530024      $330069.000000      $24.182028 $14.558985 $11.125310 $     1.66  $     1.31  
14234 $  5016   $   388277535  $  9092206996     $     2725439  $   103796589  $   144002212  $    79551561  $      47      $       0      $      97      $           0  $              $0.042704      $2725439.000000      $6.623113 $9.188576 $5.076072 $     0.72  $     1.81  
14232 $  5016   $ 14408642681  $  9093597987     $      204903  $   448086307  $   234703269  $   192025978  $       0      $       0      $      97      $           0  $              $1.584482      $204903.000000      $28.591747 $14.976081 $12.252904 $     1.91  $     1.22  
14234 $  6019   $   378478314  $  9091466222     $     2404186  $   101179619  $   140253183  $    78250610  $      47      $       0      $      97      $           0  $              $0.041630      $2404186.000000      $6.456127 $8.949356 $4.993060 $     0.72  $     1.79  
14232 $  6019   $ 14211164151  $  9093726226     $      173843  $   445817374  $   230332061  $   195828322  $       0      $       0      $      97      $           0  $              $1.562744      $173843.000000      $28.446972 $14.697161 $12.495526 $     1.94  $     1.18  
14234 $  6957   $   503718614  $  8590498380     $     9466960  $   134643858  $   189123633  $    69174705  $      43      $       0      $      97      $           0  $              $0.058637      $9466960.000000      $9.186788 $12.903957 $4.719809 $     0.71  $     2.73  
14232 $  6957   $ 12043094330  $  7311738068     $      505877  $   373339381  $   190281749  $   140162773  $       0      $       0      $      97      $           0  $              $1.647091      $505877.000000      $25.473051 $12.982976 $9.563345 $     1.96  $     1.36  
14234 $  7149   $   221952686  $  1818400052     $     8697203  $    59315776  $    85050460  $     7253916  $       6      $       0      $      97      $           0  $              $0.122059      $8697203.000000      $19.771925 $28.350155 $2.417972 $     0.70  $    11.72  
14234 $  7151   $      654000  $     5113603     $       31896  $      174829  $      250908  $        4256  $       0      $       0      $      97      $           0  $              $0.127894      $31896.000000      $5.594528 $8.029056 $0.136192 $     0.70  $    58.95  
14234 $  8153   $   985436429  $  9098151692     $    27479926  $   222604471  $   318034887  $    62517716  $      49      $       0      $      97      $           0  $              $0.108312      $27479926.000000      $14.218249 $20.313604 $3.993148 $     0.70  $     5.09  
14266 $  1002   $ 14891784307  $  8055755668     $     3775194  $   242916637  $   273395543  $    71790744  $       0      $       0      $      97      $           0  $              $1.848589      $3775194.000000      $15.515634 $17.462391 $4.585437 $     0.89  $     3.81  
14266 $  1214   $  4047265044  $  1963080265     $      725267  $    65011000  $    69670636  $    17477726  $       0      $       0      $      97      $           0  $              $2.061691      $725267.000000      $19.625963 $21.032646 $5.276295 $     0.93  $     3.99  
14234 $  8365   $   382288320  $   989160177     $      593868  $     2300412  $     3286821  $      505448  $       9      $       0      $      97      $           0  $              $0.386478      $593868.000000      $0.694464 $0.992248 $0.152588 $     0.70  $     6.50  
