PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
14354 $  1003   $  9993766226  $  8732190096     $     1335584  $   208381907  $   237157485  $   111156246  $      48      $       0      $      97      $           0  $              $1.144474      $1335584.000000      $13.296553 $15.132681 $7.092722 $     0.88  $     2.13  
14352 $  1003   $ 12131520633  $  8013973329     $     2290174  $   196437539  $   224385025  $    99455181  $       0      $       0      $      97      $           0  $              $1.513796      $2290174.000000      $12.534399 $14.317689 $6.346094 $     0.88  $     2.26  
14354 $  2005   $ 12083544171  $  9082751468     $      724619  $   259882581  $   273378546  $   150593941  $      52      $       0      $      97      $           0  $              $1.330384      $724619.000000      $16.599287 $17.461306 $9.618774 $     0.95  $     1.82  
14352 $  2005   $ 14570792142  $  9096809324     $     1334180  $   234947993  $   247226953  $   117207263  $       0      $       0      $      97      $           0  $              $1.601748      $1334180.000000      $15.006659 $15.790943 $7.486292 $     0.95  $     2.11  
14354 $  3007   $  9714804099  $  9082691596     $      531207  $   212857065  $   216448024  $   144578759  $      49      $       0      $      97      $           0  $              $1.069595      $531207.000000      $13.595661 $13.825024 $9.234571 $     0.98  $     1.50  
14352 $  3007   $ 11797901146  $  9096478535     $      334680  $   192384852  $   196931802  $   150526149  $       0      $       0      $      97      $           0  $              $1.296975      $334680.000000      $12.288054 $12.578479 $9.614445 $     0.98  $     1.31  
14354 $  4009   $  9547203266  $  9083040618     $      338113  $   253535890  $   210264610  $   148920377  $      49      $       0      $      97      $           0  $              $1.051102      $338113.000000      $16.193909 $13.430075 $9.511881 $     1.21  $     1.41  
14352 $  4009   $ 11478741991  $  9094450372     $      241815  $   194492656  $   192310057  $   150756724  $       0      $       0      $      97      $           0  $              $1.262170      $241815.000000      $12.422685 $12.283278 $9.629171 $     1.01  $     1.28  
14354 $  5011   $ 10587469898  $  9092712997     $      587708  $   433130526  $   230543122  $   131021573  $      50      $       0      $      97      $           0  $              $1.164391      $587708.000000      $27.665024 $14.725309 $8.368644 $     1.88  $     1.76  
14352 $  5011   $ 12679328933  $  9105663596     $      205650  $   310909676  $   209157599  $   166259203  $       0      $       0      $      97      $           0  $              $1.392466      $205650.000000      $19.858501 $13.359367 $10.619350 $     1.49  $     1.26  
14354 $  6013   $ 12929546602  $  9095971209     $      749559  $   563653587  $   278848808  $   153857159  $      53      $       0      $      97      $           0  $              $1.421459      $749559.000000      $36.001823 $17.810701 $9.827204 $     2.02  $     1.81  
14352 $  6013   $ 15591045920  $  9105984643     $     1203680  $   476492079  $   253573974  $   129698243  $       0      $       0      $      97      $           0  $              $1.712176      $1203680.000000      $30.434624 $16.196341 $8.284119 $     1.88  $     1.96  
14352 $  6516   $  8452466539  $  4621514963     $      106290  $   265507643  $   137305178  $   102046065  $       0      $       0      $      97      $           0  $              $1.828939      $106290.000000      $33.782284 $17.470242 $12.983993 $     1.93  $     1.35  
14354 $  6516   $  4886357343  $  3760242782     $      757478  $   202571174  $    99118663  $    30213569  $      25      $       0      $      97      $           0  $              $1.299479      $757478.000000      $25.774464 $12.611520 $3.844271 $     2.04  $     3.28  
14352 $  7095   $ 11154698616  $  5483050919     $      250479  $   350410253  $   181080024  $   137814294  $       0      $       0      $      97      $           0  $              $2.034396      $250479.000000      $38.732738 $20.015755 $15.233358 $     1.94  $     1.31  
14352 $  7097   $     3299982  $     1428603     $         221  $      103596  $       53712  $       20857  $       0      $       0      $      97      $           0  $              $2.309936      $221.000000      $3.315072 $1.718784 $0.667424 $     1.93  $     2.58  
14380 $   829   $  9675866593  $  7229549813     $     2724085  $   212405717  $   239963089  $    63711040  $       0      $       0      $      97      $           0  $              $1.338377      $2724085.000000      $16.398029 $18.525497 $4.918584 $     0.89  $     3.77  
14352 $  7926   $ 10403212262  $  5584631446     $      584326  $   323870911  $   164664577  $   132406481  $      40      $       0      $      97      $           0  $              $1.862829      $584326.000000      $25.003304 $12.712343 $10.221972 $     1.97  $     1.24  
