PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
14507 $  1003   $  6299313038  $  8769655390     $     5853590  $    56356899  $    57389501  $    37470098  $      46      $       0      $      97      $           0  $              $0.718308      $5853590.000000      $3.596053 $3.661942 $2.390913 $     0.98  $     1.53  
14505 $  1003   $ 14330909769  $  7996459107     $     3829613  $   232064527  $   267455770  $    67417338  $       0      $       0      $      97      $           0  $              $1.792157      $3829613.000000      $14.807707 $17.065971 $4.301804 $     0.87  $     3.97  
14507 $  2005   $  5558010695  $  9091361631     $     4274245  $    40296846  $    41372954  $    27567274  $      48      $       0      $      97      $           0  $              $0.611351      $4274245.000000      $2.573851 $2.642584 $1.760784 $     0.97  $     1.50  
14505 $  2005   $ 17150984063  $  9100591163     $     1217426  $   277021421  $   293707632  $   163275282  $       0      $       0      $      97      $           0  $              $1.884601      $1217426.000000      $17.693983 $18.759769 $10.428761 $     0.94  $     1.80  
14507 $  3007   $  5335989305  $  9087779611     $     4025484  $    37386305  $    38414588  $    25618178  $      47      $       0      $      97      $           0  $              $0.587161      $4025484.000000      $2.387948 $2.453626 $1.636291 $     0.97  $     1.50  
14505 $  3007   $ 16477280695  $  9098402760     $      521509  $   272227733  $   277421956  $   201122581  $       0      $       0      $      97      $           0  $              $1.811008      $521509.000000      $17.387800 $17.719566 $12.846152 $     0.98  $     1.38  
14507 $  4009   $  5828250396  $  9088132223     $     5219203  $    48464232  $    49694221  $    32920031  $      48      $       0      $      97      $           0  $              $0.641303      $5219203.000000      $3.095520 $3.174082 $2.102677 $     0.98  $     1.51  
14505 $  4009   $ 16156924441  $  9097322050     $      647409  $   390276563  $   267897864  $   189756170  $       0      $       0      $      97      $           0  $              $1.776009      $647409.000000      $24.927845 $17.111240 $12.120155 $     1.46  $     1.41  
14507 $  5011   $  5987926097  $  9085488508     $     5689667  $    52579317  $    54168091  $    35822602  $      48      $       0      $      97      $           0  $              $0.659065      $5689667.000000      $3.358360 $3.459838 $2.288070 $     0.97  $     1.51  
14505 $  5011   $ 15580942290  $  9094469798     $      369241  $   480189214  $   254616708  $   193871828  $       0      $       0      $      97      $           0  $              $1.713233      $369241.000000      $30.670769 $16.262943 $12.383031 $     1.89  $     1.31  
14507 $  6013   $  5781217578  $  9084371915     $     5170251  $    47601156  $    48983998  $    32579820  $      48      $       0      $      97      $           0  $              $0.636392      $5170251.000000      $3.040393 $3.128719 $2.080947 $     0.97  $     1.50  
14505 $  6013   $ 15984983099  $  9095043658     $      361412  $   502348283  $   259696098  $   205102546  $       0      $       0      $      97      $           0  $              $1.757549      $361412.000000      $32.086117 $16.587376 $13.100362 $     1.93  $     1.27  
14507 $  6864   $  4344134952  $  7766614212     $     2846207  $    26729491  $    27444909  $    18289158  $      39      $       0      $      97      $           0  $              $0.559335      $2846207.000000      $2.010209 $2.064012 $1.375448 $     0.97  $     1.50  
14505 $  6864   $ 12625847608  $  7022806608     $      470600  $   393182891  $   200282033  $   168698261  $       0      $       0      $      97      $           0  $              $1.797835      $470600.000000      $29.569571 $15.062339 $12.687060 $     1.96  $     1.19  
14507 $  7089   $  1473394857  $  2123310045     $     1136001  $    12260706  $    12504003  $     8099351  $       7      $       0      $      97      $           0  $              $0.693914      $1136001.000000      $3.487490 $3.556694 $2.303815 $     0.98  $     1.54  
14507 $  7090   $     2117799  $     5166594     $          98  $          11  $          27  $           2  $       0      $       0      $      97      $           0  $              $0.409902      $98.000000      $0.000704 $0.001728 $0.000128 $     0.41  $    13.50  
