PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
14676 $   894   $ 13756043509  $  7153354111     $     3588932  $   222436406  $   262097999  $    63872229  $       0      $       0      $      97      $           0  $              $1.923020      $3588932.000000      $15.923859 $18.763168 $4.572508 $     0.85  $     4.10  
14678 $   894   $  2086026414  $  5562465809     $    16857942  $    86379085  $    93242449  $    10381687  $      38      $       0      $      97      $           0  $              $0.375018      $16857942.000000      $6.183738 $6.675075 $0.743208 $     0.93  $     8.98  
14676 $  1114   $  4330853160  $  2074318946     $      538883  $    69641843  $    75225645  $    29460351  $       0      $       0      $      97      $           0  $              $2.087843      $538883.000000      $20.259445 $21.883825 $8.570284 $     0.93  $     2.55  
14676 $  1117   $     2901053  $     1329701     $          28  $       46584  $       49670  $       51181  $       0      $       0      $      97      $           0  $              $2.181733      $28.000000      $0.993792 $1.059627 $1.091861 $     0.94  $     0.97  
14676 $  1778   $  6475966919  $  3212612010     $      478783  $   104302834  $   110380700  $    80114750  $      23      $       0      $      97      $           0  $              $2.015795      $478783.000000      $10.098912 $10.687390 $7.756950 $     0.94  $     1.38  
14704 $   661   $  1131903110  $  3198406024     $    16559881  $    86395067  $    93959394  $     9700501  $       0      $       0      $      97      $           0  $              $0.353896      $16559881.000000      $8.365029 $9.097430 $0.939232 $     0.92  $     9.69  
14676 $  2260   $  9046887263  $  4376314217     $      450128  $   146301890  $   152764107  $    92267835  $      18      $       0      $      97      $           0  $              $2.067239      $450128.000000      $19.425978 $20.284031 $12.251330 $     0.96  $     1.66  
14676 $  2262   $    11805104  $     5281063     $        1768  $      191379  $      199203  $       45524  $       0      $       0      $      97      $           0  $              $2.235365      $1768.000000      $6.124128 $6.374496 $1.456768 $     0.96  $     4.38  
14676 $  2937   $ 11570502519  $  6269246182     $      189240  $   189173423  $   194508931  $   155024464  $      29      $       0      $      97      $           0  $              $1.845597      $189240.000000      $17.936443 $18.442327 $14.698616 $     0.97  $     1.25  
14709 $   675   $  1131453030  $  3324403610     $    17193230  $    86410061  $    93590600  $     9805106  $       0      $       0      $      97      $           0  $              $0.340348      $17193230.000000      $8.192954 $8.873775 $0.929669 $     0.92  $     9.55  
14676 $  3358   $  7996739196  $  4077961359     $      165417  $   148308191  $   136412297  $   103519938  $      16      $       0      $      97      $           0  $              $1.960965      $165417.000000      $22.545664 $20.737263 $15.736998 $     1.09  $     1.32  
14676 $  3360   $    10094788  $     5036162     $         359  $      222252  $      168172  $      125435  $       0      $       0      $      97      $           0  $              $2.004461      $359.000000      $7.112064 $5.381504 $4.013920 $     1.32  $     1.34  
14676 $  4021   $ 11653550621  $  6122236886     $      264089  $   307968417  $   192511330  $   143147893  $      29      $       0      $      97      $           0  $              $1.903479      $264089.000000      $29.818424 $18.639523 $13.860007 $     1.60  $     1.34  
14714 $   661   $  1131412601  $  3327509793     $    17188355  $    86412122  $    93461465  $     9779036  $       0      $       0      $      97      $           0  $              $0.340018      $17188356.000000      $8.366680 $9.049219 $0.946836 $     0.92  $     9.56  
14676 $  4442   $  8123879983  $  4105419208     $      419451  $   247387965  $   133079262  $    89146118  $      16      $       0      $      97      $           0  $              $1.978819      $419451.000000      $37.607674 $20.230577 $13.551905 $     1.86  $     1.49  
14676 $  4443   $    10632948  $     5373742     $         140  $      330336  $      173802  $      146333  $       0      $       0      $      97      $           0  $              $1.978686      $140.000000      $21.141504 $11.123328 $9.365312 $     1.90  $     1.19  
14676 $  5159   $ 13084795463  $  6679863035     $      235852  $   409911327  $   213206841  $   147083960  $      32      $       0      $      97      $           0  $              $1.958842      $235852.000000      $36.640118 $19.057596 $13.147170 $     1.92  $     1.45  
14719 $   716   $  1131602519  $  3285027712     $    17133875  $    86399817  $    93402059  $     9701513  $       0      $       0      $      65      $           0  $              $0.344473      $17133876.000000      $7.722888 $8.348787 $0.867174 $     0.93  $     9.63  
14676 $  5593   $  8517507235  $  4075967067     $      472481  $   267158044  $   138637270  $    80069682  $      17      $       0      $      97      $           0  $              $2.089690      $472481.000000      $39.396580 $20.444204 $11.807510 $     1.93  $     1.73  
14676 $  5594   $    11539211  $     5301271     $          96  $      361524  $      187977  $       89352  $       0      $       0      $      97      $           0  $              $2.176688      $96.000000      $23.137535 $12.030528 $5.718528 $     1.92  $     2.10  
14676 $  6285   $ 12248982195  $  6420493543     $      200533  $   384179506  $   196330570  $   161046788  $      31      $       0      $      97      $           0  $              $1.907795      $200533.000000      $35.582474 $18.184019 $14.916056 $     1.96  $     1.22  
14724 $   691   $  1132701028  $  3365003140     $    17159722  $    86401519  $    93425012  $     9827331  $       0      $       0      $     113      $           0  $              $0.336612      $17159722.000000      $8.002457 $8.652967 $0.910201 $     0.92  $     9.51  
14676 $  6379   $  1231847162  $   814398953     $       38717  $    35174040  $    17688519  $    17044210  $       3      $       0      $      97      $           0  $              $1.512584      $38717.000000      $23.948282 $12.043247 $11.604568 $     1.99  $     1.04  
