PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
38998 $  1004   $ 14793986261  $  8837099285     $      563807  $  1868456958  $     6394718  $     4334877  $      33      $       0      $      97      $           0  $              $1.674077      $563807.000000      $119.104828 $0.407631 $0.276327 $   292.19  $     1.48  
38998 $  2006   $ 15368312457  $  9153613218     $      537817  $  1941764526  $     6293309  $     4280792  $      36      $       0      $      97      $           0  $              $1.678934      $537817.000000      $124.024879 $0.401968 $0.273424 $   308.54  $     1.47  
38998 $  3009   $ 15668592629  $  9331492023     $      537042  $  1980254283  $     6373680  $     4347999  $      35      $       0      $      97      $           0  $              $1.679109      $537042.000000      $126.357208 $0.406695 $0.277440 $   310.69  $     1.47  
38998 $  4012   $ 15368852314  $  9152717948     $      530766  $  1941862117  $     6292880  $     4283342  $      36      $       0      $      97      $           0  $              $1.679157      $530766.000000      $123.907455 $0.401540 $0.273314 $   308.58  $     1.47  
38998 $  5015   $ 15368032291  $  9152478166     $      532201  $  1941741270  $     6285986  $     4281254  $      34      $       0      $      97      $           0  $              $1.679112      $532201.000000      $123.899742 $0.401100 $0.273181 $   308.90  $     1.47  
38998 $  6018   $ 15771654560  $  9395655150     $      540137  $  1993570611  $     6398494  $     4382173  $      36      $       0      $      97      $           0  $              $1.678612      $540137.000000      $127.206894 $0.408279 $0.279620 $   311.57  $     1.46  
38998 $  7021   $ 15655486130  $  9322634640     $      542300  $  1978739554  $     6375937  $     4362753  $      35      $       0      $      97      $           0  $              $1.679299      $542300.000000      $126.260551 $0.406839 $0.278381 $   310.34  $     1.46  
38998 $  8024   $ 15373096748  $  9154399028     $      534448  $  1942454039  $     6298833  $     4299283  $      35      $       0      $      97      $           0  $              $1.679312      $534448.000000      $123.945221 $0.401920 $0.274331 $   308.38  $     1.47  
38998 $  9027   $ 15370003782  $  9153776680     $      537540  $  1941973568  $     6288888  $     4297504  $      35      $       0      $      97      $           0  $              $1.679089      $537540.000000      $123.914558 $0.401285 $0.274218 $   308.79  $     1.46  
38998 $ 10030   $ 15904962444  $  9475822651     $      543896  $  2010665760  $     6436400  $     4419919  $      36      $       0      $      97      $           0  $              $1.678478      $543896.000000      $128.297714 $0.410698 $0.282029 $   312.39  $     1.46  
38998 $ 11033   $ 15951633229  $  9518652593     $      586815  $  2012061346  $     6782070  $     4586584  $      35      $       0      $      97      $           0  $              $1.675829      $586815.000000      $128.386765 $0.432754 $0.292663 $   296.67  $     1.48  
38998 $ 12036   $ 15371549846  $  9154083067     $      535479  $  1942259573  $     6290625  $     4308047  $      35      $       0      $      97      $           0  $              $1.679201      $535479.000000      $123.932816 $0.401396 $0.274890 $   308.75  $     1.46  
38998 $ 13039   $ 15411587204  $  9162215140     $      513427  $  1951375006  $     6037983  $     4199191  $      35      $       0      $      97      $           0  $              $1.682081      $513427.000000      $124.514458 $0.385275 $0.267944 $   323.18  $     1.44  
38998 $ 14042   $ 15389143040  $  9154666731     $      505428  $  1945899844  $     6136706  $     4180357  $      35      $       0      $      97      $           0  $              $1.681016      $505428.000000      $124.165100 $0.391574 $0.266743 $   317.09  $     1.47  
38998 $ 14345   $  4522382812  $  2705382902     $      156219  $   570918874  $     1835145  $     1259846  $      10      $       0      $      97      $           0  $              $1.671624      $156219.000000      $120.590118 $0.387621 $0.266106 $   311.10  $     1.46  
