PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
39432 $  1003   $  3417087085  $  8864644074     $    14550709  $   237950321  $   195419798  $    34821039  $      30      $       0      $      97      $           0  $              $0.385474      $14550709.000000      $15.183270 $12.469459 $2.221881 $     1.22  $     5.61  
39432 $  2006   $  3535791036  $  9168475673     $    16425390  $   269463069  $   221091945  $    40379437  $      31      $       0      $      97      $           0  $              $0.385647      $16425390.000000      $17.194054 $14.107562 $2.576554 $     1.22  $     5.48  
39432 $  3009   $  3694126344  $  9722646481     $    17495037  $   285701210  $   234993257  $    41941707  $      31      $       0      $      97      $           0  $              $0.379951      $17495036.000000      $18.230186 $14.994585 $2.676241 $     1.22  $     5.60  
39432 $  4012   $  3576703683  $  9157874370     $    15548328  $   254809452  $   208749135  $    40124494  $      32      $       0      $      97      $           0  $              $0.390560      $15548328.000000      $16.259027 $13.319984 $2.560287 $     1.22  $     5.20  
39432 $  5015   $  3591162820  $  9375692818     $    16272507  $   266673421  $   219272334  $    40249740  $      32      $       0      $      97      $           0  $              $0.383029      $16272507.000000      $17.016050 $13.991455 $2.568279 $     1.22  $     5.45  
39432 $  6017   $  3433855586  $  9157452317     $    16628718  $   274116518  $   226193421  $    38887379  $      32      $       0      $      97      $           0  $              $0.374979      $16628718.000000      $17.508440 $14.447484 $2.483825 $     1.21  $     5.82  
39432 $  7019   $  3735376358  $  9769409617     $    17084729  $   278981799  $   229347208  $    41990678  $      32      $       0      $      97      $           0  $              $0.382354      $17084728.000000      $17.819197 $14.648923 $2.682039 $     1.22  $     5.46  
39432 $  8022   $  3600522355  $  9413908534     $    16971074  $   278013226  $   228392716  $    41051770  $      32      $       0      $      97      $           0  $              $0.382468      $16971074.000000      $17.739628 $14.573414 $2.619455 $     1.22  $     5.56  
39432 $  9025   $  3618742125  $  9453920770     $    16983193  $   278126743  $   228498242  $    41172385  $      30      $       0      $      97      $           0  $              $0.382777      $16983192.000000      $17.746872 $14.580147 $2.627151 $     1.22  $     5.55  
39432 $ 10028   $  3614038866  $  9442965982     $    16978295  $   278094275  $   228468289  $    41141093  $      31      $       0      $      97      $           0  $              $0.382723      $16978296.000000      $17.744799 $14.578236 $2.625154 $     1.22  $     5.55  
39432 $ 10327   $  1004625246  $  2625316112     $     4835886  $    79111862  $    64938068  $    11444558  $       9      $       0      $      97      $           0  $              $0.382668      $4835886.000000      $16.933643 $13.899787 $2.449671 $     1.22  $     5.67  
