PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
47770 $  1003   $  1245556997  $  6934718849     $    76629719  $   244769935  $   243558069  $      861677  $      44      $       0      $      97      $           0  $              $0.179612      $76629720.000000      $15.618421 $15.541093 $0.054982 $     1.00  $   282.66  
47768 $  1003   $  3401602700  $  9005354581     $    11900848  $   371783992  $   368656229  $     1159258  $       0      $       0      $      97      $           0  $              $0.377731      $11900848.000000      $23.723007 $23.523428 $0.073971 $     1.01  $   318.01  
47770 $  2005   $  1195781923  $  6461042717     $    70264979  $   223433755  $   222313564  $      363448  $      44      $       0      $      97      $           0  $              $0.185076      $70264976.000000      $14.271218 $14.199669 $0.023214 $     1.01  $   611.68  
47768 $  2005   $  3486192272  $  9287045759     $    12485509  $   391483316  $   388249491  $      726839  $       0      $       0      $      97      $           0  $              $0.375382      $12485509.000000      $25.004923 $24.798372 $0.046425 $     1.01  $   534.16  
47770 $  3007   $  1097950138  $  5940777497     $    64889974  $   205944091  $   204888482  $      397595  $      44      $       0      $      97      $           0  $              $0.184816      $64889976.000000      $13.154114 $13.086689 $0.025395 $     1.01  $   515.32  
47768 $  3007   $  3476927555  $  9400913934     $    11658240  $   400790347  $   395545448  $     1977275  $       0      $       0      $      97      $           0  $              $0.369850      $11658240.000000      $25.599382 $25.264380 $0.126293 $     1.01  $   200.05  
47770 $  4010   $   992398612  $  5376400990     $    59164637  $   186217997  $   185297283  $      553757  $      42      $       0      $      97      $           0  $              $0.184584      $59164636.000000      $11.882305 $11.823555 $0.035334 $     1.00  $   334.62  
47768 $  4009   $  3267759474  $  9394946451     $     8143520  $   423529019  $   411515787  $     8467721  $       0      $       0      $      97      $           0  $              $0.347821      $8143520.000000      $27.051754 $26.284441 $0.540852 $     1.03  $    48.60  
47770 $  5012   $  1233419656  $  6562848089     $    70085389  $   220590252  $   219437481  $      594055  $      44      $       0      $      97      $           0  $              $0.187940      $70085392.000000      $14.089597 $14.015967 $0.037944 $     1.01  $   369.39  
47768 $  5011   $  3247023772  $  9320586241     $     8384621  $   419385728  $   408730083  $    10025890  $       0      $       0      $      97      $           0  $              $0.348371      $8384621.000000      $26.787113 $26.106512 $0.640376 $     1.03  $    40.77  
47770 $  6014   $  1171101255  $  6592338191     $    74196075  $   235022753  $   233772491  $      592761  $      44      $       0      $      97      $           0  $              $0.177646      $74196072.000000      $15.011434 $14.931577 $0.037861 $     1.01  $   394.38  
47768 $  6013   $  3371556322  $  9261631854     $    10402287  $   400882010  $   393846660  $     7852333  $       0      $       0      $      97      $           0  $              $0.364035      $10402287.000000      $25.605238 $25.155874 $0.501546 $     1.02  $    50.16  
47770 $  7016   $  1101300754  $  6113849302     $    68142188  $   216032434  $   214942623  $      393298  $      44      $       0      $      97      $           0  $              $0.180132      $68142192.000000      $13.798479 $13.728870 $0.025121 $     1.01  $   546.51  
47768 $  7015   $  3507088105  $  9343901348     $    12521914  $   393864110  $   390588442  $      903906  $       0      $       0      $      97      $           0  $              $0.375334      $12521914.000000      $25.156988 $24.947765 $0.057735 $     1.01  $   432.11  
47770 $  8018   $  1059129764  $  5681417008     $    61499485  $   195473108  $   194542642  $      334637  $      43      $       0      $      97      $           0  $              $0.186420      $61499484.000000      $12.485308 $12.425878 $0.021374 $     1.00  $   581.35  
47768 $  8017   $  3528427746  $  9401804684     $    12602488  $   396075311  $   392920882  $      671304  $       0      $       0      $      97      $           0  $              $0.375293      $12602488.000000      $25.298222 $25.096745 $0.042878 $     1.01  $   585.31  
47770 $  9021   $  1084688238  $  5694731046     $    60459733  $   188280576  $   187454415  $      460247  $      42      $       0      $      97      $           0  $              $0.190472      $60459732.000000      $12.013915 $11.961199 $0.029368 $     1.00  $   407.29  
47768 $  9019   $  3317028676  $  9373889055     $     9079764  $   416002294  $   405830898  $     6614317  $       0      $       0      $      97      $           0  $              $0.353858      $9079764.000000      $26.571005 $25.921335 $0.422471 $     1.03  $    61.36  
47770 $ 10024   $  1218079418  $  6899574456     $    78122993  $   247238929  $   245922395  $      639703  $      44      $       0      $      97      $           0  $              $0.176544      $78122992.000000      $15.775964 $15.691957 $0.040819 $     1.01  $   384.43  
47768 $ 10022   $  3219463891  $  9260134661     $     8128411  $   416958411  $   405421927  $     9431730  $       0      $       0      $      97      $           0  $              $0.347669      $8128411.000000      $26.605520 $25.869394 $0.601825 $     1.03  $    42.98  
47770 $ 10998   $  1145201709  $  6219840578     $    67810971  $   216410211  $   215094519  $      764713  $      41      $       0      $      97      $           0  $              $0.184121      $67810968.000000      $14.219973 $14.133520 $0.050248 $     1.01  $   281.27  
