PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48768 $  1004   $  3216225560  $  9139942091     $    11245380  $   400505272  $   399001855  $      841377  $      35      $       0      $      97      $           0  $              $0.351887      $11245380.000000      $25.530216 $25.434381 $0.053634 $     1.00  $   474.22  
48766 $  1003   $  4976981845  $  2327653659     $      711941  $      623949  $      659683  $        8984  $       0      $       0      $      97      $           0  $              $2.138197      $711941.000000      $0.039813 $0.042093 $0.000573 $     0.95  $    73.43  
48768 $  2007   $  3230499853  $  9238054678     $    11390089  $   407416233  $   405958459  $      131432  $      36      $       0      $      97      $           0  $              $0.349695      $11390089.000000      $25.996649 $25.903631 $0.008386 $     1.00  $  3088.73  
48766 $  2006   $  4864298208  $  2278802124     $      714497  $      609156  $      637022  $        4378  $       0      $       0      $      97      $           0  $              $2.134585      $714497.000000      $0.038869 $0.040647 $0.000279 $     0.96  $   145.51  
48768 $  3010   $  3230578816  $  9237117963     $    10589676  $   408079349  $   404259859  $     2490012  $      36      $       0      $      97      $           0  $              $0.349739      $10589676.000000      $26.038961 $25.795246 $0.158884 $     1.01  $   162.35  
48766 $  3008   $  4860937954  $  2279061334     $      706394  $      609186  $      637972  $        9106  $       0      $       0      $      97      $           0  $              $2.132868      $706394.000000      $0.038910 $0.040749 $0.000582 $     0.95  $    70.06  
48768 $  4013   $  3275152697  $  9399948145     $     8570422  $   423183166  $   410970351  $    13505123  $      36      $       0      $      97      $           0  $              $0.348422      $8570422.000000      $27.002714 $26.223431 $0.861743 $     1.03  $    30.43  
48766 $  4011   $  4947692431  $  2318834607     $      708497  $      623492  $      653693  $       18833  $       0      $       0      $      97      $           0  $              $2.133698      $708497.000000      $0.039784 $0.041711 $0.001202 $     0.95  $    34.71  
48768 $  5016   $  3210856306  $  9232333136     $     8133224  $   415919614  $   403449761  $    15222394  $      36      $       0      $      97      $           0  $              $0.347784      $8133224.000000      $26.539238 $25.743553 $0.971319 $     1.03  $    26.50  
48766 $  5013   $  4857425505  $  2277619525     $      700895  $      612735  $      641685  $       21954  $       0      $       0      $      97      $           0  $              $2.132676      $700895.000000      $0.039137 $0.040986 $0.001402 $     0.95  $    29.23  
48768 $  6019   $  3227806987  $  9240948816     $    10372754  $   409823114  $   405072210  $     4105472  $      36      $       0      $      97      $           0  $              $0.349294      $10372754.000000      $26.150229 $25.847080 $0.261964 $     1.01  $    98.67  
48766 $  6016   $  4870652921  $  2279678150     $      709552  $      611568  $      645437  $        9641  $       0      $       0      $      97      $           0  $              $2.136553      $709552.000000      $0.039023 $0.041184 $0.000615 $     0.95  $    66.95  
48768 $  7022   $  3237072619  $  9254715857     $    11484661  $   408172273  $   406876274  $      105940  $      36      $       0      $      97      $           0  $              $0.349775      $11484661.000000      $26.044891 $25.962196 $0.006760 $     1.00  $  3840.63  
48766 $  7019   $  4874255347  $  2283035034     $      711221  $      610744  $      642116  $        3060  $       0      $       0      $      97      $           0  $              $2.134989      $711221.000000      $0.038971 $0.040973 $0.000195 $     0.95  $   209.84  
48768 $  8025   $  3322871103  $  9407112399     $    11499986  $   411429935  $   410101260  $      700389  $      36      $       0      $      97      $           0  $              $0.353230      $11499986.000000      $26.252756 $26.167976 $0.044691 $     1.00  $   585.53  
48766 $  8022   $  4955068804  $  2322299038     $      703842  $      619473  $      647907  $        5346  $       0      $       0      $      97      $           0  $              $2.133691      $703842.000000      $0.039528 $0.041342 $0.000341 $     0.96  $   121.19  
48768 $  9028   $  3238994084  $  9249059080     $    11270640  $   408384340  $   407022738  $      203799  $      36      $       0      $      97      $           0  $              $0.350197      $11270640.000000      $26.058424 $25.971542 $0.013004 $     1.00  $  1997.18  
48766 $  9025   $  4879009461  $  2280957823     $      707716  $      610302  $      638631  $        3075  $       0      $       0      $      97      $           0  $              $2.139018      $707716.000000      $0.038943 $0.040750 $0.000196 $     0.96  $   207.68  
48768 $ 10031   $  3246149009  $  9261319255     $    11192142  $   409245377  $   407929205  $      177000  $      36      $       0      $      97      $           0  $              $0.350506      $11192142.000000      $26.113363 $26.029381 $0.011294 $     1.00  $  2304.68  
48766 $ 10027   $  4887943623  $  2284034007     $      704357  $      611272  $      637864  $        4710  $       0      $       0      $      97      $           0  $              $2.140049      $704357.000000      $0.039043 $0.040742 $0.000301 $     0.96  $   135.43  
48768 $ 11034   $  3239812640  $  9249215370     $    10167503  $   409285326  $   404710001  $     3822989  $      36      $       0      $      97      $           0  $              $0.350280      $10167503.000000      $26.115911 $25.823969 $0.243939 $     1.01  $   105.86  
48766 $ 11030   $  4874092110  $  2280369883     $      701332  $      611339  $      639551  $       10245  $       0      $       0      $      97      $           0  $              $2.137413      $701332.000000      $0.039009 $0.040809 $0.000654 $     0.96  $    62.43  
