PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
49547 $  1003   $  3325744083  $  8829236318     $    11201573  $   372239593  $   366577347  $     2032835  $      36      $       0      $      97      $           0  $              $0.376674      $11201573.000000      $23.752077 $23.390778 $0.129712 $     1.02  $   180.33  
49545 $  1003   $  4763061754  $  2241899669     $      702986  $      605025  $      643345  $       13990  $       0      $       0      $      97      $           0  $              $2.124565      $702986.000000      $0.038606 $0.041051 $0.000893 $     0.94  $    45.99  
49547 $  2006   $  3451588825  $  9202817002     $    11761482  $   390432650  $   384631734  $     1653890  $      37      $       0      $      97      $           0  $              $0.375058      $11761482.000000      $24.912951 $24.542803 $0.105532 $     1.02  $   232.56  
49545 $  2006   $  4815426031  $  2269607531     $      722004  $      611981  $      649680  $       15769  $       0      $       0      $      97      $           0  $              $2.121700      $722004.000000      $0.039050 $0.041455 $0.001006 $     0.94  $    41.20  
49547 $  3009   $  3485664005  $  9226298715     $    11679278  $   389138469  $   383285962  $     1993824  $      37      $       0      $      97      $           0  $              $0.377797      $11679278.000000      $24.830370 $24.456930 $0.127223 $     1.02  $   192.24  
49545 $  3009   $  4818931802  $  2276544524     $      718675  $      611872  $      654988  $       16992  $       0      $       0      $      97      $           0  $              $2.116775      $718675.000000      $0.039043 $0.041794 $0.001084 $     0.93  $    38.55  
49547 $  4012   $  3451551645  $  9202949067     $    11760768  $   390475697  $   384615396  $     1572777  $      37      $       0      $      97      $           0  $              $0.375048      $11760768.000000      $24.915699 $24.541759 $0.100357 $     1.02  $   244.55  
49545 $  4012   $  4814446943  $  2269668282     $      719351  $      611795  $      650061  $       13917  $       0      $       0      $      97      $           0  $              $2.121212      $719351.000000      $0.039038 $0.041479 $0.000888 $     0.94  $    46.71  
49547 $  5014   $  3451749823  $  9203326525     $    11763166  $   390443642  $   384654956  $     1605664  $      37      $       0      $      97      $           0  $              $0.375055      $11763166.000000      $24.938517 $24.568779 $0.102557 $     1.02  $   239.56  
49545 $  5014   $  4808709222  $  2269449886     $      724945  $      609364  $      649591  $       17080  $       0      $       0      $      97      $           0  $              $2.118887      $724945.000000      $0.038921 $0.041491 $0.001091 $     0.94  $    38.03  
49547 $  6017   $  3474469192  $  9196263635     $    11623293  $   387828679  $   381956377  $     2095355  $      37      $       0      $      97      $           0  $              $0.377813      $11623293.000000      $24.746794 $24.372093 $0.133702 $     1.02  $   182.29  
