PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
50538 $  1003   $  3323672817  $  8838854013     $    12237598  $   371050001  $   367272651  $     2200790  $      48      $       0      $      97      $           0  $              $0.376030      $12237598.000000      $23.676172 $23.435144 $0.140429 $     1.01  $   166.88  
50536 $  1003   $ 17070765195  $  8937886610     $     9865928  $   379048214  $   502761649  $     1999965  $       0      $       0      $      97      $           0  $              $1.909933      $9865928.000000      $24.186527 $32.080505 $0.127615 $     0.75  $   251.39  
50538 $  2006   $  3435139411  $  9183174015     $    12780652  $   387760683  $   383824811  $     1567017  $      49      $       0      $      97      $           0  $              $0.374069      $12780652.000000      $24.742456 $24.491314 $0.099989 $     1.01  $   244.94  
50536 $  2006   $ 17672315272  $  9181284079     $    10056296  $   391955303  $   518126878  $     1487239  $       0      $       0      $      97      $           0  $              $1.924819      $10056296.000000      $25.010109 $33.060936 $0.094899 $     0.76  $   348.38  
50538 $  3008   $  3456791961  $  9174792628     $    12687991  $   385363381  $   381373418  $     1952051  $      49      $       0      $      97      $           0  $              $0.376771      $12687991.000000      $24.614029 $24.359180 $0.124682 $     1.01  $   195.37  
50536 $  3009   $ 17649550151  $  9179812637     $    10270952  $   392095407  $   521271333  $     1593002  $       0      $       0      $      97      $           0  $              $1.922648      $10270952.000000      $25.019049 $33.261581 $0.101647 $     0.75  $   327.23  
50538 $  4010   $  3434595673  $  9181799194     $    12777525  $   387697595  $   383761503  $     1585000  $      49      $       0      $      97      $           0  $              $0.374066      $12777525.000000      $24.763121 $24.511713 $0.101238 $     1.01  $   242.12  
50536 $  4011   $ 17663812914  $  9178393262     $    10104897  $   392100243  $   518209348  $     1477319  $       0      $       0      $      97      $           0  $              $1.924500      $10104897.000000      $25.044327 $33.099201 $0.094360 $     0.76  $   350.78  
50538 $  5012   $  3434383104  $  9180889688     $    12781686  $   387667443  $   383741853  $     1564186  $      49      $       0      $      97      $           0  $              $0.374080      $12781686.000000      $24.761194 $24.510458 $0.099908 $     1.01  $   245.33  
50536 $  5013   $ 17663920097  $  9179289015     $    10097498  $   392027841  $   518567966  $     1504949  $       0      $       0      $      97      $           0  $              $1.924323      $10097498.000000      $25.039701 $33.122105 $0.096124 $     0.76  $   344.58  
