PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52702 $  1003   $ 22003182842  $  8804856911     $     4004205  $   344240896  $   344275419  $     4611399  $281474976645169      $       0      $      97      $           0  $              $2.498983      $4004205.000000      $21.965521 $21.967724 $0.294247 $     1.00  $    74.66  
52700 $  1003   $  3290392308  $  8771471084     $    11440514  $   367838110  $   363680591  $     5734722  $       0      $       0      $      97      $           0  $              $0.375124      $11440514.000000      $23.471226 $23.205938 $0.365924 $     1.01  $    63.42  
52702 $  2006   $ 22978539037  $  9146646044     $     4158971  $   359289012  $   359298686  $     4062581  $      51      $       0      $      97      $           0  $              $2.512237      $4158971.000000      $22.925720 $22.926336 $0.259228 $     1.00  $    88.44  
52700 $  2006   $  3420500820  $  9163493059     $    12061829  $   386557246  $   382238101  $     5467790  $       0      $       0      $      97      $           0  $              $0.373275      $12061829.000000      $24.665667 $24.390068 $0.348892 $     1.01  $    69.91  
52702 $  3009   $ 23049953951  $  9153633864     $     4175208  $   360608401  $   360610908  $     4026461  $      51      $       0      $      97      $           0  $              $2.518120      $4175208.000000      $23.009909 $23.010069 $0.256923 $     1.00  $    89.56  
52700 $  3009   $  3444469514  $  9157836621     $    11966922  $   384584636  $   380287080  $     5753500  $       0      $       0      $      97      $           0  $              $0.376123      $11966922.000000      $24.539797 $24.265575 $0.367123 $     1.01  $    66.10  
52702 $  4011   $ 22971712557  $  9143957764     $     4162116  $   359177640  $   359188246  $     4076073  $      51      $       0      $      97      $           0  $              $2.512229      $4162116.000000      $22.941486 $22.942163 $0.260348 $     1.00  $    88.12  
52700 $  4011   $  3418601764  $  9160898855     $    12062323  $   386377883  $   382026557  $     5478759  $       0      $       0      $      97      $           0  $              $0.373173      $12062323.000000      $24.678827 $24.400898 $0.349941 $     1.01  $    69.73  
52702 $  5013   $ 22974057068  $  9144368999     $     4157828  $   359218185  $   359226952  $     4059043  $      51      $       0      $      97      $           0  $              $2.512372      $4157828.000000      $22.944075 $22.944635 $0.259260 $     1.00  $    88.50  
52700 $  5013   $  3419707774  $  9160759033     $    12057297  $   386483945  $   382152980  $     5460747  $       0      $       0      $      97      $           0  $              $0.373300      $12057297.000000      $24.685600 $24.408974 $0.348790 $     1.01  $    69.98  
52702 $  6015   $ 23036615572  $  9149333393     $     4175953  $   360397788  $   360398804  $     4007929  $      51      $       0      $      97      $           0  $              $2.517846      $4175953.000000      $23.019421 $23.019485 $0.255995 $     1.00  $    89.92  
52700 $  6015   $  3442665649  $  9153421295     $    11957731  $   384446927  $   380099858  $     5711469  $       0      $       0      $      97      $           0  $              $0.376107      $11957731.000000      $24.555490 $24.277836 $0.364804 $     1.01  $    66.55  
52702 $  7017   $ 22979250078  $  9147126901     $     4158595  $   359298320  $   359310487  $     4086509  $      51      $       0      $      97      $           0  $              $2.512182      $4158595.000000      $22.949194 $22.949972 $0.261015 $     1.00  $    87.93  
52700 $  7017   $  3420207004  $  9163929760     $    12071886  $   386499984  $   382203267  $     5478703  $       0      $       0      $      97      $           0  $              $0.373225      $12071886.000000      $24.686625 $24.412184 $0.349937 $     1.01  $    69.76  
52702 $  8019   $ 22977358564  $  9146322445     $     4161527  $   359273122  $   359282221  $     4060522  $      51      $       0      $      97      $           0  $              $2.512196      $4161527.000000      $22.947584 $22.948166 $0.259355 $     1.00  $    88.48  
52700 $  8019   $  3420060581  $  9163151670     $    12065593  $   386501881  $   382190833  $     5469420  $       0      $       0      $      97      $           0  $              $0.373241      $12065593.000000      $24.686747 $24.411392 $0.349344 $     1.01  $    69.88  
52702 $  9022   $ 23041247266  $  9152056219     $     4175684  $   360468696  $   360473167  $     4042317  $      51      $       0      $      97      $           0  $              $2.517603      $4175684.000000      $23.000994 $23.001278 $0.257934 $     1.00  $    89.17  
52700 $  9022   $  3442933801  $  9155961600     $    11980410  $   384437596  $   380129391  $     5748046  $       0      $       0      $      97      $           0  $              $0.376032      $11980410.000000      $24.530415 $24.255514 $0.366775 $     1.01  $    66.13  
52702 $ 10024   $ 22972599418  $  9143665306     $     4159654  $   359194776  $   359203733  $     4054902  $      51      $       0      $      97      $           0  $              $2.512406      $4159654.000000      $22.942581 $22.943153 $0.258996 $     1.00  $    88.59  
52700 $ 10025   $  3419491067  $  9160315548     $    12053799  $   386432764  $   382124615  $     5461540  $       0      $       0      $      97      $           0  $              $0.373294      $12053799.000000      $24.657724 $24.382826 $0.348493 $     1.01  $    69.97  
