PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55558 $  1004   $  1470405247  $  4677882195     $    11150730  $    86637424  $    62353562  $     7153189  $      42      $       0      $      97      $           0  $              $0.314331      $11150730.000000      $5.522704 $3.974729 $0.455980 $     1.39  $     8.72  
55556 $  1004   $ 22402521309  $  8975326308     $     3983969  $   350530308  $   350573298  $     4801146  $       0      $       0      $      97      $           0  $              $2.496012      $3983969.000000      $22.344561 $22.347303 $0.306049 $     1.00  $    73.02  
55558 $  2007   $  1015877649  $  3962117340     $    14695561  $   107633320  $    82522329  $     7735024  $      42      $       0      $      97      $           0  $              $0.256398      $14695561.000000      $6.867929 $5.265632 $0.493561 $     1.30  $    10.67  
55556 $  2006   $ 23381278582  $  9311926058     $     4180964  $   365645515  $   365667226  $     3886155  $       0      $       0      $      97      $           0  $              $2.510896      $4180964.000000      $23.354603 $23.355991 $0.248217 $     1.00  $    94.09  
55558 $  3009   $  1696399496  $  5444254595     $    13535677  $   106998119  $    78374253  $    10592557  $      44      $       0      $      97      $           0  $              $0.311594      $13535677.000000      $6.834211 $5.005940 $0.676571 $     1.37  $     7.40  
55556 $  3008   $ 23465929228  $  9373527596     $     4177867  $   366957092  $   366983607  $     4741918  $       0      $       0      $      97      $           0  $              $2.503425      $4177867.000000      $23.438377 $23.440071 $0.302877 $     1.00  $    77.39  
55558 $  4011   $  1529046633  $  5018545726     $    13325327  $   104521072  $    78867748  $    10914111  $      43      $       0      $      97      $           0  $              $0.304679      $13325327.000000      $6.675997 $5.037461 $0.697109 $     1.33  $     7.23  
55556 $  4011   $ 23365591656  $  9311431750     $     4172296  $   365608953  $   365623173  $     4702392  $       0      $       0      $      97      $           0  $              $2.509345      $4172296.000000      $23.328987 $23.329893 $0.300053 $     1.00  $    77.75  
55558 $  5014   $  1183568490  $  4402960965     $    14993188  $   110244029  $    83290442  $     7460379  $      42      $       0      $      97      $           0  $              $0.268812      $14993188.000000      $7.034514 $5.314644 $0.476036 $     1.32  $    11.16  
55556 $  5014   $ 23710254848  $  9442632072     $     4234816  $   370772442  $   370794630  $     3821274  $       0      $       0      $      97      $           0  $              $2.510980      $4234816.000000      $23.658461 $23.659876 $0.243830 $     1.00  $    97.03  
