PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48093 $  1002   $ 14668452002  $  8780103261     $      100803  $  1851842440  $     6504150  $     4970265  $      48      $       0      $      97      $           0  $              $1.670647      $100803.000000      $118.281349 $0.415435 $0.317462 $   284.72  $     1.31  
48091 $  1003   $  3080345536  $  8755165874     $     9999004  $   384102755  $   382146543  $     2268066  $       0      $       0      $      97      $           0  $              $0.351832      $9999004.000000      $24.509048 $24.384226 $0.144722 $     1.01  $   168.49  
48093 $  2004   $ 15308704756  $  9131228094     $       78310  $  1933668587  $     6422655  $     5066180  $      50      $       0      $      97      $           0  $              $1.676522      $78310.000000      $123.507774 $0.410229 $0.323588 $   301.07  $     1.27  
48091 $  2005   $  3202309717  $  9170787524     $    10562396  $   404666421  $   402653501  $     1748298  $       0      $       0      $      97      $           0  $              $0.349186      $10562396.000000      $25.846958 $25.718388 $0.111668 $     1.00  $   230.31  
48093 $  3006   $ 15311834558  $  9132023387     $       77775  $  1934131110  $     6412018  $     5063579  $      50      $       0      $      97      $           0  $              $1.676719      $77775.000000      $123.537315 $0.409550 $0.323422 $   301.64  $     1.27  
48091 $  3007   $  3199776600  $  9171539273     $    10553978  $   404344215  $   402289638  $     1896374  $       0      $       0      $      97      $           0  $              $0.348881      $10553978.000000      $25.826378 $25.695147 $0.121126 $     1.01  $   212.14  
48093 $  4008   $ 15319843653  $  9134631157     $       77356  $  1935237225  $     6407634  $     5069552  $      50      $       0      $      97      $           0  $              $1.677117      $77356.000000      $123.607971 $0.409270 $0.323804 $   302.02  $     1.26  
48091 $  4009   $  3200890304  $  9175342349     $    10603931  $   404487891  $   402478939  $     1701611  $       0      $       0      $      97      $           0  $              $0.348858      $10603931.000000      $25.835554 $25.707237 $0.108686 $     1.00  $   236.53  
48093 $  5010   $ 15317243929  $  9133288553     $       76994  $  1934896836  $     6403468  $     5067737  $      50      $       0      $      97      $           0  $              $1.677079      $76994.000000      $123.586227 $0.409004 $0.323688 $   302.16  $     1.26  
48091 $  5011   $  3200430087  $  9174835642     $    10602131  $   404435696  $   402419971  $     1693191  $       0      $       0      $      97      $           0  $              $0.348827      $10602131.000000      $25.832222 $25.703470 $0.108148 $     1.01  $   237.67  
48093 $  6012   $ 15319027783  $  9134001252     $       77138  $  1935054966  $     6413036  $     5079714  $      50      $       0      $      97      $           0  $              $1.677143      $77138.000000      $123.596329 $0.409615 $0.324453 $   301.74  $     1.26  
48091 $  6013   $  3198286788  $  9175439451     $    10628544  $   404044704  $   402123913  $     1718864  $       0      $       0      $      97      $           0  $              $0.348570      $10628544.000000      $25.807247 $25.684561 $0.109788 $     1.00  $   233.95  
48093 $  7014   $ 15316669638  $  9132647449     $       76555  $  1934688372  $     6409139  $     5085068  $      50      $       0      $      97      $           0  $              $1.677134      $76555.000000      $123.572914 $0.409366 $0.324795 $   301.86  $     1.26  
48091 $  7015   $  3200232685  $  9174275041     $    10645393  $   404160469  $   402376533  $     1458175  $       0      $       0      $      97      $           0  $              $0.348827      $10645393.000000      $25.814642 $25.700697 $0.093137 $     1.00  $   275.95  
48093 $  8016   $ 15316345463  $  9133809022     $       77788  $  1934603129  $     6407185  $     5087364  $      50      $       0      $      97      $           0  $              $1.676885      $77788.000000      $123.567467 $0.409241 $0.324941 $   301.94  $     1.26  
48091 $  8017   $  3200834865  $  9174263360     $    10637851  $   404235034  $   402452325  $     1436170  $       0      $       0      $      97      $           0  $              $0.348893      $10637851.000000      $25.819405 $25.705538 $0.091731 $     1.00  $   280.23  
48093 $  9018   $ 15352316993  $  9136378851     $       76421  $  1943820198  $     6068325  $     4871017  $      50      $       0      $      97      $           0  $              $1.680350      $76421.000000      $124.156181 $0.387598 $0.311123 $   320.32  $     1.25  
48091 $  9019   $  3231138418  $  9168908660     $    10468753  $   402026860  $   400096986  $     2260579  $       0      $       0      $      97      $           0  $              $0.352402      $10468753.000000      $25.678362 $25.555098 $0.144388 $     1.00  $   176.99  
48093 $ 10020   $ 15307829658  $  9130644402     $       78119  $  1933579287  $     6424888  $     5064795  $      50      $       0      $      97      $           0  $              $1.676533      $78119.000000      $123.502068 $0.410372 $0.323500 $   300.95  $     1.27  
48091 $ 10021   $  3205409009  $  9177203678     $    10536949  $   404979331  $   403051286  $     1779401  $       0      $       0      $      97      $           0  $              $0.349279      $10536949.000000      $25.866943 $25.743795 $0.113654 $     1.00  $   226.51  
48093 $ 11022   $ 15309872254  $  9130826942     $       77401  $  1933838143  $     6417721  $     5062610  $      50      $       0      $      97      $           0  $              $1.676723      $77401.000000      $123.518600 $0.409914 $0.323360 $   301.33  $     1.27  
48091 $ 11023   $  3202378102  $  9177774711     $    10522894  $   404654843  $   402646579  $     1940086  $       0      $       0      $      97      $           0  $              $0.348927      $10522894.000000      $25.846218 $25.717945 $0.123918 $     1.00  $   207.54  
48093 $ 12024   $ 15318219312  $  9133799012     $       75372  $  1935049481  $     6407172  $     5067712  $      50      $       0      $      97      $           0  $              $1.677092      $75372.000000      $123.595978 $0.409241 $0.323686 $   302.01  $     1.26  
48091 $ 12025   $  3203530148  $  9179547685     $    10551760  $   404756246  $   402814194  $     1740463  $       0      $       0      $      97      $           0  $              $0.348986      $10551760.000000      $25.852695 $25.728653 $0.111167 $     1.00  $   231.44  
48093 $ 13026   $ 15318057416  $  9133935380     $       75841  $  1935020803  $     6412944  $     5068848  $      50      $       0      $      97      $           0  $              $1.677049      $75841.000000      $123.594147 $0.409609 $0.323759 $   301.74  $     1.27  
48091 $ 13027   $  3203694088  $  9180275252     $    10541969  $   404820880  $   402836654  $     1733757  $       0      $       0      $      97      $           0  $              $0.348976      $10541969.000000      $25.856821 $25.730085 $0.110739 $     1.00  $   232.35  
48093 $ 14029   $ 15315029071  $  9133238815     $       77980  $  1934511249  $     6401261  $     5079889  $      50      $       0      $      97      $           0  $              $1.676845      $77980.000000      $123.438400 $0.408455 $0.324140 $   302.21  $     1.26  
48091 $ 14030   $  3202255281  $  9179218770     $    10584706  $   404461570  $   402641180  $     1696182  $       0      $       0      $      97      $           0  $              $0.348859      $10584706.000000      $25.808117 $25.691959 $0.108231 $     1.00  $   237.38  
48091 $ 14622   $  1917311664  $  5486808448     $     6387947  $   241984725  $   241060918  $      693966  $       0      $       0      $      97      $           0  $              $0.349440      $6387947.000000      $26.160511 $26.060638 $0.075023 $     1.00  $   347.37  
48093 $ 14621   $  7602558069  $  4535513611     $      108845  $   961681588  $     3010473  $     2424541  $      28      $       0      $      97      $           0  $              $1.676229      $108845.000000      $103.965576 $0.325457 $0.262113 $   319.45  $     1.24  
48091 $ 15126   $  1672492464  $  4772356218     $     5713570  $   210781451  $   210243091  $       57288  $       0      $       0      $      97      $           0  $              $0.350454      $5713570.000000      $26.765900 $26.697535 $0.007275 $     1.00  $  3669.93  
48091 $ 15129   $      465278  $     1338285     $        1498  $       58557  $       58472  $           9  $       0      $       0      $      97      $           0  $              $0.347667      $1498.000000      $1.249216 $1.247403 $0.000192 $     1.00  $  6496.89  
48091 $ 16131   $  3177333871  $  9094342111     $    10611041  $   401055013  $   399494546  $     1473865  $      50      $       0      $      97      $           0  $              $0.349375      $10611041.000000      $25.616287 $25.516619 $0.094139 $     1.00  $   271.05  
48111 $  1002   $ 14844817474  $  8883680336     $       78111  $  1874426504  $     6412178  $     5033294  $       0      $       0      $      97      $           0  $              $1.671021      $78111.000000      $119.723846 $0.409560 $0.321488 $   292.32  $     1.27  
48111 $  1112   $  1490268663  $   930737599     $       13546  $   184303554  $      713168  $      563575  $       4      $       0      $      97      $           0  $              $1.601169      $13546.000000      $107.231155 $0.414934 $0.327898 $   258.43  $     1.27  
48091 $ 16241   $   251338338  $   695382397     $      645663  $    24382700  $    24280746  $      145958  $       0      $       0      $      97      $           0  $              $0.361439      $645663.000000      $14.186298 $14.126980 $0.084921 $     1.00  $   166.35  
