PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
50381 $  1003   $ 14688146474  $  8793508722     $       99742  $  1854368011  $     6345648  $     4884748  $      49      $       0      $      97      $           0  $              $1.670340      $99742.000000      $118.324577 $0.404907 $0.311689 $   292.23  $     1.30  
50379 $  1003   $ 17018657231  $  8917753912     $     9311404  $   377567652  $   500709396  $     2023853  $       0      $       0      $      97      $           0  $              $1.908402      $9311404.000000      $24.092052 $31.949553 $0.129139 $     0.75  $   247.40  
50381 $  2005   $ 15313167549  $  9137752538     $       73766  $  1934313698  $     6268738  $     4965253  $      51      $       0      $      97      $           0  $              $1.675813      $73766.000000      $123.548981 $0.400398 $0.317142 $   308.57  $     1.26  
50379 $  2005   $ 17661060908  $  9184171813     $     9528909  $   391331519  $   517355547  $     1502469  $       0      $       0      $      97      $           0  $              $1.922989      $9528909.000000      $24.995226 $33.044666 $0.095966 $     0.76  $   344.34  
50381 $  3007   $ 15304828613  $  9137067950     $       72739  $  1933054772  $     6264184  $     4976049  $      51      $       0      $      97      $           0  $              $1.675026      $72739.000000      $123.468567 $0.400108 $0.317831 $   308.59  $     1.26  
50379 $  3007   $ 17630241661  $  9182597406     $     9676518  $   391412859  $   519854551  $     1618170  $       0      $       0      $      97      $           0  $              $1.919962      $9676518.000000      $25.000422 $33.204285 $0.103356 $     0.75  $   321.26  
50381 $  4010   $ 15313501589  $  9137652032     $       73442  $  1934355514  $     6276696  $     4964740  $      51      $       0      $      97      $           0  $              $1.675868      $73442.000000      $123.428467 $0.400507 $0.316793 $   308.18  $     1.26  
50379 $  4009   $ 17660475781  $  9183011859     $     9550556  $   391228379  $   517299756  $     1501888  $       0      $       0      $      97      $           0  $              $1.923168      $9550556.000000      $24.988640 $33.041100 $0.095929 $     0.76  $   344.43  
50381 $  5013   $ 15306542015  $  9136659671     $       73043  $  1933354573  $     6270557  $     4979796  $      51      $       0      $      97      $           0  $              $1.675289      $73043.000000      $123.364601 $0.400115 $0.317754 $   308.32  $     1.26  
50379 $  5012   $ 17652882085  $  9183230777     $     9567284  $   391189626  $   516925024  $     1545993  $       0      $       0      $      97      $           0  $              $1.922295      $9567284.000000      $24.961252 $32.984249 $0.098648 $     0.76  $   334.36  
50381 $  6015   $ 15309474425  $  9137182030     $       72085  $  1933764588  $     6267794  $     4965932  $      51      $       0      $      97      $           0  $              $1.675514      $72085.000000      $123.513908 $0.400338 $0.317185 $   308.52  $     1.26  
