PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53985 $  1003   $  2374756938  $  8799780862     $    10271198  $   269308156  $   262894174  $     8829377  $      47      $       0      $      97      $           0  $              $0.269865      $10271198.000000      $17.184170 $16.774902 $0.563390 $     1.02  $    29.77  
53983 $  1003   $  4889362118  $  8851519347     $     5500833  $   214701160  $   143443791  $   139375230  $       0      $       0      $      97      $           0  $              $0.552375      $5500833.000000      $13.699775 $9.152944 $8.893334 $     1.50  $     1.03  
53985 $  2006   $  2406590831  $  9117581329     $    10739963  $   277388657  $   270634046  $     8749979  $      48      $       0      $      97      $           0  $              $0.263951      $10739963.000000      $17.699776 $17.268772 $0.558324 $     1.02  $    30.93  
53983 $  2006   $  5083375646  $  9116635563     $     5890256  $   230378846  $   153896716  $   149614997  $       0      $       0      $      97      $           0  $              $0.557593      $5890256.000000      $14.700146 $9.819930 $9.546720 $     1.50  $     1.03  
53985 $  3009   $  2405088327  $  9119546020     $    10731173  $   277203502  $   270450877  $     8746738  $      48      $       0      $      97      $           0  $              $0.263729      $10731173.000000      $17.687960 $17.257086 $0.558117 $     1.02  $    30.92  
53983 $  3009   $  5082810561  $  9118523182     $     5906071  $   230346309  $   153967715  $   149679871  $       0      $       0      $      97      $           0  $              $0.557416      $5906071.000000      $14.698070 $9.824460 $9.550859 $     1.50  $     1.03  
53985 $  4012   $  2368118362  $  9117250857     $    10574078  $   273276647  $   266407283  $     8652001  $      48      $       0      $      97      $           0  $              $0.259740      $10574078.000000      $17.437393 $16.999069 $0.552072 $     1.03  $    30.79  
53983 $  4012   $  5153665851  $  9116073560     $     6177877  $   239905489  $   159923903  $   155491070  $       0      $       0      $      97      $           0  $              $0.565338      $6177877.000000      $15.308027 $10.204516 $9.921663 $     1.50  $     1.03  
53985 $  5015   $  2440921859  $  9110122862     $    10569080  $   273583149  $   266948925  $     8991873  $      48      $       0      $      97      $           0  $              $0.267935      $10569080.000000      $17.456949 $17.033630 $0.573759 $     1.02  $    29.69  
53983 $  5015   $  5073026134  $  9117879452     $     5890834  $   229840837  $   153632682  $   149365923  $       0      $       0      $      97      $           0  $              $0.556382      $5890834.000000      $14.665815 $9.803082 $9.530827 $     1.50  $     1.03  
