PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54122 $  1004   $  1154421200  $  7028893687     $    74808048  $   239705024  $   233035371  $     4909538  $      44      $       0      $      97      $           0  $              $0.164239      $74808048.000000      $15.280002 $14.854845 $0.312959 $     1.03  $    47.47  
54120 $  1004   $  4884441002  $  8885174338     $     5551213  $   214297438  $   143088570  $   138996081  $       0      $       0      $      97      $           0  $              $0.549729      $5551213.000000      $13.660395 $9.121184 $8.860308 $     1.50  $     1.03  
54122 $  2007   $  1007840874  $  5991906320     $    61547597  $   200738519  $   194302208  $     4096782  $      43      $       0      $      97      $           0  $              $0.168200      $61547596.000000      $12.808838 $12.398147 $0.261410 $     1.03  $    47.43  
54120 $  2007   $  5161371165  $  9219662835     $     6036401  $   234223453  $   156167958  $   151840993  $       0      $       0      $      97      $           0  $              $0.559822      $6036401.000000      $14.945465 $9.964854 $9.688757 $     1.50  $     1.03  
54122 $  3009   $   864463616  $  4941647793     $    49613799  $   159190673  $   154493798  $     3638867  $      42      $       0      $      97      $           0  $              $0.174934      $49613800.000000      $10.167868 $9.867867 $0.232423 $     1.03  $    42.46  
54120 $  3009   $  5202073471  $  9355192034     $     6122124  $   236254592  $   157885337  $   153653166  $       0      $       0      $      97      $           0  $              $0.556063      $6122124.000000      $15.090114 $10.084493 $9.814175 $     1.50  $     1.03  
54122 $  4011   $  1110974291  $  6919242605     $    72613987  $   235053677  $   227497494  $     4727288  $      45      $       0      $      97      $           0  $              $0.160563      $72613984.000000      $15.013409 $14.530778 $0.301943 $     1.03  $    48.12  
54120 $  4011   $  5109267664  $  9209418693     $     6049909  $   232866304  $   155516280  $   151142238  $       0      $       0      $      97      $           0  $              $0.554787      $6049909.000000      $14.873696 $9.933176 $9.653796 $     1.50  $     1.03  
54122 $  5014   $  1023519738  $  6172686914     $    64975593  $   207183176  $   200940998  $     4263712  $      44      $       0      $      97      $           0  $              $0.165814      $64975592.000000      $13.220062 $12.821758 $0.272061 $     1.03  $    47.13  
54120 $  5014   $  5204380513  $  9210358160     $     6266026  $   241223291  $   160729283  $   156308752  $       0      $       0      $      97      $           0  $              $0.565057      $6266026.000000      $15.392115 $10.255906 $9.973839 $     1.50  $     1.03  
54122 $  6017   $   888015978  $  5103787467     $    51483151  $   163783593  $   158902113  $     3773296  $      42      $       0      $      97      $           0  $              $0.173992      $51483152.000000      $10.450798 $10.139318 $0.240769 $     1.03  $    42.11  
54120 $  6017   $  5194910835  $  9326571474     $     6098018  $   235920917  $   157517910  $   153270124  $       0      $       0      $      97      $           0  $              $0.557001      $6098018.000000      $15.053777 $10.050993 $9.779948 $     1.50  $     1.03  
54122 $  7020   $  1126175885  $  6558201268     $    66213361  $   213776337  $   207304073  $     4275038  $      44      $       0      $      97      $           0  $              $0.171720      $66213360.000000      $13.640763 $13.227777 $0.272784 $     1.03  $    48.49  
54120 $  7020   $  5132737870  $  9237414436     $     6015858  $   232763637  $   155443809  $   151140396  $       0      $       0      $      97      $           0  $              $0.555647      $6015858.000000      $14.852316 $9.918648 $9.644053 $     1.50  $     1.03  
54122 $  8022   $  1037917926  $  6378177959     $    68330729  $   217229173  $   211013247  $     4322449  $      44      $       0      $      97      $           0  $              $0.162730      $68330728.000000      $13.874917 $13.477892 $0.276085 $     1.03  $    48.82  
54120 $  8022   $  5137522919  $  9234487338     $     6030389  $   233047357  $   155593669  $   151279831  $       0      $       0      $      97      $           0  $              $0.556341      $6030389.000000      $14.885261 $9.938118 $9.662583 $     1.50  $     1.03  
54122 $  9024   $   897033905  $  5351542659     $    55056836  $   177673995  $   172118741  $     3844934  $      43      $       0      $      97      $           0  $              $0.167622      $55056836.000000      $11.348439 $10.993612 $0.245585 $     1.03  $    44.77  
54120 $  9024   $  5184437648  $  9356702225     $     6076049  $   235349177  $   157174003  $   152904564  $       0      $       0      $      97      $           0  $              $0.554088      $6076049.000000      $15.032283 $10.039058 $9.766359 $     1.50  $     1.03  
54122 $ 10027   $  1058932666  $  6025770966     $    59379644  $   190574593  $   184771724  $     4153097  $      43      $       0      $      97      $           0  $              $0.175734      $59379644.000000      $12.160293 $11.790021 $0.265003 $     1.03  $    44.49  
54120 $ 10027   $  5144622564  $  9273911799     $     6043563  $   233323544  $   155972882  $   151700931  $       0      $       0      $      97      $           0  $              $0.554741      $6043563.000000      $14.888043 $9.952407 $9.679820 $     1.50  $     1.03  
54122 $ 11030   $  1095492463  $  6667612348     $    70253571  $   227432715  $   220190265  $     4571445  $      44      $       0      $      97      $           0  $              $0.164301      $70253568.000000      $14.512157 $14.050027 $0.291697 $     1.03  $    48.17  
54120 $ 11030   $  5167104981  $  9124062734     $     6192901  $   238348302  $   158955127  $   154499738  $       0      $       0      $      97      $           0  $              $0.566316      $6192901.000000      $15.208666 $10.142699 $9.858408 $     1.50  $     1.03  
54122 $ 12032   $   910476803  $  5438472677     $    57058586  $   180451659  $   175248326  $     3864331  $      43      $       0      $      97      $           0  $              $0.167414      $57058584.000000      $11.525855 $11.193505 $0.246824 $     1.03  $    45.35  
54120 $ 12032   $  5197542905  $  9207470224     $     6167277  $   238353270  $   158955598  $   154649515  $       0      $       0      $      97      $           0  $              $0.564492      $6167277.000000      $15.224160 $10.152853 $9.877813 $     1.50  $     1.03  
54122 $ 13035   $   938846361  $  5479518995     $    55771601  $   174377783  $   169613983  $     3926451  $      43      $       0      $      97      $           0  $              $0.171337      $55771600.000000      $11.126798 $10.822826 $0.250541 $     1.03  $    43.20  
54120 $ 13035   $  5179176520  $  9321131168     $     6050321  $   235085063  $   156818971  $   152592832  $       0      $       0      $      97      $           0  $              $0.555638      $6050321.000000      $15.000443 $10.006395 $9.736732 $     1.50  $     1.03  
54122 $ 13174   $    92042825  $   487491521     $     5217186  $    18355130  $    18168264  $      235542  $       4      $       0      $      97      $           0  $              $0.188809      $5217186.000000      $8.451283 $8.365244 $0.108451 $     1.01  $    77.13  
54120 $ 13174   $   321450661  $   559694931     $      459821  $    15314640  $    10224182  $     9969970  $       0      $       0      $      97      $           0  $              $0.574332      $459821.000000      $7.051345 $4.707537 $4.590490 $     1.50  $     1.03  
54122 $ 14115   $  1236091105  $  6877175598     $    71456835  $   241156879  $   240039124  $        1169  $      28      $       0      $      97      $           0  $              $0.179738      $71456832.000000      $16.401743 $16.325722 $0.000080 $     1.00  $205337.14  
54122 $ 14117   $      853858  $     3253369     $       21932  $       70189  $       70036  $           0  $       0      $       0      $      97      $           0  $              $0.262453      $21932.000000      $2.246048 $2.241152 $0.000000 $     1.00  $      inf  
