PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54752 $  1003   $  2177971668  $  8643270433     $     8625090  $   273449194  $   269799802  $     9317109  $      47      $       0      $      97      $           0  $              $0.251985      $8625090.000000      $17.448402 $17.215542 $0.594511 $     1.01  $    28.96  
54750 $  1003   $  5324550332  $  7783313338     $      151910  $   148129028  $   149742648  $   139530308  $       0      $       0      $      97      $           0  $              $0.684098      $151910.000000      $9.451901 $9.554866 $8.903230 $     0.99  $     1.07  
54752 $  2005   $  2183501348  $  9071918242     $     8830908  $   280255208  $   276072191  $     9107889  $      49      $       0      $      97      $           0  $              $0.240688      $8830908.000000      $17.900532 $17.633354 $0.581741 $     1.02  $    30.31  
54750 $  2005   $  6173624295  $  9117782701     $      146230  $   192343630  $   192403815  $   187852673  $       0      $       0      $      97      $           0  $              $0.677097      $146230.000000      $12.285421 $12.289266 $11.998574 $     1.00  $     1.02  
54752 $  3007   $  2183132137  $  9070398503     $     8821049  $   280215323  $   276029950  $     9105786  $      49      $       0      $      97      $           0  $              $0.240688      $8821049.000000      $17.897985 $17.630655 $0.581607 $     1.02  $    30.31  
54750 $  3007   $  6183664703  $  9116464867     $      146455  $   192357057  $   192416559  $   187875597  $       0      $       0      $      97      $           0  $              $0.678296      $146455.000000      $12.286279 $12.290080 $12.000038 $     1.00  $     1.02  
54752 $  4010   $  2185162956  $  9070525212     $     8831319  $   280526160  $   276265059  $     9109537  $      49      $       0      $      97      $           0  $              $0.240908      $8831319.000000      $17.899973 $17.628078 $0.581267 $     1.02  $    30.33  
54750 $  4010   $  6180853039  $  9112201309     $      146173  $   192399954  $   192460517  $   187910380  $       0      $       0      $      97      $           0  $              $0.678305      $146173.000000      $12.276767 $12.280631 $11.990294 $     1.00  $     1.02  
54752 $  5012   $  2179454980  $  9067733152     $     8820981  $   279824661  $   275527541  $     9090345  $      49      $       0      $      97      $           0  $              $0.240353      $8820981.000000      $17.873034 $17.598566 $0.580621 $     1.02  $    30.31  
54750 $  5012   $  6141134133  $  9111843743     $      147974  $   192990022  $   193048308  $   188462522  $       0      $       0      $      97      $           0  $              $0.673973      $147974.000000      $12.326708 $12.330431 $12.037527 $     1.00  $     1.02  
54752 $  6015   $  2178404188  $  9067937950     $     8814765  $   279730849  $   275425775  $     9087448  $      49      $       0      $      97      $           0  $              $0.240231      $8814765.000000      $17.849226 $17.574526 $0.579857 $     1.02  $    30.31  
54750 $  6014   $  6144203012  $  9113176881     $      150087  $   193098108  $   193156646  $   188566345  $       0      $       0      $      97      $           0  $              $0.674211      $150087.000000      $12.333611 $12.337350 $12.044158 $     1.00  $     1.02  
54752 $  7017   $  2387366046  $  9104491996     $     9214842  $   305301682  $   301424730  $     9785929  $      48      $       0      $      97      $           0  $              $0.262219      $9214842.000000      $19.500307 $19.252678 $0.625049 $     1.01  $    30.80  
54750 $  7016   $  6503313100  $  8626018107     $      159003  $   161165885  $   161214806  $   157620994  $       0      $       0      $      97      $           0  $              $0.753918      $159003.000000      $10.294029 $10.297153 $10.067608 $     1.00  $     1.02  
54752 $  7380   $  1161488203  $  3391740882     $     3910033  $   146949432  $   146084809  $     3341600  $      13      $       0      $      97      $           0  $              $0.342446      $3910033.000000      $25.908442 $25.756001 $0.589153 $     1.01  $    43.72  
54750 $  7379   $  1162931538  $   485904830     $      309653  $     9105221  $     9109467  $     9104088  $       0      $       0      $      97      $           0  $              $2.393332      $309653.000000      $1.605328 $1.606077 $1.605128 $     1.00  $     1.00  
54752 $  8094   $  2377167008  $  6820408040     $     8692454  $   299669196  $   298686028  $      165030  $      24      $       0      $      97      $           0  $              $0.348537      $8692454.000000      $26.861103 $26.772976 $0.014793 $     1.00  $  1809.89  
54752 $  8096   $     1792073  $     5153215     $        6218  $      225865  $      225305  $          49  $       0      $       0      $      97      $           0  $              $0.347758      $6218.000000      $7.227680 $7.209760 $0.001568 $     1.00  $  4598.06  
54752 $  9098   $  2281346426  $  9084735869     $     9077314  $   291895416  $   288086819  $     9368633  $      49      $       0      $      97      $           0  $              $0.251119      $9077314.000000      $18.644018 $18.400755 $0.598396 $     1.01  $    30.75  
54770 $  1002   $  5352508013  $  7830875924     $      195562  $   148637870  $   150648445  $   140444294  $       0      $       0      $      97      $           0  $              $0.683513      $195562.000000      $9.493836 $9.622256 $8.970493 $     0.99  $     1.07  
54752 $ 10100   $  2186859719  $  9072683606     $     8741155  $   280651409  $   276479519  $     9113005  $      49      $       0      $      97      $           0  $              $0.241038      $8741155.000000      $17.925840 $17.659370 $0.582068 $     1.02  $    30.34  
54770 $  2004   $  6181792454  $  9105295115     $      208548  $   192288898  $   192347917  $   187782171  $       0      $       0      $      97      $           0  $              $0.678923      $208548.000000      $12.281925 $12.285695 $11.994071 $     1.00  $     1.02  
54752 $ 11102   $  2187499061  $  9071407111     $     8743745  $   280740156  $   276560328  $     9113281  $      49      $       0      $      97      $           0  $              $0.241142      $8743745.000000      $17.931507 $17.664532 $0.582086 $     1.02  $    30.35  
54770 $  3006   $  6178327058  $  9103362574     $      209271  $   192192129  $   192251424  $   187687414  $       0      $       0      $      97      $           0  $              $0.678686      $209271.000000      $12.275744 $12.279532 $11.988018 $     1.00  $     1.02  
54752 $ 12104   $  2240189784  $  9103345260     $     8734738  $   277495875  $   273484794  $     9506760  $      49      $       0      $      97      $           0  $              $0.246084      $8734738.000000      $17.724287 $17.468092 $0.607218 $     1.01  $    28.77  
54770 $  4008   $  6165201477  $  9111168843     $      209242  $   192081353  $   192142003  $   187599155  $       0      $       0      $      97      $           0  $              $0.676664      $209242.000000      $12.268670 $12.272543 $11.982381 $     1.00  $     1.02  
