PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55063 $  1003   $  6564139848  $  9029201463     $       64289  $    14711247  $    15500780  $    12409266  $      45      $       0      $      97      $           0  $              $0.726990      $64289.000000      $0.938704 $0.989083 $0.791818 $     0.95  $     1.25  
55061 $  1003   $  5419621974  $  7851733905     $      166905  $   150488755  $   152135224  $   142476597  $       0      $       0      $      97      $           0  $              $0.690245      $166905.000000      $9.602472 $9.707532 $9.091228 $     0.99  $     1.07  
55063 $  2006   $  6618427606  $  9108596666     $       60748  $    14248839  $    14695022  $    12578424  $      46      $       0      $      97      $           0  $              $0.726613      $60748.000000      $0.909198 $0.937668 $0.802611 $     0.97  $     1.17  
55061 $  2006   $  6229118844  $  9107487857     $      176972  $   193480302  $   193537777  $   189485135  $       0      $       0      $      97      $           0  $              $0.683956      $176972.000000      $12.345702 $12.349370 $12.090776 $     1.00  $     1.02  
55063 $  3009   $  6621116100  $  9119796251     $       61033  $    14893855  $    15799582  $    12584454  $      46      $       0      $      97      $           0  $              $0.726016      $61033.000000      $0.950356 $1.008149 $0.802996 $     0.94  $     1.26  
55061 $  3009   $  6227470537  $  9119766933     $      177962  $   193726298  $   193785001  $   189717839  $       0      $       0      $      97      $           0  $              $0.682854      $177962.000000      $12.361400 $12.365145 $12.105625 $     1.00  $     1.02  
55063 $  4012   $  6622143683  $  9120323039     $       60580  $    14634331  $    15368186  $    12580262  $      46      $       0      $      97      $           0  $              $0.726087      $60580.000000      $0.933796 $0.980622 $0.802729 $     0.95  $     1.22  
55061 $  4012   $  6183891670  $  9119561539     $      181854  $   194607489  $   194663713  $   190601804  $       0      $       0      $      97      $           0  $              $0.678091      $181854.000000      $12.417626 $12.421214 $12.162029 $     1.00  $     1.02  
55063 $  5015   $  6625458338  $  9120623292     $       60296  $    14561136  $    15224413  $    12586021  $      46      $       0      $      97      $           0  $              $0.726426      $60296.000000      $0.929125 $0.971448 $0.803096 $     0.96  $     1.21  
55061 $  5015   $  6182863235  $  9119504426     $      181276  $   194533569  $   194591317  $   190530340  $       0      $       0      $      97      $           0  $              $0.677982      $181276.000000      $12.412910 $12.416595 $12.157469 $     1.00  $     1.02  
55063 $  6018   $  6630047407  $  9121491815     $       59996  $    14306765  $    14790904  $    12597421  $      46      $       0      $      97      $           0  $              $0.726860      $59996.000000      $0.912894 $0.943787 $0.803823 $     0.97  $     1.17  
55061 $  6018   $  6207118782  $  9120325276     $      182459  $   194610730  $   194669224  $   190608862  $       0      $       0      $      97      $           0  $              $0.680581      $182459.000000      $12.417833 $12.421565 $12.162479 $     1.00  $     1.02  
55063 $  7021   $  6701712961  $  9181725932     $       70604  $    15433447  $    16559216  $    10819269  $      44      $       0      $      97      $           0  $              $0.729897      $70604.000000      $0.984786 $1.056620 $0.690362 $     0.93  $     1.53  
55061 $  7021   $  6523324934  $  8253045668     $      190206  $   153182943  $   153227102  $   150293550  $       0      $       0      $      97      $           0  $              $0.790414      $190206.000000      $9.774385 $9.777203 $9.590017 $     1.00  $     1.02  
55063 $  7350   $  2309346784  $  3106866713     $       36018  $     5332749  $     5683508  $     1036624  $      10      $       0      $      97      $           0  $              $0.743304      $36018.000000      $1.037374 $1.105606 $0.201653 $     0.94  $     5.48  
55061 $  7350   $   837496563  $   350128326     $      373153  $     6557043  $     6560269  $     6556178  $       0      $       0      $      97      $           0  $              $2.391970      $373153.000000      $1.275534 $1.276162 $1.275366 $     1.00  $     1.00  
55063 $  8126   $  5541163313  $  7431168772     $       99878  $    13033260  $    14047685  $        1811  $      23      $       0      $      97      $           0  $              $0.745665      $99878.000000      $1.074908 $1.158572 $0.000149 $     0.93  $  7756.87  
55063 $  8128   $     3430192  $     5304141     $          33  $        7911  $        7741  $           1  $       0      $       0      $      97      $           0  $              $0.646701      $33.000000      $0.253152 $0.247712 $0.000032 $     1.02  $  7741.00  
55063 $  9131   $  6639189836  $  9117251662     $       63655  $    15464218  $    16732639  $    12500668  $      46      $       0      $      97      $           0  $              $0.728201      $63655.000000      $0.986750 $1.067686 $0.797650 $     0.92  $     1.34  
55081 $  1003   $  5459641747  $  7902802718     $      163198  $   151602789  $   153474909  $   143403404  $       0      $       0      $      97      $           0  $              $0.690849      $163198.000000      $9.673557 $9.793015 $9.150367 $     0.99  $     1.07  
55063 $ 10134   $  6629750555  $  9120327351     $       60822  $    14565375  $    15238692  $    12596921  $      46      $       0      $      97      $           0  $              $0.726920      $60822.000000      $0.929396 $0.972359 $0.803792 $     0.96  $     1.21  
55081 $  2006   $  6240058635  $  9118717293     $      168118  $   193755522  $   193813674  $   189725848  $       0      $       0      $      97      $           0  $              $0.684313      $168118.000000      $12.363263 $12.366975 $12.106136 $     1.00  $     1.02  
55081 $  2586   $  3588814391  $  5265898434     $      107619  $   114177708  $   114210129  $   111824682  $       0      $       0      $      97      $           0  $              $0.681520      $107619.000000      $12.598920 $12.602497 $12.339275 $     1.00  $     1.02  
55063 $ 10714   $  3615766502  $  5242315279     $       39915  $     7323595  $     7631208  $     6360394  $      27      $       0      $      97      $           0  $              $0.689727      $39915.000000      $0.808121 $0.842064 $0.701837 $     0.96  $     1.20  
