PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54036 $  1004   $  3083568146  $  8458754114     $    31545920  $   180578064  $   134713613  $    29677847  $      44      $       0      $      97      $           0  $              $0.364542      $31545920.000000      $11.510952 $8.587322 $1.891815 $     1.34  $     4.54  
54034 $  1003   $  4396121860  $  8823816914     $     4769339  $   189532279  $   126272859  $   123403231  $       0      $       0      $      97      $           0  $              $0.498211      $4769339.000000      $12.093784 $8.057291 $7.874184 $     1.50  $     1.02  
54036 $  2007   $  3383940450  $  9115446553     $    31413980  $   191599417  $   141045344  $    35878892  $      46      $       0      $      97      $           0  $              $0.371231      $31413980.000000      $12.225686 $8.999903 $2.289381 $     1.36  $     3.93  
54034 $  2006   $  4471954147  $  9113854821     $     5200296  $   205353132  $   136966031  $   134067279  $       0      $       0      $      97      $           0  $              $0.490676      $5200296.000000      $13.103291 $8.739607 $8.554642 $     1.50  $     1.02  
54036 $  3009   $  3217498705  $  9115121668     $    39478729  $   221702816  $   167126881  $    36049220  $      46      $       0      $      97      $           0  $              $0.352985      $39478728.000000      $14.160659 $10.674770 $2.302545 $     1.33  $     4.64  
54034 $  3008   $  4529343167  $  9113767048     $     5274561  $   208183518  $   138567012  $   135566764  $       0      $       0      $      97      $           0  $              $0.496978      $5274561.000000      $13.297151 $8.850587 $8.658956 $     1.50  $     1.02  
54036 $  4011   $  3372713560  $  9115352759     $    33068989  $   197680097  $   146063367  $    35903382  $      46      $       0      $      97      $           0  $              $0.370004      $33068988.000000      $12.626273 $9.329396 $2.293230 $     1.35  $     4.07  
54034 $  4010   $  4445983555  $  9114191725     $     4992304  $   198017387  $   132219635  $   129348468  $       0      $       0      $      97      $           0  $              $0.487809      $4992304.000000      $12.647818 $8.445167 $8.261778 $     1.50  $     1.02  
54036 $  5013   $  3226904086  $  9115083606     $    37938692  $   214726858  $   161655907  $    35815970  $      46      $       0      $      97      $           0  $              $0.354018      $37938692.000000      $13.715089 $10.325327 $2.287647 $     1.33  $     4.51  
54034 $  5012   $  4548642469  $  9114073133     $     5309781  $   209184577  $   139281172  $   136253317  $       0      $       0      $      97      $           0  $              $0.499079      $5309781.000000      $13.361091 $8.896202 $8.702806 $     1.50  $     1.02  
54036 $  6015   $  3324575340  $  9114726145     $    32837840  $   197285730  $   145666682  $    35509859  $      46      $       0      $      97      $           0  $              $0.364748      $32837840.000000      $12.601085 $9.304060 $2.268095 $     1.35  $     4.10  
54034 $  6015   $  4464260616  $  9113616084     $     5169029  $   204940457  $   136471060  $   133582925  $       0      $       0      $      97      $           0  $              $0.489845      $5169029.000000      $13.076959 $8.708023 $8.523736 $     1.50  $     1.02  
54036 $  7017   $  3311306460  $  9114981945     $    37178586  $   215276068  $   162175205  $    36332177  $      46      $       0      $      97      $           0  $              $0.363282      $37178584.000000      $13.750168 $10.358496 $2.320618 $     1.33  $     4.46  
54034 $  7018   $  4459911054  $  9112963058     $     5021024  $   198769314  $   132909104  $   130059237  $       0      $       0      $      97      $           0  $              $0.489403      $5021024.000000      $12.683187 $8.480741 $8.298895 $     1.50  $     1.02  
54036 $  8020   $  3278862439  $  9116401424     $    35463537  $   206517254  $   153265877  $    35621551  $      46      $       0      $      97      $           0  $              $0.359666      $35463536.000000      $13.177571 $9.779676 $2.272960 $     1.35  $     4.30  
54034 $  8021   $  4474548652  $  9114755727     $     5203721  $   205631945  $   136903535  $   133943766  $       0      $       0      $      97      $           0  $              $0.490913      $5203721.000000      $13.121081 $8.735620 $8.546761 $     1.50  $     1.02  
54036 $  9023   $  3269177558  $  9114339691     $    35682379  $   205444423  $   154016882  $    35767032  $      46      $       0      $      97      $           0  $              $0.358685      $35682380.000000      $13.109116 $9.827598 $2.282243 $     1.33  $     4.31  
54034 $  9024   $  4529828517  $  9113079672     $     5287009  $   208215372  $   138800979  $   135812792  $       0      $       0      $      97      $           0  $              $0.497069      $5287009.000000      $13.285926 $8.856692 $8.666021 $     1.50  $     1.02  
54036 $ 10026   $  3305607884  $  9115232120     $    36511955  $   212945019  $   158607683  $    35915222  $      46      $       0      $      97      $           0  $              $0.362647      $36511956.000000      $13.587718 $10.120530 $2.291699 $     1.34  $     4.42  
54034 $ 10027   $  4492276659  $  9114038710     $     5047090  $   200126648  $   133584662  $   130682330  $       0      $       0      $      97      $           0  $              $0.492896      $5047090.000000      $12.769796 $8.523847 $8.338653 $     1.50  $     1.02  
54036 $ 11029   $  3333341725  $  9115174141     $    33627986  $   199621994  $   149246334  $    35935577  $      46      $       0      $      97      $           0  $              $0.365692      $33627984.000000      $12.737596 $9.523196 $2.292998 $     1.34  $     4.15  
54034 $ 11030   $  4491628176  $  9114128433     $     5221340  $   206471231  $   137528817  $   134606174  $       0      $       0      $      97      $           0  $              $0.492820      $5221340.000000      $13.174635 $8.775517 $8.589028 $     1.50  $     1.02  
54034 $ 11314   $  1400358467  $  2661727910     $     1642841  $    63972915  $    42523281  $    41574047  $       0      $       0      $      97      $           0  $              $0.526109      $1642841.000000      $14.416431 $9.582711 $9.368799 $     1.50  $     1.02  
54036 $ 11313   $   504894071  $  1345292767     $     7924174  $    44123320  $    32522805  $     6329955  $      11      $       0      $      97      $           0  $              $0.375304      $7924174.000000      $9.943283 $7.329082 $1.426469 $     1.36  $     5.14  
54034 $ 12166   $  4618531773  $  7752384670     $     5429686  $   208685108  $   139054889  $   135963527  $       0      $       0      $      97      $           0  $              $0.595756      $5429686.000000      $15.675877 $10.445438 $10.213223 $     1.50  $     1.02  
54034 $ 12169   $      539539  $     1326901     $           0  $           2  $          16  $           0  $       0      $       0      $      97      $           0  $              $0.406616      $0.000000      $0.000043 $0.000341 $0.000000 $     0.12  $      inf  
54034 $ 13171   $  4456422068  $  8772099870     $     5107204  $   200976012  $   133557262  $   130700249  $      45      $       0      $      97      $           0  $              $0.508022      $5107204.000000      $12.836791 $8.530603 $8.348120 $     1.50  $     1.02  
54054 $  1002   $  2993101974  $  8367158042     $    31147577  $   176371326  $   138033019  $    28223700  $       0      $       0      $      97      $           0  $              $0.357720      $31147576.000000      $11.265235 $8.816481 $1.802711 $     1.28  $     4.89  
54054 $  2005   $  3387494040  $  9000315830     $    31788932  $   190488457  $   147799511  $    35739429  $      46      $       0      $      97      $           0  $              $0.376375      $31788932.000000      $12.154798 $9.430876 $2.280482 $     1.29  $     4.14  
54034 $ 14174   $  4407382747  $  8882333492     $     5052481  $   198035724  $   131857880  $   129081258  $       0      $       0      $      97      $           0  $              $0.496196      $5052481.000000      $12.636377 $8.413663 $8.236491 $     1.50  $     1.02  
54054 $  2733   $  2401190513  $  6616125703     $    27591752  $   157161955  $   121201871  $    26593547  $      34      $       0      $      97      $           0  $              $0.362930      $27591752.000000      $13.816436 $10.655109 $2.337894 $     1.30  $     4.56  
54034 $ 14902   $  3273983343  $  6587550295     $     3898989  $   150736092  $   100614455  $    98383762  $       0      $       0      $      97      $           0  $              $0.496996      $3898989.000000      $13.251525 $8.845227 $8.649121 $     1.50  $     1.02  
