PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54079 $  1003   $  2899219498  $  6335150537     $      207865  $    48260141  $    37779911  $    36323868  $      42      $       0      $      97      $           0  $              $0.457640      $207865.000000      $3.079411 $2.410682 $2.317774 $     1.28  $     1.04  
54077 $  1003   $  4354732066  $  8806923760     $     4705818  $   187540139  $   125206699  $   122627515  $       0      $       0      $      97      $           0  $              $0.494467      $4705818.000000      $11.966669 $7.989261 $7.824687 $     1.50  $     1.02  
54079 $  2005   $  3880474735  $  9061489014     $       57320  $    62124942  $    49653540  $    47625974  $      46      $       0      $      97      $           0  $              $0.428238      $57320.000000      $3.968060 $3.171484 $3.041979 $     1.25  $     1.04  
54077 $  2005   $  4296350871  $  9106528185     $     4878313  $   196613992  $   130913455  $   128427562  $       0      $       0      $      97      $           0  $              $0.471788      $4878313.000000      $12.558179 $8.361737 $8.202958 $     1.50  $     1.02  
54079 $  3007   $  3839921796  $  9064706343     $       57658  $    62088776  $    49640842  $    47592010  $      46      $       0      $      97      $           0  $              $0.423612      $57658.000000      $3.965750 $3.170672 $3.039809 $     1.25  $     1.04  
54077 $  3008   $  4268576639  $  9113233014     $     4858179  $   195345009  $   130285527  $   127826519  $       0      $       0      $      97      $           0  $              $0.468393      $4858179.000000      $12.464686 $8.313334 $8.156428 $     1.50  $     1.02  
54079 $  4010   $  3839598930  $  9064524446     $       57586  $    62091525  $    49636780  $    47597100  $      46      $       0      $      97      $           0  $              $0.423585      $57586.000000      $3.961972 $3.167252 $3.037103 $     1.25  $     1.04  
54077 $  4011   $  4265698682  $  9111692857     $     4862148  $   195208438  $   130218748  $   127758630  $       0      $       0      $      97      $           0  $              $0.468157      $4862148.000000      $12.455972 $8.309072 $8.152096 $     1.50  $     1.02  
54079 $  5013   $  3865141990  $  9063807540     $       56796  $    62185313  $    49709517  $    47687745  $      46      $       0      $      97      $           0  $              $0.426437      $56796.000000      $3.967956 $3.171893 $3.042887 $     1.25  $     1.04  
54077 $  5014   $  4283368978  $  9112551032     $     4876558  $   196060783  $   130683083  $   128201872  $       0      $       0      $      97      $           0  $              $0.470052      $4876558.000000      $12.510359 $8.338701 $8.180379 $     1.50  $     1.02  
54079 $  6016   $  4118969327  $  9060820270     $       55940  $    68455291  $    53835099  $    51713520  $      46      $       0      $      97      $           0  $              $0.454591      $55940.000000      $4.368034 $3.435141 $3.299766 $     1.27  $     1.04  
54077 $  6017   $  4306943029  $  9112581581     $     4790058  $   191379131  $   128146331  $   125656635  $       0      $       0      $      97      $           0  $              $0.472637      $4790058.000000      $12.211630 $8.176834 $8.017970 $     1.49  $     1.02  
54079 $  7019   $  3905797916  $  9069675025     $       55662  $    62216831  $    49730067  $    47712259  $      46      $       0      $      97      $           0  $              $0.430644      $55662.000000      $3.969967 $3.173205 $3.044451 $     1.25  $     1.04  
54077 $  7020   $  4313694902  $  9114643004     $     4899016  $   197350762  $   131300624  $   128785109  $       0      $       0      $      97      $           0  $              $0.473271      $4899016.000000      $12.592671 $8.378105 $8.217594 $     1.50  $     1.02  
54079 $  8022   $  3839747550  $  9065090472     $       57315  $    62094241  $    49634875  $    47590531  $      46      $       0      $      97      $           0  $              $0.423575      $57315.000000      $3.962145 $3.167131 $3.036684 $     1.25  $     1.04  
54077 $  8023   $  4265828086  $  9112623321     $     4861423  $   195193985  $   130209027  $   127756740  $       0      $       0      $      97      $           0  $              $0.468123      $4861423.000000      $12.455050 $8.308453 $8.151976 $     1.50  $     1.02  
54079 $  9025   $  3839674317  $  9064766813     $       58393  $    62082640  $    49626105  $    47586740  $      46      $       0      $      97      $           0  $              $0.423582      $58393.000000      $3.961405 $3.166571 $3.036442 $     1.25  $     1.04  
54077 $  9026   $  4265955575  $  9112952377     $     4857467  $   195226239  $   130227949  $   127766343  $       0      $       0      $      97      $           0  $              $0.468120      $4857467.000000      $12.457108 $8.309660 $8.152588 $     1.50  $     1.02  
54079 $ 10028   $  3854415605  $  9064813878     $       57481  $    62149913  $    49681777  $    47651973  $      46      $       0      $      97      $           0  $              $0.425206      $57481.000000      $3.965697 $3.170123 $3.040604 $     1.25  $     1.04  
54077 $ 10029   $  4278521904  $  9113209122     $     4864254  $   195837267  $   130527595  $   128061166  $       0      $       0      $      97      $           0  $              $0.469486      $4864254.000000      $12.496097 $8.328779 $8.171401 $     1.50  $     1.02  
54079 $ 11031   $  4046814061  $  9059952739     $       54250  $    65423410  $    51914018  $    49800368  $      46      $       0      $      97      $           0  $              $0.446671      $54250.000000      $4.174574 $3.312559 $3.177691 $     1.26  $     1.04  
54077 $ 11032   $  4316069631  $  9112686074     $     4882698  $   194181245  $   129926669  $   127412213  $       0      $       0      $      97      $           0  $              $0.473633      $4882698.000000      $12.390429 $8.290436 $8.129992 $     1.49  $     1.02  
54077 $ 11692   $  2996059611  $  6081668825     $     3396053  $   135276650  $    90204027  $    88396712  $       0      $       0      $      97      $           0  $              $0.492638      $3396053.000000      $13.117736 $8.747057 $8.571802 $     1.50  $     1.02  
54079 $ 11691   $  2128708974  $  4796299228     $      116476  $    33677780  $    26404638  $    25435059  $      29      $       0      $      97      $           0  $              $0.443823      $116476.000000      $3.265724 $2.560450 $2.466430 $     1.28  $     1.04  
54077 $ 12153   $  2517726159  $  4374210129     $     2961112  $   113895543  $    75809658  $    74150400  $       0      $       0      $      97      $           0  $              $0.575584      $2961112.000000      $15.811963 $10.524551 $10.294199 $     1.50  $     1.02  
54077 $ 12155   $     1565258  $     1471908     $           8  $       62651  $       31159  $       30132  $       0      $       0      $      97      $           0  $              $1.063421      $8.000000      $2.004832 $0.997088 $0.964224 $     2.01  $     1.03  
54077 $ 13157   $  4567607827  $  9016925275     $     5280018  $   207993289  $   138513986  $   135747001  $      42      $       0      $      97      $           0  $              $0.506559      $5280018.000000      $13.285001 $8.847200 $8.670467 $     1.50  $     1.02  
54097 $  1002   $  2663339062  $  6093785074     $      193012  $    41411486  $    32997787  $    31758888  $       0      $       0      $      97      $           0  $              $0.437058      $193012.000000      $2.645045 $2.107643 $2.028512 $     1.25  $     1.04  
54097 $  2004   $  4066791446  $  8950959876     $       56987  $    67807591  $    53142095  $    51141398  $      45      $       0      $      97      $           0  $              $0.454341      $56987.000000      $4.331024 $3.394305 $3.266517 $     1.28  $     1.04  
54077 $ 14159   $  4182467027  $  8768669930     $     4680615  $   186883227  $   124613732  $   122248707  $       0      $       0      $      97      $           0  $              $0.476979      $4680615.000000      $11.936653 $7.959360 $7.808300 $     1.50  $     1.02  
54097 $  3006   $  3985360392  $  9061943413     $       53163  $    62441478  $    49851073  $    47958264  $      46      $       0      $      97      $           0  $              $0.439791      $53163.000000      $3.988278 $3.184100 $3.063202 $     1.25  $     1.04  
54077 $ 15161   $  4357597156  $  9107894250     $     5009230  $   199639437  $   133091513  $   130500078  $       0      $       0      $      97      $           0  $              $0.478442      $5009230.000000      $12.751421 $8.500855 $8.335335 $     1.50  $     1.02  
54097 $  3378   $  1424406636  $  3357688414     $       20944  $    21924961  $    17743655  $    17029857  $      17      $       0      $      97      $           0  $              $0.424222      $20944.000000      $3.772036 $3.052672 $2.929868 $     1.24  $     1.04  
54077 $ 15533   $  1582598399  $  3344930365     $     1849459  $    72363860  $    48349718  $    47422038  $       0      $       0      $      97      $           0  $              $0.473133      $1849459.000000      $12.449696 $8.318232 $8.158630 $     1.50  $     1.02  
