PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
47585 $  1003   $  4388915282  $  5190579862     $     1257592  $   165997631  $    32478732  $    14714223  $      40      $       0      $      97      $           0  $              $0.845554      $1257592.000000      $10.592072 $2.072422 $0.938894 $     5.11  $     2.21  
47583 $  1003   $  3301188624  $  9024592140     $    11691558  $   358261220  $   352977369  $     3144635  $       0      $       0      $      97      $           0  $              $0.365799      $11691558.000000      $22.860138 $22.522984 $0.200655 $     1.01  $   112.25  
47585 $  2006   $  5835674145  $  5920552000     $     3081113  $   236562212  $    48065479  $    25274955  $      42      $       0      $      97      $           0  $              $0.985664      $3081113.000000      $15.094697 $3.066990 $1.612759 $     4.92  $     1.90  
47583 $  2006   $  3353561588  $  9345488742     $    12460645  $   379588230  $   373492717  $     3377701  $       0      $       0      $      97      $           0  $              $0.358843      $12460645.000000      $24.220984 $23.832037 $0.215526 $     1.02  $   110.58  
47585 $  3009   $ 17248210952  $  9001063005     $    12370607  $   800772164  $   140203255  $    65517566  $      51      $       0      $      97      $           0  $              $1.916241      $12370607.000000      $51.096130 $8.946169 $4.180583 $     5.71  $     2.14  
47583 $  3009   $  3035831184  $  9093666212     $    13074284  $   345008267  $   338608722  $    10059774  $       0      $       0      $      97      $           0  $              $0.333840      $13074284.000000      $22.014484 $21.606140 $0.641900 $     1.02  $    33.66  
47583 $  3209   $   646801692  $  1878245991     $     2321431  $    80115979  $    79420485  $      722611  $       0      $       0      $      97      $           0  $              $0.344365      $2321431.000000      $25.637112 $25.414557 $0.231236 $     1.01  $   109.91  
47585 $  3209   $  1014348150  $   463260744     $      295711  $    47418747  $     6072458  $     4035799  $       7      $       0      $      97      $           0  $              $2.189584      $295711.000000      $15.174000 $1.943187 $1.291456 $     7.81  $     1.50  
47583 $  4139   $  3202185976  $  9113288867     $    10576640  $   403649651  $   401187830  $      111372  $       0      $       0      $      97      $           0  $              $0.351375      $10576640.000000      $27.778042 $27.608625 $0.007664 $     1.01  $  3602.23  
47583 $  4141   $      787452  $     2262156     $        2422  $       99188  $       98648  $          14  $       0      $       0      $      97      $           0  $              $0.348098      $2422.000000      $3.174016 $3.156736 $0.000448 $     1.01  $  7046.29  
47583 $  5143   $  3057838557  $  8998384328     $    10038927  $   386845836  $   383460950  $     4107008  $      40      $       0      $      97      $           0  $              $0.339821      $10038927.000000      $24.708715 $24.492516 $0.262324 $     1.01  $    93.37  
47603 $  1002   $  4144007344  $  5071007841     $      956564  $   154485986  $    28702375  $    14534451  $       0      $       0      $      97      $           0  $              $0.817196      $956564.000000      $9.867369 $1.833285 $0.928348 $     5.38  $     1.97  
47603 $  2004   $  5029434514  $  5817139457     $     2446044  $   200370820  $    41437427  $    25898611  $      41      $       0      $      97      $           0  $              $0.864589      $2446044.000000      $12.798136 $2.646702 $1.654203 $     4.84  $     1.60  
47583 $  6145   $  3109262464  $  8989674260     $    10868411  $   370651878  $   366110858  $     4732610  $       0      $       0      $      97      $           0  $              $0.345870      $10868411.000000      $23.674372 $23.384325 $0.302282 $     1.01  $    77.36  
47603 $  3006   $ 16611963501  $  9007394039     $    11546400  $   773269912  $   127645468  $    73151795  $      51      $       0      $      97      $           0  $              $1.844259      $11546400.000000      $49.390491 $8.153005 $4.672370 $     6.06  $     1.74  
47583 $  7147   $  3079749798  $  9121236328     $    12649098  $   350811926  $   343470507  $     9139564  $       0      $       0      $      97      $           0  $              $0.337646      $12649098.000000      $22.407150 $21.938234 $0.583765 $     1.02  $    37.58  
47583 $  7420   $   928444867  $  2581175221     $     3536414  $   105152621  $   103409042  $     1477532  $       0      $       0      $      97      $           0  $              $0.359699      $3536414.000000      $24.651165 $24.242413 $0.346381 $     1.02  $    69.99  
47603 $  3279   $  2697660831  $  1268384891     $      754437  $   121935449  $    15450942  $     8193495  $      12      $       0      $      97      $           0  $              $2.126847      $754437.000000      $28.585600 $3.622199 $1.920819 $     7.89  $     1.89  
47583 $  8246   $  2991072903  $  7973801147     $    10527806  $   337229787  $   332910706  $       83308  $       0      $       0      $      97      $           0  $              $0.375113      $10527806.000000      $26.129185 $25.794535 $0.006455 $     1.01  $  3996.14  
