PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
49356 $  1004   $  4445458834  $  5578491168     $     1267053  $   172524262  $    38710031  $    17545551  $      28      $       0      $      97      $           0  $              $0.796893      $1267053.000000      $10.997562 $2.467572 $1.118442 $     4.46  $     2.21  
49354 $  1004   $  5016915681  $  2367907075     $      440227  $      640032  $      702338  $       59887  $       0      $       0      $      97      $           0  $              $2.118713      $440227.000000      $0.040799 $0.044771 $0.003817 $     0.91  $    11.73  
49356 $  2007   $  6822659885  $  5952425860     $     3316770  $   274731878  $    55386279  $    23799232  $      30      $       0      $      97      $           0  $              $1.146198      $3316770.000000      $17.530249 $3.534120 $1.518595 $     4.96  $     2.33  
49354 $  2007   $  4886413589  $  2306026749     $      445565  $      623504  $      686252  $       68878  $       0      $       0      $      97      $           0  $              $2.118975      $445565.000000      $0.039785 $0.043789 $0.004395 $     0.91  $     9.96  
49356 $  3010   $ 17302202190  $  8988906729     $    12189182  $   803251261  $   154754980  $    66105120  $      39      $       0      $      97      $           0  $              $1.924839      $12189182.000000      $51.254318 $9.874695 $4.218073 $     5.19  $     2.34  
49354 $  3010   $  4658739110  $  2228028547     $      625871  $      606555  $      699851  $      222708  $       0      $       0      $      97      $           0  $              $2.090969      $625871.000000      $0.038703 $0.044656 $0.014211 $     0.87  $     3.14  
49354 $  3089   $   403380488  $   189362219     $       26760  $       51521  $       55950  $         270  $       0      $       0      $      97      $           0  $              $2.130206      $26760.000000      $0.041739 $0.045327 $0.000219 $     0.92  $   207.22  
49356 $  3090   $           0  $           0     $       80662  $          49  $          49  $          46  $       1      $       0      $      97      $           0  $              $-nan      $80662.000000      $0.000039 $0.000039 $0.000037 $     1.00  $     1.07  
49354 $  4081   $  5177633648  $  2425275731     $      236961  $      655233  $      696768  $         175  $       0      $       0      $      97      $           0  $              $2.134864      $236961.000000      $0.042273 $0.044953 $0.000011 $     0.94  $  3981.53  
49354 $  4083   $     2652031  $     1250450     $           3  $         336  $         339  $           0  $       0      $       0      $      97      $           0  $              $2.120861      $3.000000      $0.010752 $0.010848 $0.000000 $     0.99  $      inf  
