PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
50495 $  1003   $  4393256919  $  5215395870     $     1149080  $   165902861  $    31981944  $    15258872  $      41      $       0      $      97      $           0  $              $0.842363      $1149080.000000      $10.586025 $2.040722 $0.973647 $     5.19  $     2.10  
50493 $  1003   $ 16901302201  $  9092057910     $     9218793  $   374996838  $   497196808  $     2442519  $       0      $       0      $      97      $           0  $              $1.858908      $9218793.000000      $23.928013 $31.725418 $0.155854 $     0.75  $   203.56  
50495 $  2006   $  5720698649  $  5923370174     $     3340132  $   231314054  $    47288932  $    26128155  $      42      $       0      $      97      $           0  $              $0.965784      $3340132.000000      $14.759820 $3.017439 $1.667200 $     4.89  $     1.81  
50493 $  2006   $ 17551606260  $  9361928980     $     9514345  $   390035477  $   516034063  $     2425831  $       0      $       0      $      97      $           0  $              $1.874785      $9514345.000000      $24.887608 $32.927399 $0.154789 $     0.76  $   212.72  
50495 $  3009   $ 17340086612  $  9004720891     $    13098900  $   803713337  $   137975199  $    67335638  $      51      $       0      $      97      $           0  $              $1.925666      $13098900.000000      $51.283802 $8.804001 $4.296591 $     5.83  $     2.05  
50493 $  3009   $ 17003196111  $  9119590826     $     9466247  $   379721398  $   506444240  $     4881891  $       0      $       0      $      97      $           0  $              $1.864469      $9466247.000000      $24.229481 $32.315483 $0.311507 $     0.75  $   103.74  
50493 $  3165   $  2796823856  $  1456316318     $     1437512  $    61696742  $    79647912  $      333774  $       0      $       0      $      97      $           0  $              $1.920478      $1437512.000000      $25.311485 $32.676067 $0.136933 $     0.77  $   238.63  
50495 $  3165   $  1055245447  $   500306634     $      355558  $    48981432  $     6404145  $     4117817  $       6      $       0      $      97      $           0  $              $2.109197      $355558.000000      $20.094946 $2.627342 $1.689361 $     7.65  $     1.56  
50493 $  4090   $ 17573094125  $  9112519129     $     9555521  $   389942592  $   516448542  $        7012  $       0      $       0      $      97      $           0  $              $1.928456      $9555521.000000      $26.979813 $35.732655 $0.000485 $     0.76  $ 73652.10  
50493 $  4092   $     2459290  $     1293872     $        2501  $       54926  $       87638  $           1  $       0      $       0      $      97      $           0  $              $1.900721      $2501.000000      $1.757632 $2.804416 $0.000032 $     0.63  $ 87638.00  
50493 $  5095   $ 16996022308  $  8997191157     $     9223680  $   377047034  $   497562796  $     1805071  $      41      $       0      $      97      $           0  $              $1.889037      $9223680.000000      $24.058834 $31.748772 $0.115179 $     0.76  $   275.65  
50513 $  1002   $  4232330636  $  5070272706     $     1156033  $   158495527  $    29581844  $    14358683  $       0      $       0      $      97      $           0  $              $0.834734      $1156033.000000      $10.123466 $1.889459 $0.917121 $     5.36  $     2.06  
50513 $  2004   $  5365790249  $  5822505404     $     2845317  $   215414312  $    43673035  $    25805446  $      40      $       0      $      97      $           0  $              $0.921560      $2845317.000000      $13.758998 $2.789495 $1.648252 $     4.93  $     1.69  
50493 $  6097   $ 15662179079  $  8483118549     $     8619238  $   346207517  $   459510014  $     2281000  $       0      $       0      $      97      $           0  $              $1.846276      $8619238.000000      $22.113054 $29.349941 $0.145693 $     0.75  $   201.45  
50513 $  2250   $  4174432134  $  2126431229     $     2537304  $   190942331  $    28800820  $    13826867  $      12      $       0      $      97      $           0  $              $1.963117      $2537304.000000      $49.676056 $7.492896 $3.597234 $     6.63  $     2.08  
50493 $  6343   $  4158776762  $  2221290505     $     2158952  $    92312988  $   121086078  $     1094401  $       0      $       0      $      97      $           0  $              $1.872235      $2158952.000000      $24.016388 $31.502069 $0.284722 $     0.76  $   110.64  
