PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52463 $  1003   $  4387423776  $  5208265328     $     1122014  $   165937401  $    30460527  $    15192112  $      40      $       0      $      97      $           0  $              $0.842396      $1122014.000000      $10.588229 $1.943643 $0.969387 $     5.45  $     2.01  
52461 $  1003   $  3228739138  $  8879702758     $    12026215  $   360433385  $   356731448  $     3276869  $       0      $       0      $      97      $           0  $              $0.363609      $12026215.000000      $22.998739 $22.762526 $0.209092 $     1.01  $   108.86  
52463 $  2006   $  5701747228  $  5921166737     $     2926270  $   230613555  $    44975474  $    26313194  $      42      $       0      $      97      $           0  $              $0.962943      $2926270.000000      $14.715122 $2.869821 $1.679007 $     5.13  $     1.71  
52461 $  2006   $  3356468045  $  9357324975     $    12789581  $   379550585  $   375282771  $     3547557  $       0      $       0      $      97      $           0  $              $0.358700      $12789581.000000      $24.218582 $23.946259 $0.226365 $     1.01  $   105.79  
52463 $  3009   $ 17213706802  $  9003143771     $    12314740  $   799324979  $   130122779  $    68409648  $      51      $       0      $      97      $           0  $              $1.911966      $12314740.000000      $51.003788 $8.302949 $4.365122 $     6.14  $     1.90  
52461 $  3009   $  3052925360  $  9114232450     $    13676641  $   346142010  $   341701288  $    10454612  $       0      $       0      $      97      $           0  $              $0.334962      $13676641.000000      $22.086828 $21.803471 $0.667094 $     1.01  $    32.68  
52461 $  3190   $   644422514  $  1708448635     $     2309662  $    67686114  $    67057079  $     1094882  $       0      $       0      $      97      $           0  $              $0.377197      $2309662.000000      $23.933210 $23.710791 $0.387141 $     1.01  $    61.25  
52463 $  3190   $  1165956667  $   536169102     $      377514  $    54100600  $     6434768  $     4352240  $       7      $       0      $      97      $           0  $              $2.174606      $377514.000000      $19.129494 $2.275277 $1.538914 $     8.41  $     1.48  
52461 $  4111   $  3302674768  $  8824713484     $    11918990  $   372258410  $   368954856  $       96882  $       0      $       0      $      97      $           0  $              $0.374253      $11918990.000000      $25.868118 $25.638556 $0.006732 $     1.01  $  3808.29  
52461 $  4114   $      587342  $     1580863     $        1970  $       66177  $       65612  $           8  $       0      $       0      $      97      $           0  $              $0.371532      $1970.000000      $1.411776 $1.399723 $0.000171 $     1.01  $  8201.50  
52461 $  5117   $  3259868479  $  8952847973     $    12176775  $   368221211  $   364391843  $     3331225  $      40      $       0      $      97      $           0  $              $0.364115      $12176775.000000      $23.495670 $23.251324 $0.212561 $     1.01  $   109.39  
52481 $  1003   $  4386040053  $  5202523669     $     1001508  $   165709246  $    30734479  $    14852710  $       0      $       0      $      97      $           0  $              $0.843060      $1001508.000000      $10.573670 $1.961123 $0.947730 $     5.39  $     2.07  
52481 $  2006   $  5932280119  $  5826078022     $     3011320  $   239719478  $    46561973  $    26124008  $      42      $       0      $      97      $           0  $              $1.018229      $3011320.000000      $15.296158 $2.971053 $1.666936 $     5.15  $     1.78  
52461 $  6120   $  3297475465  $  9024860251     $    11912808  $   359700196  $   355865703  $     4448681  $       0      $       0      $      97      $           0  $              $0.365377      $11912808.000000      $22.951956 $22.707283 $0.283864 $     1.01  $    79.99  
52481 $  3008   $ 17233219403  $  9000809699     $    12514075  $   800332886  $   131859773  $    66576559  $      51      $       0      $      97      $           0  $              $1.914630      $12514075.000000      $51.119064 $8.422181 $4.252395 $     6.07  $     1.98  
52461 $  7122   $  3042367561  $  9116145564     $    13825616  $   344732977  $   340504084  $    10598308  $       0      $       0      $      97      $           0  $              $0.333734      $13825616.000000      $22.018873 $21.748764 $0.676938 $     1.01  $    32.13  
52461 $  7258   $   471628647  $  1292493099     $     1840968  $    53222957  $    52720306  $      674995  $       0      $       0      $      97      $           0  $              $0.364898      $1840968.000000      $25.046097 $24.809555 $0.317645 $     1.01  $    78.10  
52481 $  3144   $   940902711  $   406639083     $      328048  $    44105795  $     4811815  $     3743692  $       5      $       0      $      97      $           0  $              $2.313852      $328048.000000      $20.755669 $2.264384 $1.761737 $     9.17  $     1.29  
52461 $  8194   $  3326585035  $  8895270903     $    12004361  $   374948842  $   371630733  $       97148  $       0      $       0      $      97      $           0  $              $0.373972      $12004361.000000      $25.637527 $25.410648 $0.006643 $     1.01  $  3825.41  
52461 $  8196   $      465067  $     1265608     $        1694  $       52418  $       52014  $           6  $       0      $       0      $      97      $           0  $              $0.367465      $1694.000000      $1.677376 $1.664448 $0.000192 $     1.01  $  8669.00  
52461 $  9198   $  3377332046  $  9244189304     $    12328094  $   374166992  $   369963180  $     3956429  $      41      $       0      $      97      $           0  $              $0.365346      $12328094.000000      $23.898890 $23.630383 $0.252706 $     1.01  $    93.51  
52486 $  1002   $  4389246697  $  5235375390     $      940481  $   164863558  $    34302087  $    14749588  $       0      $       0      $      97      $           0  $              $0.838382      $940481.000000      $10.530207 $2.190952 $0.942089 $     4.81  $     2.33  
52486 $  2004   $  5029648456  $  5813208072     $     2697686  $   198290432  $    45182508  $    25023799  $      42      $       0      $      97      $           0  $              $0.865210      $2697686.000000      $12.665257 $2.885909 $1.598327 $     4.39  $     1.81  
52461 $ 10201   $  3322019380  $  9209384302     $    12327937  $   375595050  $   371413276  $     3707070  $       0      $       0      $      97      $           0  $              $0.360721      $12327937.000000      $23.966185 $23.699352 $0.236543 $     1.01  $   100.19  
52486 $  3006   $ 16560109068  $  9004772106     $    12313749  $   767664626  $   147210613  $    67108376  $      50      $       0      $      97      $           0  $              $1.839037      $12313749.000000      $49.032471 $9.402674 $4.286363 $     5.21  $     2.19  
52461 $ 11203   $  3032538876  $  9120523552     $    13717796  $   343730155  $   339414726  $    10396502  $       0      $       0      $      97      $           0  $              $0.332496      $13717796.000000      $21.954819 $21.679184 $0.664048 $     1.01  $    32.65  
